产品网址：https://www.szforward.com/product/productDetail_FR8032.html
产品结构：root->风云实业-专业的数据通信解决方案提供商

|产品名称|产品型号|功能描述|
|----|----|----|
|自主可控路由器|FR8032|无|

型号特性,型号特性.1,型号特性.2,型号特性.3,型号特性.4,型号特性.5,Tritium FR8032,Tritium FR8032.1,Tritium FR8032.2,Tritium FR8032.3,Tritium FR8032.4,Tritium FR8032.5,Tritium FR8032.6,Tritium FR8032.7,Tritium FR8032.8,Tritium FR8032.9,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19
物理尺寸(高×宽×深),物理尺寸(高×宽×深),物理尺寸(高×宽×深),物理尺寸(高×宽×深),物理尺寸(高×宽×深),物理尺寸(高×宽×深),1330 x 440 x 620 mm（不含挂耳）  1330 x 482 x 620 mm（含挂耳）,1330 x 440 x 620 mm（不含挂耳）  1330 x 482 x 620 mm（含挂耳）,1330 x 440 x 620 mm（不含挂耳）  1330 x 482 x 620 mm（含挂耳）,1330 x 440 x 620 mm（不含挂耳）  1330 x 482 x 620 mm（含挂耳）,1330 x 440 x 620 mm（不含挂耳）  1330 x 482 x 620 mm（含挂耳）,1330 x 440 x 620 mm（不含挂耳）  1330 x 482 x 620 mm（含挂耳）,1330 x 440 x 620 mm（不含挂耳）  1330 x 482 x 620 mm（含挂耳）,1330 x 440 x 620 mm（不含挂耳）  1330 x 482 x 620 mm（含挂耳）,1330 x 440 x 620 mm（不含挂耳）  1330 x 482 x 620 mm（含挂耳）,1330 x 440 x 620 mm（不含挂耳）  1330 x 482 x 620 mm（含挂耳）,,,,
性能规格,性能规格,性能规格,性能规格,性能规格,性能规格,性能规格,性能规格,性能规格,性能规格,性能规格,性能规格,性能规格,性能规格,性能规格,性能规格,性能规格,性能规格,,
转发性能,转发性能,转发性能,转发性能,转发性能,转发性能,480Mpps,480Mpps,480Mpps,480Mpps,480Mpps,480Mpps,480Mpps,480Mpps,480Mpps,480Mpps,,,,
环境规格,环境规格,环境规格,环境规格,环境规格,环境规格,环境规格,环境规格,环境规格,环境规格,环境规格,环境规格,环境规格,环境规格,环境规格,环境规格,环境规格,环境规格,环境规格,环境规格
工作环境,工作环境,工作环境,工作环境,工作环境,工作环境,工作温度：0~40° C  相对湿度：10%~85%无冷凝,工作温度：0~40° C  相对湿度：10%~85%无冷凝,工作温度：0~40° C  相对湿度：10%~85%无冷凝,工作温度：0~40° C  相对湿度：10%~85%无冷凝,工作温度：0~40° C  相对湿度：10%~85%无冷凝,工作温度：0~40° C  相对湿度：10%~85%无冷凝,工作温度：0~40° C  相对湿度：10%~85%无冷凝,工作温度：0~40° C  相对湿度：10%~85%无冷凝,工作温度：0~40° C  相对湿度：10%~85%无冷凝,工作温度：0~40° C  相对湿度：10%~85%无冷凝,,,,
存储环境,存储环境,存储环境,存储环境,存储环境,存储环境,存储温度：-20~60° C  相对湿度：5%~95%无冷凝,存储温度：-20~60° C  相对湿度：5%~95%无冷凝,存储温度：-20~60° C  相对湿度：5%~95%无冷凝,存储温度：-20~60° C  相对湿度：5%~95%无冷凝,存储温度：-20~60° C  相对湿度：5%~95%无冷凝,存储温度：-20~60° C  相对湿度：5%~95%无冷凝,存储温度：-20~60° C  相对湿度：5%~95%无冷凝,存储温度：-20~60° C  相对湿度：5%~95%无冷凝,存储温度：-20~60° C  相对湿度：5%~95%无冷凝,存储温度：-20~60° C  相对湿度：5%~95%无冷凝,,,,
业务规格,业务规格,业务规格,业务规格,业务规格,业务规格,业务规格,业务规格,业务规格,业务规格,业务规格,业务规格,业务规格,业务规格,业务规格,业务规格,业务规格,业务规格,业务规格,业务规格
网络互联,网络互联,网络互联,网络互联,网络互联,网络互联,局域网协议,局域网协议,局域网协议,局域网协议,局域网协议,ARP，Ethernet，802.1Q、802.1ad、L3 Trunk,,,,,,,,
网络互联,网络互联,网络互联,网络互联,网络互联,网络互联,广域网协议,广域网协议,广域网协议,广域网协议,广域网协议,PPP，MP，PPP地址分配，支持基于FR的POS子接口,,,,,,,,
网络协议,网络协议,网络协议,网络协议,网络协议,网络协议,IP服务,IP服务,IP服务,IP服务,IP服务,支持基本的 TCP/IP 协议栈，包括 ICMP、IP、TCP、UDP、Socket（TCP/UDP/Raw IP）、ARP,,,,,,,,
网络协议,网络协议,网络协议,网络协议,网络协议,网络协议,IP应用,IP应用,IP应用,IP应用,IP应用,支持Ping、Traceroute  支持Telnet、TFTP Server/FTP Server  支持DHCP Server/DHCP Relay  支持DHCP Relay Option82  支持NTP Server/Client,,,,,,,,
网络协议,网络协议,网络协议,网络协议,网络协议,网络协议,IPv4单播,IPv4单播,IPv4单播,IPv4单播,IPv4单播,支持静态路由、ECMP、策略路由  支持RIPv1/v2、OSPFv2、BGP-4、IS-IS,,,,,,,,
网络协议,网络协议,网络协议,网络协议,网络协议,网络协议,IPv4组播,IPv4组播,IPv4组播,IPv4组播,IPv4组播,支持IGMP v1/v2/v3  支持PIM-DM、PIM-SM、PIM-SSM、MSDP、MBGP  支持Rosen MVPN、NG MVPN,,,,,,,,
网络协议,网络协议,网络协议,网络协议,网络协议,网络协议,IPv6协议栈,IPv6协议栈,IPv6协议栈,IPv6协议栈,IPv6协议栈,支持ND（Neighbor Discovery）  支持PMTU  支持IPv6Ping/IPv6Traceroute,,,,,,,,
网络协议,网络协议,网络协议,网络协议,网络协议,网络协议,IPv6单播,IPv6单播,IPv6单播,IPv6单播,IPv6单播,支持静态路由、ECMP、策略路由  支持RIPng、OSPFv3、IS-ISv6、BGP4+,,,,,,,,
网络协议,网络协议,网络协议,网络协议,网络协议,网络协议,IPv6组播,IPv6组播,IPv6组播,IPv6组播,IPv6组播,支持MLDv1/v2  支持PIM-SM for IPv6、PIM-DM for IPv6、SSM for IPv6,,,,,,,,
网络协议,网络协议,网络协议,网络协议,网络协议,网络协议,IPv6过渡技术,IPv6过渡技术,IPv6过渡技术,IPv6过渡技术,IPv6过渡技术,支持IPv6 over IPv4隧道：支持手动配置Tunnel、自动隧道、6to4 tunnel、GRE、6PE  支持IPv4 over IPv6隧道,,,,,,,,
网络协议,网络协议,网络协议,网络协议,网络协议,网络协议,MPLS,MPLS,MPLS,MPLS,MPLS,支持LDP/mLDP  支持MPLS L3 VPN（域内/域间）  支持RSVP-TE（域内/域间）/P2MP-TE  支持DS-TE,,,,,,,,
网络安全性,网络安全性,网络安全性,网络安全性,网络安全性,网络安全性,网络安全性,网络安全性,网络安全性,网络安全性,网络安全性,网络安全性,网络安全性,网络安全性,网络安全性,网络安全性,网络安全性,网络安全性,网络安全性,网络安全性
端口安全,端口安全,端口安全,端口安全,端口安全,端口安全,支持PAP，CHAP,支持PAP，CHAP,支持PAP，CHAP,支持PAP，CHAP,支持PAP，CHAP,支持PAP，CHAP,支持PAP，CHAP,支持PAP，CHAP,支持PAP，CHAP,支持PAP，CHAP,,,,
协议安全,协议安全,协议安全,协议安全,协议安全,协议安全,支持路由协议认证：明文、MD5加密,支持路由协议认证：明文、MD5加密,支持路由协议认证：明文、MD5加密,支持路由协议认证：明文、MD5加密,支持路由协议认证：明文、MD5加密,支持路由协议认证：明文、MD5加密,支持路由协议认证：明文、MD5加密,支持路由协议认证：明文、MD5加密,支持路由协议认证：明文、MD5加密,支持路由协议认证：明文、MD5加密,,,,
其他安全技术,其他安全技术,其他安全技术,其他安全技术,其他安全技术,其他安全技术,支持IPv4/IPv6 ACL  支持IPv4/IPv6 URPF  支持防IP/端口扫描  支持MAC地址限制、MAC与IP绑定；  支持SSH,支持IPv4/IPv6 ACL  支持IPv4/IPv6 URPF  支持防IP/端口扫描  支持MAC地址限制、MAC与IP绑定；  支持SSH,支持IPv4/IPv6 ACL  支持IPv4/IPv6 URPF  支持防IP/端口扫描  支持MAC地址限制、MAC与IP绑定；  支持SSH,支持IPv4/IPv6 ACL  支持IPv4/IPv6 URPF  支持防IP/端口扫描  支持MAC地址限制、MAC与IP绑定；  支持SSH,支持IPv4/IPv6 ACL  支持IPv4/IPv6 URPF  支持防IP/端口扫描  支持MAC地址限制、MAC与IP绑定；  支持SSH,支持IPv4/IPv6 ACL  支持IPv4/IPv6 URPF  支持防IP/端口扫描  支持MAC地址限制、MAC与IP绑定；  支持SSH,支持IPv4/IPv6 ACL  支持IPv4/IPv6 URPF  支持防IP/端口扫描  支持MAC地址限制、MAC与IP绑定；  支持SSH,支持IPv4/IPv6 ACL  支持IPv4/IPv6 URPF  支持防IP/端口扫描  支持MAC地址限制、MAC与IP绑定；  支持SSH,支持IPv4/IPv6 ACL  支持IPv4/IPv6 URPF  支持防IP/端口扫描  支持MAC地址限制、MAC与IP绑定；  支持SSH,支持IPv4/IPv6 ACL  支持IPv4/IPv6 URPF  支持防IP/端口扫描  支持MAC地址限制、MAC与IP绑定；  支持SSH,,,,
网络可靠性,网络可靠性,网络可靠性,网络可靠性,网络可靠性,网络可靠性,支持主控板1+1冗余备份  支持交换板1+1冗余备份  支持线卡热插拔  支持电源模块N+M冗余备份  支持Graceful-Restart for IS-IS/OSPF/BGP  支持OSPF NSR  支持RSVP-FRR快速重路由技术  支持IP FRR  支持VRRP,支持主控板1+1冗余备份  支持交换板1+1冗余备份  支持线卡热插拔  支持电源模块N+M冗余备份  支持Graceful-Restart for IS-IS/OSPF/BGP  支持OSPF NSR  支持RSVP-FRR快速重路由技术  支持IP FRR  支持VRRP,支持主控板1+1冗余备份  支持交换板1+1冗余备份  支持线卡热插拔  支持电源模块N+M冗余备份  支持Graceful-Restart for IS-IS/OSPF/BGP  支持OSPF NSR  支持RSVP-FRR快速重路由技术  支持IP FRR  支持VRRP,支持主控板1+1冗余备份  支持交换板1+1冗余备份  支持线卡热插拔  支持电源模块N+M冗余备份  支持Graceful-Restart for IS-IS/OSPF/BGP  支持OSPF NSR  支持RSVP-FRR快速重路由技术  支持IP FRR  支持VRRP,支持主控板1+1冗余备份  支持交换板1+1冗余备份  支持线卡热插拔  支持电源模块N+M冗余备份  支持Graceful-Restart for IS-IS/OSPF/BGP  支持OSPF NSR  支持RSVP-FRR快速重路由技术  支持IP FRR  支持VRRP,支持主控板1+1冗余备份  支持交换板1+1冗余备份  支持线卡热插拔  支持电源模块N+M冗余备份  支持Graceful-Restart for IS-IS/OSPF/BGP  支持OSPF NSR  支持RSVP-FRR快速重路由技术  支持IP FRR  支持VRRP,支持主控板1+1冗余备份  支持交换板1+1冗余备份  支持线卡热插拔  支持电源模块N+M冗余备份  支持Graceful-Restart for IS-IS/OSPF/BGP  支持OSPF NSR  支持RSVP-FRR快速重路由技术  支持IP FRR  支持VRRP,支持主控板1+1冗余备份  支持交换板1+1冗余备份  支持线卡热插拔  支持电源模块N+M冗余备份  支持Graceful-Restart for IS-IS/OSPF/BGP  支持OSPF NSR  支持RSVP-FRR快速重路由技术  支持IP FRR  支持VRRP,支持主控板1+1冗余备份  支持交换板1+1冗余备份  支持线卡热插拔  支持电源模块N+M冗余备份  支持Graceful-Restart for IS-IS/OSPF/BGP  支持OSPF NSR  支持RSVP-FRR快速重路由技术  支持IP FRR  支持VRRP,支持主控板1+1冗余备份  支持交换板1+1冗余备份  支持线卡热插拔  支持电源模块N+M冗余备份  支持Graceful-Restart for IS-IS/OSPF/BGP  支持OSPF NSR  支持RSVP-FRR快速重路由技术  支持IP FRR  支持VRRP,,,,
Qos,Qos,Qos,Qos,Qos,Qos,Qos,Qos,Qos,Qos,Qos,Qos,Qos,Qos,Qos,Qos,,,,
流量分类,流量分类,流量分类,流量分类,流量分类,流量分类,支持灵活流分类，IP/IP Precedence/DSCP等,支持灵活流分类，IP/IP Precedence/DSCP等,支持灵活流分类，IP/IP Precedence/DSCP等,支持灵活流分类，IP/IP Precedence/DSCP等,支持灵活流分类，IP/IP Precedence/DSCP等,支持灵活流分类，IP/IP Precedence/DSCP等,支持灵活流分类，IP/IP Precedence/DSCP等,支持灵活流分类，IP/IP Precedence/DSCP等,支持灵活流分类，IP/IP Precedence/DSCP等,支持灵活流分类，IP/IP Precedence/DSCP等,,,,
流量监管,流量监管,流量监管,流量监管,流量监管,流量监管,支持CAR(Committed Access Rate)  支持Input/Output rate-limit限速,支持CAR(Committed Access Rate)  支持Input/Output rate-limit限速,支持CAR(Committed Access Rate)  支持Input/Output rate-limit限速,支持CAR(Committed Access Rate)  支持Input/Output rate-limit限速,支持CAR(Committed Access Rate)  支持Input/Output rate-limit限速,支持CAR(Committed Access Rate)  支持Input/Output rate-limit限速,支持CAR(Committed Access Rate)  支持Input/Output rate-limit限速,支持CAR(Committed Access Rate)  支持Input/Output rate-limit限速,支持CAR(Committed Access Rate)  支持Input/Output rate-limit限速,支持CAR(Committed Access Rate)  支持Input/Output rate-limit限速,,,,
调度算法,调度算法,调度算法,调度算法,调度算法,调度算法,支持FIFO，PQ，WRR，CQ，WFQ，CBWFQ等,支持FIFO，PQ，WRR，CQ，WFQ，CBWFQ等,支持FIFO，PQ，WRR，CQ，WFQ，CBWFQ等,支持FIFO，PQ，WRR，CQ，WFQ，CBWFQ等,支持FIFO，PQ，WRR，CQ，WFQ，CBWFQ等,支持FIFO，PQ，WRR，CQ，WFQ，CBWFQ等,支持FIFO，PQ，WRR，CQ，WFQ，CBWFQ等,支持FIFO，PQ，WRR，CQ，WFQ，CBWFQ等,支持FIFO，PQ，WRR，CQ，WFQ，CBWFQ等,支持FIFO，PQ，WRR，CQ，WFQ，CBWFQ等,,,,
输出队列,输出队列,输出队列,输出队列,输出队列,输出队列,支持8个优先级输出流队列,支持8个优先级输出流队列,支持8个优先级输出流队列,支持8个优先级输出流队列,支持8个优先级输出流队列,支持8个优先级输出流队列,支持8个优先级输出流队列,支持8个优先级输出流队列,支持8个优先级输出流队列,支持8个优先级输出流队列,,,,
阻塞控制,阻塞控制,阻塞控制,阻塞控制,阻塞控制,阻塞控制,支持WRED/RED,支持WRED/RED,支持WRED/RED,支持WRED/RED,支持WRED/RED,支持WRED/RED,支持WRED/RED,支持WRED/RED,支持WRED/RED,支持WRED/RED,,,,
流量整形,流量整形,流量整形,流量整形,流量整形,流量整形,支持基于接口及端口队列的流量整形,支持基于接口及端口队列的流量整形,支持基于接口及端口队列的流量整形,支持基于接口及端口队列的流量整形,支持基于接口及端口队列的流量整形,支持基于接口及端口队列的流量整形,支持基于接口及端口队列的流量整形,支持基于接口及端口队列的流量整形,支持基于接口及端口队列的流量整形,支持基于接口及端口队列的流量整形,,,,
其他Qos技术,其他Qos技术,其他Qos技术,其他Qos技术,其他Qos技术,其他Qos技术,支持MPLS QoS  支持基于DiffServ和MPLS TE的DS-TE，支持8CT（Class Type）,支持MPLS QoS  支持基于DiffServ和MPLS TE的DS-TE，支持8CT（Class Type）,支持MPLS QoS  支持基于DiffServ和MPLS TE的DS-TE，支持8CT（Class Type）,支持MPLS QoS  支持基于DiffServ和MPLS TE的DS-TE，支持8CT（Class Type）,支持MPLS QoS  支持基于DiffServ和MPLS TE的DS-TE，支持8CT（Class Type）,支持MPLS QoS  支持基于DiffServ和MPLS TE的DS-TE，支持8CT（Class Type）,支持MPLS QoS  支持基于DiffServ和MPLS TE的DS-TE，支持8CT（Class Type）,支持MPLS QoS  支持基于DiffServ和MPLS TE的DS-TE，支持8CT（Class Type）,支持MPLS QoS  支持基于DiffServ和MPLS TE的DS-TE，支持8CT（Class Type）,支持MPLS QoS  支持基于DiffServ和MPLS TE的DS-TE，支持8CT（Class Type）,,,,
服务、管理、维护,服务、管理、维护,服务、管理、维护,服务、管理、维护,服务、管理、维护,服务、管理、维护,服务、管理、维护,服务、管理、维护,服务、管理、维护,服务、管理、维护,服务、管理、维护,服务、管理、维护,服务、管理、维护,服务、管理、维护,服务、管理、维护,服务、管理、维护,,,,
网络管理,网络管理,网络管理,网络管理,网络管理,网络管理,支持SLA网络性能测量技术  支持SNMP V1/V2c/V3  支持Local Syslog/Remote Syslog  支持Netflow v5/v9、IPFIX,支持SLA网络性能测量技术  支持SNMP V1/V2c/V3  支持Local Syslog/Remote Syslog  支持Netflow v5/v9、IPFIX,支持SLA网络性能测量技术  支持SNMP V1/V2c/V3  支持Local Syslog/Remote Syslog  支持Netflow v5/v9、IPFIX,支持SLA网络性能测量技术  支持SNMP V1/V2c/V3  支持Local Syslog/Remote Syslog  支持Netflow v5/v9、IPFIX,支持SLA网络性能测量技术  支持SNMP V1/V2c/V3  支持Local Syslog/Remote Syslog  支持Netflow v5/v9、IPFIX,支持SLA网络性能测量技术  支持SNMP V1/V2c/V3  支持Local Syslog/Remote Syslog  支持Netflow v5/v9、IPFIX,支持SLA网络性能测量技术  支持SNMP V1/V2c/V3  支持Local Syslog/Remote Syslog  支持Netflow v5/v9、IPFIX,支持SLA网络性能测量技术  支持SNMP V1/V2c/V3  支持Local Syslog/Remote Syslog  支持Netflow v5/v9、IPFIX,支持SLA网络性能测量技术  支持SNMP V1/V2c/V3  支持Local Syslog/Remote Syslog  支持Netflow v5/v9、IPFIX,支持SLA网络性能测量技术  支持SNMP V1/V2c/V3  支持Local Syslog/Remote Syslog  支持Netflow v5/v9、IPFIX,,,,
登陆方式,登陆方式,登陆方式,登陆方式,登陆方式,登陆方式,支持Console、Telnet、SSH登录,支持Console、Telnet、SSH登录,支持Console、Telnet、SSH登录,支持Console、Telnet、SSH登录,支持Console、Telnet、SSH登录,支持Console、Telnet、SSH登录,支持Console、Telnet、SSH登录,支持Console、Telnet、SSH登录,支持Console、Telnet、SSH登录,支持Console、Telnet、SSH登录,,,,


型号,描述,配置说明
一体化机箱组件,一体化机箱组件,一体化机箱组件
Tritium FR8032-CHS,Tritium FR8032一体化机箱组件：竖插，包含机箱、背板、电源转接板、风机组件，提供16个转发处理引擎槽位，32个接口槽位，2个控制引擎槽位，4个交换引擎槽位，4个电源槽位,必配
控制引擎,控制引擎,控制引擎
Tritium FR80-CSB,Tritium FR80多核高性能主控处理板(国产处理器),可配置1-2块
交换引擎,交换引擎,交换引擎
Tritium FR80-DSB,Tritium FR80系列自主高性能交换引擎(国产处理器，国产交换芯片),可配置1-4块
转发处理引擎,转发处理引擎,转发处理引擎
Tritium FR80-ZRFB,Tritium FR80系列ZRFB高性能转发处理引擎(国产处理器)，提供2个子卡槽位，2个槽位均可支持HIC/SIC接口子卡,可配置1-16块
电源模块,电源模块,电源模块
PSU-AC1700-48,"交流输入电源模块(220VAC,1700W)",可配置1-4个
接口子卡,接口子卡,接口子卡
SIC-GE-8T-L2,8端口L2以太千兆电接口子卡（RJ45），支持L2交换功能,选配
SIC-cOC3-2S,2端口通道化OC3 POS光接口子卡（SFP，LC),选配
SIC-UE1-16DB50,16端口E1-DB50-75ohm，BNC接口,选配
SIC-UE1-8DB50,8端口E1-DB50-75ohm，BNC接口,选配
SIC-UE1-4DB50,4端口E1-DB50-75ohm，BNC接口,选配
SIC-OC12-1S,1端口OC12 POS光接口子卡（SFP，LC),选配
SIC-OC3-2S,2端口OC3 POS光接口子卡（SFP，LC),选配
SIC-OC3-4S,4端口OC3 POS光接口子卡（SFP，LC),选配
SIC-OC12-1S/OC3-2S,1端口OC12+2端口OC3光接口子卡（SFP，LC),选配
HIC-OC192-1S+,1端口OC192 POS光接口子卡（SFP+，LC),选配
HIC-10GE-1S+,1端口以太万兆光接口子卡（SFP+，LC)LAN/WAN兼容模式,选配
HIC-OC48/OC12/OC3/GE-8S,8端口OC48/OC12/OC3/GE复用光接口子卡（SFP，LC),选配
HIC-OC12/3/GE-8S,8端口OC12/OC3/GE复用光接口子卡（SFP，LC),选配
HIC-OC3/GE-8S,8端口OC3/GE复用光接口子卡（SFP，LC),选配
HIC-OC12/3/GE-4S,4端口OC12/OC3/GE复用光接口子卡（SFP，LC),选配
HIC-GE-8T,8端口以太千兆电接口子卡（RJ45）,选配
HIC-GE-8T,8端口以太千兆电接口子卡（RJ45）,选配
