产品网址：http://www.optifilter.com/product_show.asp?id=3476
产品结构：root->产品中心-无锡奥夫特光学技术有限公司

|产品名称|产品型号|功能描述|
|--|--|--|
|增透膜|248nm 增透膜|应用于 KrF 激光器，要求反射率、吸收和散射损耗尽量小，同时要求阈值尽可能高|
|增透膜|59°1064nm 增透膜|常用于激光器的谐振腔，要求偏振分量的透过率和阈值都尽可能高|
|增透膜|355nm、532nm、1064nm 三波段增透膜|应用于 Nd:YAG 激光器系统，要求反射率、吸收和散射损耗尽量小，阈值尽可能高|

工作波长（nm）,工作角度,尺寸  (mm),透过率,光洁度  （美军标）,透射面形  （λ =632.8nm）,"阈值  （J/cm2,3ns）"
380-800,θ±1 0°,Φ50. 8,Tave>99.50 %,10  -5,PV<1/8,">8J/cm  2  @ 532nm,3ns"
380-800,θ±1 0°,Φ300,Tave>99.50 %,40-20,PV<1/4,">8J/cm  2  @ 532nm,3ns"
380-800,θ±1 0°,Φ600,Tave>99.50 %,60-40,PV<1/3,">8J/cm  2  @ 532nm,3ns"
380-800,θ±1 0°,Φ900,Tave>99.50 %,60-40,PV<1/3,">8J/cm  2  @ 532nm,3ns"
1900~2200,θ±1 0°,Φ12. 7,Tave>99.70 %,10  -5,PV<1/1 0,"平均功率>500 KW/ cm  2  ，峰值功率密度>200 MW/cm  2  , 2100nm"
1900~2200,θ±1 0°,Φ25. 4,Tave>99.70 %,10  -5,PV<1/1 0,"平均功率>500 KW/ cm  2  ，峰值功率密度>200 MW/cm  2  , 2100nm"
1900~2200,θ±1 0°,Φ50. 8,Tave>99.70 %,10-5,PV<1/8,"平均功率>500 KW/ cm  2  ，峰值功率密度>200 MW/cm  2  , 2100nm"
1900~2200,θ±1 0°,Φ300,Tave>99.70 %,40-20,PV<1/4,"平均功率>500 KW/ cm  2  ，峰值功率密度>200 MW/cm  2  , 2100nm"
1900~2200,θ±1 0°,Φ600,Tave>99.70 %,60-40,PV<1/3,"平均功率>500 KW/ cm  2  ，峰值功率密度>200 MW/cm  2  , 2100nm"
1900~2200,θ±1 0°,Φ900,Tave>99.70 %,60-40,PV<1/3,"平均功率>500 KW/ cm  2  ，峰值功率密度>200 MW/cm  2  , 2100nm"
