产品网址：http://www.xmcastec.com/ProductDetail/2650412.html
产品结构：root->适配器,厦门科司特电子工业有限公司

|产品名称|产品型号|功能描述|
|----|----|----|
|适配器|无|2.5w~150w 适配器/充电器系列产品，应用于无绳电话、机顶盒、小家电、Pad、笔记本电脑、打印机和电视，已取得 3C、UL、CE、CB、KC、FCC、BsmI、TUV、IRAM 等认证|

NO.,Series,Model,Power,Dimensions,Type,Input Voltage,Application field
"产品认证满足  KC,CCC,UL,FCC,BSMI,CE,CB  ，  PSE  ，  IND","产品认证满足  KC,CCC,UL,FCC,BSMI,CE,CB  ，  PSE  ，  IND","产品认证满足  KC,CCC,UL,FCC,BSMI,CE,CB  ，  PSE  ，  IND","产品认证满足  KC,CCC,UL,FCC,BSMI,CE,CB  ，  PSE  ，  IND","产品认证满足  KC,CCC,UL,FCC,BSMI,CE,CB  ，  PSE  ，  IND",,,
产品系列简介,产品系列简介,,,,,,
"1  、产品功率从  5W  到  60W  系列齐全，符合  DoE VI,COC V5 Tier 2  效率要求；","1  、产品功率从  5W  到  60W  系列齐全，符合  DoE VI,COC V5 Tier 2  效率要求；","1  、产品功率从  5W  到  60W  系列齐全，符合  DoE VI,COC V5 Tier 2  效率要求；","1  、产品功率从  5W  到  60W  系列齐全，符合  DoE VI,COC V5 Tier 2  效率要求；","1  、产品功率从  5W  到  60W  系列齐全，符合  DoE VI,COC V5 Tier 2  效率要求；",,,
"2  、  5W USB-A  ，  10W USB-A  ，  18W USB-A  系列为  USB-A  充电器产品，  6W,12,18W,24W,36W,60,  系列为  IT/AV  产品，  29W Type-C  为  PD  充电器。","2  、  5W USB-A  ，  10W USB-A  ，  18W USB-A  系列为  USB-A  充电器产品，  6W,12,18W,24W,36W,60,  系列为  IT/AV  产品，  29W Type-C  为  PD  充电器。","2  、  5W USB-A  ，  10W USB-A  ，  18W USB-A  系列为  USB-A  充电器产品，  6W,12,18W,24W,36W,60,  系列为  IT/AV  产品，  29W Type-C  为  PD  充电器。","2  、  5W USB-A  ，  10W USB-A  ，  18W USB-A  系列为  USB-A  充电器产品，  6W,12,18W,24W,36W,60,  系列为  IT/AV  产品，  29W Type-C  为  PD  充电器。","2  、  5W USB-A  ，  10W USB-A  ，  18W USB-A  系列为  USB-A  充电器产品，  6W,12,18W,24W,36W,60,  系列为  IT/AV  产品，  29W Type-C  为  PD  充电器。","2  、  5W USB-A  ，  10W USB-A  ，  18W USB-A  系列为  USB-A  充电器产品，  6W,12,18W,24W,36W,60,  系列为  IT/AV  产品，  29W Type-C  为  PD  充电器。","2  、  5W USB-A  ，  10W USB-A  ，  18W USB-A  系列为  USB-A  充电器产品，  6W,12,18W,24W,36W,60,  系列为  IT/AV  产品，  29W Type-C  为  PD  充电器。","2  、  5W USB-A  ，  10W USB-A  ，  18W USB-A  系列为  USB-A  充电器产品，  6W,12,18W,24W,36W,60,  系列为  IT/AV  产品，  29W Type-C  为  PD  充电器。"
产品特性  &  优势,产品特性  &  优势,,,,,,
1  、小体积、重量轻、携带方便、低辐射更安全,1  、小体积、重量轻、携带方便、低辐射更安全,1  、小体积、重量轻、携带方便、低辐射更安全,1  、小体积、重量轻、携带方便、低辐射更安全,,,,
2  、极高性价比，可靠性高,2  、极高性价比，可靠性高,2  、极高性价比，可靠性高,,,,,
3  、内置过压、过流和短路保护,3  、内置过压、过流和短路保护,3  、内置过压、过流和短路保护,,,,,
4  、输入特性：电压：  100-240VAC  ±  10%  ；频率：  50/60Hz,4  、输入特性：电压：  100-240VAC  ±  10%  ；频率：  50/60Hz,4  、输入特性：电压：  100-240VAC  ±  10%  ；频率：  50/60Hz,4  、输入特性：电压：  100-240VAC  ±  10%  ；频率：  50/60Hz,4  、输入特性：电压：  100-240VAC  ±  10%  ；频率：  50/60Hz,,,
5  、输出特点：恒压模式；高精度，低噪音；保持时间：  10mS Min,5  、输出特点：恒压模式；高精度，低噪音；保持时间：  10mS Min,5  、输出特点：恒压模式；高精度，低噪音；保持时间：  10mS Min,5  、输出特点：恒压模式；高精度，低噪音；保持时间：  10mS Min,5  、输出特点：恒压模式；高精度，低噪音；保持时间：  10mS Min,,,
6  、环境：工作温度：  0  ℃  -45  ℃，  5%-95%RH  ；存储温度：  -40  ℃  -70  ℃，  5%-95%RH,6  、环境：工作温度：  0  ℃  -45  ℃，  5%-95%RH  ；存储温度：  -40  ℃  -70  ℃，  5%-95%RH,6  、环境：工作温度：  0  ℃  -45  ℃，  5%-95%RH  ；存储温度：  -40  ℃  -70  ℃，  5%-95%RH,6  、环境：工作温度：  0  ℃  -45  ℃，  5%-95%RH  ；存储温度：  -40  ℃  -70  ℃，  5%-95%RH,6  、环境：工作温度：  0  ℃  -45  ℃，  5%-95%RH  ；存储温度：  -40  ℃  -70  ℃，  5%-95%RH,,,
7  、冷却方式：自然冷却,7  、冷却方式：自然冷却,7  、冷却方式：自然冷却,,,,,
8  、符合能效：  ERP/CEC-VI  标准，防雷击：  4KV/6KV,8  、符合能效：  ERP/CEC-VI  标准，防雷击：  4KV/6KV,8  、符合能效：  ERP/CEC-VI  标准，防雷击：  4KV/6KV,8  、符合能效：  ERP/CEC-VI  标准，防雷击：  4KV/6KV,,,,
"9  、安规标准：  IEC60950-1,IEC60065-1,IEC62368-1,GB8898,GB4943,UL60950-1,UL60065-1,UL62368-1  ，  J60950-1(H22)  ，  EN55022,","9  、安规标准：  IEC60950-1,IEC60065-1,IEC62368-1,GB8898,GB4943,UL60950-1,UL60065-1,UL62368-1  ，  J60950-1(H22)  ，  EN55022,","9  、安规标准：  IEC60950-1,IEC60065-1,IEC62368-1,GB8898,GB4943,UL60950-1,UL60065-1,UL62368-1  ，  J60950-1(H22)  ，  EN55022,","9  、安规标准：  IEC60950-1,IEC60065-1,IEC62368-1,GB8898,GB4943,UL60950-1,UL60065-1,UL62368-1  ，  J60950-1(H22)  ，  EN55022,","9  、安规标准：  IEC60950-1,IEC60065-1,IEC62368-1,GB8898,GB4943,UL60950-1,UL60065-1,UL62368-1  ，  J60950-1(H22)  ，  EN55022,","9  、安规标准：  IEC60950-1,IEC60065-1,IEC62368-1,GB8898,GB4943,UL60950-1,UL60065-1,UL62368-1  ，  J60950-1(H22)  ，  EN55022,","9  、安规标准：  IEC60950-1,IEC60065-1,IEC62368-1,GB8898,GB4943,UL60950-1,UL60065-1,UL62368-1  ，  J60950-1(H22)  ，  EN55022,","9  、安规标准：  IEC60950-1,IEC60065-1,IEC62368-1,GB8898,GB4943,UL60950-1,UL60065-1,UL62368-1  ，  J60950-1(H22)  ，  EN55022,"
"EN55024,  EN55014  ，  J55022(H22)  ，  J55014-1  （  H20  ），  FCC PART 15","EN55024,  EN55014  ，  J55022(H22)  ，  J55014-1  （  H20  ），  FCC PART 15","EN55024,  EN55014  ，  J55022(H22)  ，  J55014-1  （  H20  ），  FCC PART 15","EN55024,  EN55014  ，  J55022(H22)  ，  J55014-1  （  H20  ），  FCC PART 15","EN55024,  EN55014  ，  J55022(H22)  ，  J55014-1  （  H20  ），  FCC PART 15",,,
10  、符合  ROHS  标准,10  、符合  ROHS  标准,,,,,,
"11  、插脚类型：  EU,UK,BR,UL,PSE,CCC,SAA,BIS","11  、插脚类型：  EU,UK,BR,UL,PSE,CCC,SAA,BIS","11  、插脚类型：  EU,UK,BR,UL,PSE,CCC,SAA,BIS","11  、插脚类型：  EU,UK,BR,UL,PSE,CCC,SAA,BIS",,,,
12.  、平均故障率：  50  ，  000  小时,12.  、平均故障率：  50  ，  000  小时,12.  、平均故障率：  50  ，  000  小时,,,,,
