产品网址：http://en.tiandy.com/index.php?s=/Home/Product/detail/id/979.html
产品结构：root->TiandyTechnologies

|产品名称|产品型号|功能描述|
|----|----|----|
|NVR|TC-R3820|·Up to 20-ch IP camera inputs<br>·Access/forwarding bandwidth at 256Mbps/256Mbps<br>·S+265, H.265, S+264, H.264 video formats<br>·16MP(30fps)×3, 12MP(30fps)×4, 8MP(30fps)×7,6MP(30fps)×9, 5MP(30fps)×11, 4MP(30fps)×14,3MP(30fps)×18, 1080P(30fps)×20 preview decoding capacity<br>·16-ch synchronous playback<br>·16MP(30fps)×3, 12MP(30fps)×4, 8MP(30fps)×6,6MP(30fps)×8, 5MP(30fps)×9, 4MP(30fps)×12,3MP(30fps)×16, 1080P(30fps)×16 playback decoding capacity<br>·Up to 18TB capacity for each HDD<br>·Simultaneous HDMI1 and VGA1 outputs; Simultaneous HDMI2 and VGA2 outputs<br>·HDMI output at up to 4K resolution<br>·2×RJ-45, 10/100/1000 Mbps self-adaptive Ethernet port<br>·S+ 265 compression effectively reduces the storage space by up to 75%<br>·Support cloud upgrade|

Video and Audio,Unnamed: 1
Two-Way Audio,"1-ch, 3.5mm, using the audio input"
Compression,
Video,S+265; H.265; S+264; H.264
Audio,G711A; G711U; AAC; ADPCM_DIV4
Stream Type,Video; Video & Audio
Network,
Network Protocol,"ARP; DDNS; DHCP; DNS; Easy DDNS; FTP; HTTP; HTTPS; ICMP; IGMP; IPv4; IPv6; Multicast; NFS; NTP; PPPoE; RTCP; RTP; RTSP; SMB/CIFS; SMTP; SNMP; SRTP; SSH; SSL; TLSv1.2, TLSv1.3; TCP/IP; UDP; Unicast; UPnP"
Mobile Phone Access,Android; iOS; P2P_A
System Compatibility,ONVIF(profile T/S/G); RTSP; CGI; SDK
Web,IE10+; Firefox52+; Edge89+; Safari11+; Chrome57+
Record Playback,
Multi-channel Playback,16
Record Mode,Manual recording; Alarm recording; Schedule recording
Storage Method,"Local HDD, eSATA"
Backup,"USB storage device, eSATA, Network"
Playback Function,Play/Pause/Stop/Slow/Speed/Backwards 30s/Forwards 30s/Full screen/backup (video Editing)/Step/Digital Zoom
Dual Stream Record,Dual Stream Record
Alarm,
General Alarm,Motion; Mask Alarm; Alarm Input(IPC); Video Loss; Alarm Input(NVR); Manual Alarm
Exceptions Alarm,IP Conflict; MAC Conflict; Network Disconnected; No disk; Illegal Access; Disk group space alert; Disk Full; Disk R/W error; Video Abnormal; Abnormal found in smart of disk; Abnormal temperature of the disk; Hot-spare Exception; Array Exception; IPC voltage abnormal; RTC failure
Intelligent Analytics,
AI by Camera,Tripwire; Double Tripwire; Perimeter; Object Abandon; Object Missing; Loiter; Running; Parking; Heatmap; Lens Dignose; Scene Switch Dignose; Signal Abnormal Detection; Signal Loss Detection; Plate License Recognition; On Duty Detection; Crowd Detection; Parking guard; Safety Helmet Detection; Electric vehicle testing; People Counting; Link To Tracking; Fireworks detection; Environmental temperature measurement; Face Detection; Human body temperature measurement; Advanced Intelligence; Face Recognition
AI by NVR,Face Detection; Face Recognition
VCA Search,Heatmap; Early-warning search; Behavior Search; Plate license search; Search safety helmet; Thermographic retrieval; Duty search; Electric vehicle retrieval; Facial search
Face Detection,
Face Attributes,Gender; age; glasses; mouth mask; beard; Body temp.
Face Recognition,
Performance,8-ch video streams; 16-ch image streams
Face Picture Library,"Up to 32 face libraries, up to 100000 base images Up to 100000 face pictures in stranger library"
Face Picture Comparison,Face Picture Comparison
Comparison Speed(Captured from Camera),16 pictures per second
Comparison Speed(Captured from NVR),8 pictures per second
Storage,
HDD Capacity,Up to 18TB capacity for each HDD
Disk Group,8 Disk Group
RAID,"JBOD, RAID0, RAID1, RAID5, RAID6, RAID10, RAID50, RAID60"
External Port,
eSATA,1×eSATA
USB,2×USB2.0; 1×USB3.0
HDMI,2×HDMI(supports up to 4K resolution output)
VGA,2×VGA
Network Interface,"2×RJ-45, 10/100/1000 Mbps self-adaptive Ethernet port"
SATA,8×SATA interface
RS232,1×RS232
RS485,2×RS485
Alarm I/O,"16-ch, TTL inputs, 3mA, 3.3VDC; 8-ch, relay outputs, 1A, 24VDC"
Controllable 12V,"Controllable 12V DC, 1A power output for external alarm device; The power will be turned on when the alarm output is triggered."
General,
UI Language,Simple Chinese; Traditional Chinese; English; Spanish; Korean; Italian; Turkish; Russian; Thai; French; Polish; Dutch; Hebrew; Arabic; Vietnamese; German; Ukrainian; Portuguese; Albanian
Power Supply,100~240V AC
Power Consumption,"<28W(HDD not included, idling)"
NetWeight,7.3Kg
GrossWeight,9.45Kg
Boundary Dimensions,440(L)451(W)94(H)mm
Package Dimensions,565(L)565(W)220(H)mm
Operating Temperature,-10℃~+55℃
Operating Humidity,10%~90%RH
Storage Temperature,-10℃~+55℃
Storage Humidity,10%~90%RH
Package Kit,Network Video Recorder; Screw pack; Mouse; European standard power cord; 2Ear plate; 8SATA hard disk data cable


Date,Title,Type
2024-04-07,1D.20030.020668_TC-R3820 IFNV4.0_en,pdf
