输入  /  输出驻波比,1.5  ：  1/1.35  ：  1,1.5  ：  1/1.35  ：  1,1.5  ：  1/1.35  ：  1,1.5  ：  1/1.35  ：  1,1.5  ：  1/1.35  ：  1,1.5  ：  1/1.35  ：  1,1.5  ：  1/1.35  ：  1
功耗,60W,120W,120W,180W,180W,350W,350W
重量,1.5Kg,3Kg,3Kg,3.5Kg,3.5Kg,4.8Kg,4.8Kg
相位噪声,-63dBc/Hz  @100Hz,-63dBc/Hz  @100Hz,-63dBc/Hz  @100Hz,-63dBc/Hz  @100Hz,-63dBc/Hz  @100Hz,-63dBc/Hz  @100Hz,-63dBc/Hz  @100Hz
相位噪声,-73dBc/Hz  @1KHz,-73dBc/Hz  @1KHz,-73dBc/Hz  @1KHz,-73dBc/Hz  @1KHz,-73dBc/Hz  @1KHz,-73dBc/Hz  @1KHz,-73dBc/Hz  @1KHz
相位噪声,-83dBc/Hz  @10KHz,-83dBc/Hz  @10KHz,-83dBc/Hz  @10KHz,-83dBc/Hz  @10KHz,-83dBc/Hz  @10KHz,-83dBc/Hz  @10KHz,-83dBc/Hz  @10KHz
相位噪声,-93dBc/Hz  @100KHz,-93dBc/Hz  @100KHz,-93dBc/Hz  @100KHz,-93dBc/Hz  @100KHz,-93dBc/Hz  @100KHz,-93dBc/Hz  @100KHz,-93dBc/Hz  @100KHz
外参考源要求,10MHz  ，  0±5dBm,10MHz  ，  0±5dBm,10MHz  ，  0±5dBm,10MHz  ，  0±5dBm,10MHz  ，  0±5dBm,10MHz  ，  0±5dBm,10MHz  ，  0±5dBm
接口,中频、外参考输入  N-50K,中频、外参考输入  N-50K,中频、外参考输入  N-50K,中频、外参考输入  N-50K,中频、外参考输入  N-50K,中频、外参考输入  N-50K,中频、外参考输入  N-50K
接口,输出：  BJ-320  （法兰：  FBM320  ）,输出：  BJ-320  （法兰：  FBM320  ）,输出：  BJ-320  （法兰：  FBM320  ）,输出：  BJ-320  （法兰：  FBM320  ）,输出：  BJ-320  （法兰：  FBM320  ）,输出：  BJ-320  （法兰：  FBM320  ）,输出：  BJ-320  （法兰：  FBM320  ）
接口,供电：航空插头,供电：航空插头,供电：航空插头,供电：航空插头,供电：航空插头,供电：航空插头,供电：航空插头
接口,监控：航空插头，支持  RS-232  、  RS-485  、以太网,监控：航空插头，支持  RS-232  、  RS-485  、以太网,监控：航空插头，支持  RS-232  、  RS-485  、以太网,监控：航空插头，支持  RS-232  、  RS-485  、以太网,监控：航空插头，支持  RS-232  、  RS-485  、以太网,监控：航空插头，支持  RS-232  、  RS-485  、以太网,监控：航空插头，支持  RS-232  、  RS-485  、以太网
供电电压,+20 ~ +60 VDC,+20 ~ +60 VDC,供电电压,供电电压,+20 ~ +60 VDC,+20 ~ +60 VDC,供电电压
工作温度,-40  ℃～  +60  ℃,-40  ℃～  +60  ℃,-40  ℃～  +60  ℃,-40  ℃～  +60  ℃,-40  ℃～  +60  ℃,-40  ℃～  +60  ℃,-40  ℃～  +60  ℃
工作湿度,0%  ～  100%,0%  ～  100%,0%  ～  100%,0%  ～  100%,0%  ～  100%,0%  ～  100%,0%  ～  100%
