产品网址：http://en.tiandy.com/index.php?s=/Home/Product/detail/id/330.html
产品结构：root->TiandyTechnologies

|产品名称|产品型号|功能描述|
|----|----|----|
|K2000|TC-S36424|全功能 CMS 模块内置于 K 系列服务器（K1000/K2000）；英语 WEB 管理界面；最大 2000 个视频通道；支持访问 24 个硬盘；标配一个 4T 企业级硬盘；2 个 HDMI 解码输出；内置 Easy7 CMS V9.2.0 软件|

Classification,Data Classification,Calculation Rule,K2000
Pressure performance index (standard value),Access control report number per second,Access card reader and pad//Duration,5
Pressure performance index (standard value),Number of brake reports per second,Brake/Duration,1
Pressure performance index (standard value),Number of concurrent users logging in per second,200 users,4
File storage metrics,Lightweight file storage,"15M/S, 25 pictures/second","15M/S, 25 pictures/second"
File storage metrics,Decoding performance,Local decoding supports 4-channel 1080P,4
Historical data capacity indicators,Total number of log records,,1600000
Historical data capacity indicators,Total number of alarm records,,4000000
Historical data capacity indicators,Total number of entry and exit records,,800000
Historical data capacity indicators,Total number of vehicle passing records,,160000
Historical data capacity indicators,Non-motor vehicle passing record,,160000
Historical data capacity indicators,Alarm control,,4000
Historical data capacity indicators,Attendance data,,1600000
Historical data capacity indicators,Total number of passenger flow camera records,,80000
Historical data capacity indicators,Face alarm,,200000
Historical data capacity indicators,Face capture,,400000
Historical data capacity indicators,Total amount of data,,10000000


Date,Title,Type
2024-05-16,K2000 TC-S3624 Spec T-4U-V5.2,pdf
