产品网址：https://www.calterah.com/quality-2/?a=6726
产品结构：root->加特兰微电子-质量

|产品名称|产品型号|功能描述|
|--|--|--|
|Alps 系列雷达芯片|无|国内首个完全符合 ISO 26262 并通过第三方认证的芯片，可极大帮助客户实现 ADAS 系统的安全目标，快速通过更高级别的安全评估，加速产品导入和装车量产|




产品系列,封装集成片上天线 (AiP),料号,测试项,参考标准,结果
Yellowstone,否,CAL60A2T4R,无偏压加速应力测试（不通电）,JESD22-A118,通过
Yellowstone,否,CAL60A2T4R,温度循环,JESD22-A104,通过
Yellowstone,否,CAL60A2T4R,功率温度循环,JESD22-A105,通过
Yellowstone,否,CAL60A2T4R,高温储存,JESD22-A103,通过
Yellowstone,否,CAL60A2T4R,高温工作寿命,JESD22-A108,通过
Yellowstone,否,CAL60A2T4R,早夭失效率,AEC-Q100-008,通过
Yellowstone,否,CAL60A2T4R,人体放电模型,AEC-Q100-002,通过
Yellowstone,否,CAL60A2T4R,带电器件模型,AEC-Q100-011,通过
Yellowstone,否,CAL60A2T4R,闩锁效应,AEC-Q100-004,通过
Yosemite,否,CAL77A4T8R,预处理,JESD22-A113,通过
Yosemite,否,CAL77A4T8R,预处理,J-STD-020,通过
Yosemite,否,CAL77A4T8R,偏压高加速应力测试（通电）,JESD22-A110,通过
Yosemite,否,CAL77A4T8R,无偏压加速应力测试（不通电）,JESD22-A118,通过
Yosemite,否,CAL77A4T8R,温度循环,JESD22-A104,通过
Yosemite,否,CAL77A4T8R,功率温度循环,JESD22-A105,通过
Yosemite,否,CAL77A4T8R,高温储存,JESD22-A103,通过
Yosemite,否,CAL77A4T8R,高温工作寿命,JESD22-A108,通过
Yosemite,否,CAL77A4T8R,早夭失效率,AEC-Q100-008,通过
Yosemite,否,CAL77A4T8R,人体放电模型,AEC-Q100-002,通过
Yosemite,否,CAL77A4T8R,带电器件模型,AEC-Q100-011,通过
Yosemite,否,CAL77A4T8R,闩锁效应,AEC-Q100-004,通过
Yosemite,否,CAL77A2T4R,预处理,JESD22-A113,通过
Yosemite,否,CAL77A2T4R,预处理,J-STD-020,通过
Yosemite,否,CAL77A2T4R,偏压高加速应力测试（通电）,JESD22-A110,通过
Yosemite,否,CAL77A2T4R,无偏压加速应力测试（不通电）,JESD22-A118,通过
Yosemite,否,CAL77A2T4R,温度循环,JESD22-A104,通过
Yosemite,否,CAL77A2T4R,功率温度循环,JESD22-A105,通过
Yosemite,否,CAL77A2T4R,高温储存,JESD22-A103,通过
Yosemite,否,CAL77A2T4R,高温工作寿命,JESD22-A108,通过
Yosemite,否,CAL77A2T4R,早夭失效率,AEC-Q100-008,通过
Yosemite,否,CAL77A2T4R,人体放电模型,AEC-Q100-002,通过
Yosemite,否,CAL77A2T4R,带电器件模型,AEC-Q100-011,通过
Yosemite,否,CAL77A2T4R,闩锁效应,AEC-Q100-004,通过


料号,平均故障间隔时间（小时）,时基故障,失效品,样本大小,置信度（%）,使用结温（°C）,测试结温（°C）,激活能量（eV）
CAL77S244-IB,6700000,148,0,2800,60,87,125,0.7
CAL77S244-AB,6700000,148,0,2800,60,87,125,0.7
CAL77S244-AE,6700000,148,0,2800,60,87,125,0.7
CAL77S224-AE,6700000,148,0,2800,60,87,125,0.7
CAL60S322-IC,6700000,148,0,2800,60,87,125,0.7
CAL60S322-ID,6700000,148,0,2800,60,87,125,0.7
CAL60S244-IE,6700000,148,0,2800,60,87,125,0.7
CAL60S244-IB,6700000,148,0,2800,60,87,125,0.7
CAL60A2T4R,7900000,127,0,3120,60,87,125,0.7
CAL77A4T8R,7900000,127,0,3120,60,87,125,0.7
CAL77A2T4R,7900000,127,0,3120,60,87,125,0.7


料号,湿敏等级
CAL77S244-IB,等级-3-260°C-168小时
CAL77S244-AB,等级-3-260°C-168小时
CAL77S244-AE,等级-3-260°C-168小时
CAL77S224-AE,等级-3-260°C-168小时
CAL60S322-IC,等级-3-260°C-168小时
CAL60S322-ID,等级-3-260°C-168小时
CAL60S244-IE,等级-3-260°C-168小时
CAL60S244-IB,等级-3-260°C-168小时
CAL60A2T4R,等级-2-260°C-1年
CAL77A4T8R,等级-2-260°C-1年
CAL77A2T4R,等级-2-260°C-1年
