产品网址：http://www.sinhovo.com/proinfo.aspx?id=14
产品结构：返回首页->产品中心->高精度测量类->全自动钢网检测/测量机->详细信息

|产品名称|产品型号|功能描述|
|----|----|----|
|全自动钢网检测/测量机|T 系列|全功能：开孔检测要求全覆盖；显微直观钢网孔壁观测；阶梯钢网厚度直观测量；高精度张力测量方案；全板开孔不良检查。高精度：高精度测量设备理念设计；大理石平台、全铸造龙门结构；高精度、高速度光栅尺反馈定位；3 条光栅尺，全闭环坐标定位技术；全板扫描检测技术（针对钢网多孔、破损、变形）；高分辨率进口相机、镜头。工艺研究窗口：虚拟印刷功能：钢网 GERBER 对比与分析；PCB GERBER 对比分析；PCB 实物扫描与对比；钢网实物扫描、检测、对比；以上四点全照合对比分析。|

全自动钢网检测机参数表  Automatic Stencil inspection machine parameter table,全自动钢网检测机参数表  Automatic Stencil inspection machine parameter table.1,全自动钢网检测机参数表  Automatic Stencil inspection machine parameter table.2,全自动钢网检测机参数表  Automatic Stencil inspection machine parameter table.3,全自动钢网检测机参数表  Automatic Stencil inspection machine parameter table.4,全自动钢网检测机参数表  Automatic Stencil inspection machine parameter table.5,全自动钢网检测机参数表  Automatic Stencil inspection machine parameter table.6
10,检查精度  Inspection accuracy,位置精度  Position accuracy,GR&R<5%，光栅尺分辨率±1μm、定位精度：±10μm  GR&R<5%、 grating scale resolution ±1μm、positioning accuracy:±10μm,GR&R<5%，光栅尺分辨率±1μm、定位精度：±10μm  GR&R<5%、 grating scale resolution ±1μm、positioning accuracy:±10μm,GR&R<5%，光栅尺分辨率±1μm、定位精度：±10μm  GR&R<5%、 grating scale resolution ±1μm、positioning accuracy:±10μm,GR&R<5%，光栅尺分辨率±1μm、定位精度：±10μm  GR&R<5%、 grating scale resolution ±1μm、positioning accuracy:±10μm
11,检查精度  Inspection accuracy,定位采样位置  Locate the sampling location,运动结构末端采样  Moving structure end sampling,运动结构末端采样  Moving structure end sampling,运动结构末端采样  Moving structure end sampling,运动结构末端采样  Moving structure end sampling
12,检查精度  Inspection accuracy,电机定位方式  Motor positioning mode,绝对静止后采样  Absolute static sampling,绝对静止后采样  Absolute static sampling,绝对静止后采样  Absolute static sampling,绝对静止后采样  Absolute static sampling
13,检查精度  Inspection accuracy,张力检测  Tension detection,"高精度张力计，任意多位置测试  精度： ±1N.cm，张力范围：0~60N  High-precision tensiometer, any multi-position Inspection  Accuracy: ±1N.cm, tension range: 0~60N  使用设备内部自带玻璃板校准和归零（Calibration and zeroing using the built-in glass plate  inside the device）","高精度张力计，任意多位置测试  精度： ±1N.cm，张力范围：0~60N  High-precision tensiometer, any multi-position Inspection  Accuracy: ±1N.cm, tension range: 0~60N  使用设备内部自带玻璃板校准和归零（Calibration and zeroing using the built-in glass plate  inside the device）","高精度张力计，任意多位置测试  精度： ±1N.cm，张力范围：0~60N  High-precision tensiometer, any multi-position Inspection  Accuracy: ±1N.cm, tension range: 0~60N  使用设备内部自带玻璃板校准和归零（Calibration and zeroing using the built-in glass plate  inside the device）","高精度张力计，任意多位置测试  精度： ±1N.cm，张力范围：0~60N  High-precision tensiometer, any multi-position Inspection  Accuracy: ±1N.cm, tension range: 0~60N  使用设备内部自带玻璃板校准和归零（Calibration and zeroing using the built-in glass plate  inside the device）"
14,检查精度  Inspection accuracy,最小检测开口  Minimμm detection opening,100μm  * 100μm,100μm  * 100μm,最高50μm * 50μm (by 4.6μm)  Up to 50μm * 50μm (by 4.6μm),最高50μm * 50μm (by 4.6μm)  Up to 50μm * 50μm (by 4.6μm)
15,检查精度  Inspection accuracy,最小检测间距  Minimum detection distance,80μm,80μm,最高50μm,最高50μm
16,检查精度  Inspection accuracy,最大检测开口  Maximum detection opening,10mm  * 7mm (by 6.9μm),10mm  * 7mm (by 6.9μm),15mm * 10mm (by 6.9μm),15mm * 10mm (by 6.9μm)
17,检查精度  Inspection accuracy,最大检测开口数量  Maximum number of detection openings,50万,50万,80万,80万
18,光学系统  Optical system,相机  Camera,500万像素相机  5 megapixel camera,500万像素相机  5 megapixel camera,1200万像素相  12 mega pixel camera,1200万像素相  12 mega pixel camera
19,光学系统  Optical system,镜头  Lens,10M  定制双侧远心光学镜头  10M custom double-sided telecentric optical lens,10M  定制双侧远心光学镜头  10M custom double-sided telecentric optical lens,12M 定制双侧远心光学镜头  12M Custom double-sided telecentric optical lens,12M 定制双侧远心光学镜头  12M Custom double-sided telecentric optical lens
20,光学系统  Optical system,顶部光源  Top lighting,"环形LED顶光，同轴LED光源  Ring LED top light, coaxial LED light source","环形LED顶光，同轴LED光源  Ring LED top light, coaxial LED light source","环形LED顶光，同轴LED光源  Ring LED top light, coaxial LED light source","环形LED顶光，同轴LED光源  Ring LED top light, coaxial LED light source"
21,光学系统  Optical system,底部光源  Bottom lighting,高功率绿色同轴LED灯  High power green light coaxial LED light,高功率绿色同轴LED灯  High power green light coaxial LED light,高功率绿色同轴LED灯  High power green light coaxial LED light,高功率绿色同轴LED灯  High power green light coaxial LED light
22,光学系统  Optical system,分辨率  Resolution,6.90~8.6μm  /pixel,6.90~8.6μm  /pixel,4.6~6.9μm/pixel,4.6~6.9μm/pixel
23,光学系统  Optical system,设备测量分辨率  Equipment measurement resolution,0.5μm,0.5μm,0.4μm,0.4μm
24,光学系统  Optical system,"自动激光对焦、测距  Automatic laser focus, ranging",自动激光对焦测距功能  Automatic laser focus ranging function,自动激光对焦测距功能  Automatic laser focus ranging function,自动激光对焦测距功能  Automatic laser focus ranging function,自动激光对焦测距功能  Automatic laser focus ranging function
25,光学系统  Optical system,FOV尺寸  FOV size,16.9*13.9mm~22*17mm,16.9*13.9mm~22*17mm,18*13.8mm(by 4.6μm)  28.3*20.7mm(by 6.9μm),18*13.8mm(by 4.6μm)  28.3*20.7mm(by 6.9μm)
26,钢网规格  Stencil specification,最大网框尺寸  Maximμm frame size,813*813*60mm以下,813*813*60mm以下,813*813*60mm以下,813*813*60mm以下
27,钢网规格  Stencil specification,最大测量范围  Maximμm measurement range,500*550mm,500*550mm,500*550mm,500*550mm
28,设备规格  Equipment Specifications,外观尺寸（L*W*H）Dimensions,1245*1330*1445mm（以最终实际为准）,1245*1330*1445mm（以最终实际为准）,1245*1330*1445mm（以最终实际为准）,1245*1330*1445mm（以最终实际为准）
29,设备规格  Equipment Specifications,重量  Weight,<1080KG,<1080KG,<1080KG,<1080KG
30,设备规格  Equipment Specifications,设备结构  Equipment structure,零零级大理石平台＋铸造结构，高精度测量保证  High-precision marble platform + casting structure，High-precision  measurement guarantee,零零级大理石平台＋铸造结构，高精度测量保证  High-precision marble platform + casting structure，High-precision  measurement guarantee,零零级大理石平台＋铸造结构，高精度测量保证  High-precision marble platform + casting structure，High-precision  measurement guarantee,零零级大理石平台＋铸造结构，高精度测量保证  High-precision marble platform + casting structure，High-precision  measurement guarantee
31,设备规格  Equipment Specifications,龙门结构  Gantry structure,全铸造龙门结构，寿命更好  Cast gantry structure for longer life,全铸造龙门结构，寿命更好  Cast gantry structure for longer life,全铸造龙门结构，寿命更好  Cast gantry structure for longer life,全铸造龙门结构，寿命更好  Cast gantry structure for longer life
32,设备规格  Equipment Specifications,传动系统  Transmission system,直流电机+3光栅尺闭环控制、光栅尺分辨率±1μm  DC motor + 3 Grating closed loop control、grating scale resolution ±1μm,直流电机+3光栅尺闭环控制、光栅尺分辨率±1μm  DC motor + 3 Grating closed loop control、grating scale resolution ±1μm,直流电机+3光栅尺闭环控制、光栅尺分辨率±1μm  DC motor + 3 Grating closed loop control、grating scale resolution ±1μm,直流电机+3光栅尺闭环控制、光栅尺分辨率±1μm  DC motor + 3 Grating closed loop control、grating scale resolution ±1μm
33,计算机  Computer,操作系统  Operating system,Windows 7/10 X64 专业版  Windows 7/10 X64 Professional Edition,Windows 7/10 X64 专业版  Windows 7/10 X64 Professional Edition,Windows 7/10 X64 专业版  Windows 7/10 X64 Professional Edition,Windows 7/10 X64 专业版  Windows 7/10 X64 Professional Edition
34,计算机  Computer,电脑、显示器  Computer monitor,E5  至强、32G、2TB+500G SSD、2G显卡、22' LCD  E5 Xeon、32G、2TB+500G 、22' LCD,E5  至强、32G、2TB+500G SSD、2G显卡、22' LCD  E5 Xeon、32G、2TB+500G 、22' LCD,E5 至强、64G、4TB+500G SSD、4G显卡、22' LCD  E5 Xeon、64G、4TB+500G、22' LCD,E5 至强、64G、4TB+500G SSD、4G显卡、22' LCD  E5 Xeon、64G、4TB+500G、22' LCD
35,软件功能  Software function,编程方式  Programming mode,"Gerber文件编程、CAD导入  Gerber file programming, CAD import","Gerber文件编程、CAD导入  Gerber file programming, CAD import","Gerber文件编程、CAD导入  Gerber file programming, CAD import","Gerber文件编程、CAD导入  Gerber file programming, CAD import"
36,软件功能  Software function,Gerber  file读取时间  Gerber file read time,20万孔以内：5S,20万孔以内：5S,20万孔以内：3S,20万孔以内：3S
37,软件功能  Software function,Gerber  file操作响应时间  Gerber file operation response time,20万孔以内：0.3S,20万孔以内：0.3S,20万孔以内：0.3S,20万孔以内：0.3S
38,软件功能  Software function,编程时间  Programming time,1万孔以内：2～5分钟  Within 10000 holes：2 to 5 minutes,1万孔以内：2～5分钟  Within 10000 holes：2 to 5 minutes,1万孔以内：2～5分钟  Within 10000 holes：2 to 5 minutes,1万孔以内：2～5分钟  Within 10000 holes：2 to 5 minutes
39,软件功能  Software function,离线编程  Offline programming,离线编程  Offline programming,离线编程  Offline programming,离线编程  Offline programming,离线编程  Offline programming
40,软件功能  Software function,自动编程  Automatic programming,具备自动编程及远程自动编程功能  It has automatic programming and remote automatic programming functions,具备自动编程及远程自动编程功能  It has automatic programming and remote automatic programming functions,具备自动编程及远程自动编程功能  It has automatic programming and remote automatic programming functions,具备自动编程及远程自动编程功能  It has automatic programming and remote automatic programming functions
41,软件功能  Software function,Gerber  file,RS-274、RS-274X,RS-274、RS-274X,RS-274、RS-274X,RS-274、RS-274X
42,软件功能  Software function,机种切换时间  Model switching time,"小于2分钟，可按条码/RF读取程式  Less than 2 minutes, you can read the program by barcode/RF","小于2分钟，可按条码/RF读取程式  Less than 2 minutes, you can read the program by barcode/RF","小于2分钟，可按条码/RF读取程式  Less than 2 minutes, you can read the program by barcode/RF","小于2分钟，可按条码/RF读取程式  Less than 2 minutes, you can read the program by barcode/RF"
43,软件功能  Software function,主要算法  Main algorithm,通过MARK矫正计算坐标位置  用矢量图像算法计算开口与实际Geber的几何位置与尺寸差异等  Calculate coordinate position by MARK correction  Calculate the geometric position and size difference between the opening  and the actual Geber by vector image algorithm,通过MARK矫正计算坐标位置  用矢量图像算法计算开口与实际Geber的几何位置与尺寸差异等  Calculate coordinate position by MARK correction  Calculate the geometric position and size difference between the opening  and the actual Geber by vector image algorithm,通过MARK矫正计算坐标位置  用矢量图像算法计算开口与实际Geber的几何位置与尺寸差异等  Calculate coordinate position by MARK correction  Calculate the geometric position and size difference between the opening  and the actual Geber by vector image algorithm,通过MARK矫正计算坐标位置  用矢量图像算法计算开口与实际Geber的几何位置与尺寸差异等  Calculate coordinate position by MARK correction  Calculate the geometric position and size difference between the opening  and the actual Geber by vector image algorithm
44,软件功能  Software function,设备测试模式  Device Inspection mode,离线测试  Offline Inspection,离线测试  Offline Inspection,离线测试  Offline Inspection,离线测试  Offline Inspection
45,,测试内容选择  Inspection content selection,"可根据A/R , W/T 参数选择测试内容、参数  Inspection content and parameters can be selected according to size, type,  A/R, W/T parameters","可根据A/R , W/T 参数选择测试内容、参数  Inspection content and parameters can be selected according to size, type,  A/R, W/T parameters","可根据A/R , W/T 参数选择测试内容、参数  Inspection content and parameters can be selected according to size, type,  A/R, W/T parameters","可根据A/R , W/T 参数选择测试内容、参数  Inspection content and parameters can be selected according to size, type,  A/R, W/T parameters"
46,,测试方式  Inspection method,"多种检测模式与测试级别设定  不同元件可分组分级别单独定义和测试，包含面积、尺寸、位置、张力等  Multiple detection modes and Inspection level settings  Different components can be individually defined and Inspectioned at the  component level，Including area, size, position, tension, etc","多种检测模式与测试级别设定  不同元件可分组分级别单独定义和测试，包含面积、尺寸、位置、张力等  Multiple detection modes and Inspection level settings  Different components can be individually defined and Inspectioned at the  component level，Including area, size, position, tension, etc","多种检测模式与测试级别设定  不同元件可分组分级别单独定义和测试，包含面积、尺寸、位置、张力等  Multiple detection modes and Inspection level settings  Different components can be individually defined and Inspectioned at the  component level，Including area, size, position, tension, etc","多种检测模式与测试级别设定  不同元件可分组分级别单独定义和测试，包含面积、尺寸、位置、张力等  Multiple detection modes and Inspection level settings  Different components can be individually defined and Inspectioned at the  component level，Including area, size, position, tension, etc"
47,,检测数据库  Detection database,"保存程式名称、条码、操作人员、开孔面积，尺寸、坐标、偏移量，张力数据、图片等  Save program name, barcode, operator, opening area, size, coordinates,  offset, tension data, images, etc.","保存程式名称、条码、操作人员、开孔面积，尺寸、坐标、偏移量，张力数据、图片等  Save program name, barcode, operator, opening area, size, coordinates,  offset, tension data, images, etc.","保存程式名称、条码、操作人员、开孔面积，尺寸、坐标、偏移量，张力数据、图片等  Save program name, barcode, operator, opening area, size, coordinates,  offset, tension data, images, etc.","保存程式名称、条码、操作人员、开孔面积，尺寸、坐标、偏移量，张力数据、图片等  Save program name, barcode, operator, opening area, size, coordinates,  offset, tension data, images, etc."
48,,用户权限  User rights,可按客户需求定义用户权限级别  User privilege levels can be defined according to customer needs,可按客户需求定义用户权限级别  User privilege levels can be defined according to customer needs,可按客户需求定义用户权限级别  User privilege levels can be defined according to customer needs,可按客户需求定义用户权限级别  User privilege levels can be defined according to customer needs
49,,与公司内部系统串接  Connected to the company's internal system,"支持数据上传，可按MES需求开放、定制数据接口、数据结构、通讯方式  Support data uploading, custom data interface, data structure,  communication method as required","支持数据上传，可按MES需求开放、定制数据接口、数据结构、通讯方式  Support data uploading, custom data interface, data structure,  communication method as required","支持数据上传，可按MES需求开放、定制数据接口、数据结构、通讯方式  Support data uploading, custom data interface, data structure,  communication method as required","支持数据上传，可按MES需求开放、定制数据接口、数据结构、通讯方式  Support data uploading, custom data interface, data structure,  communication method as required"
50,,钢网条码扫描功能  Stencil barcode scanning function,通过扫描钢网条码读取程式和管理数据  Reading programs and managing data by scanning steel mesh barcodes,通过扫描钢网条码读取程式和管理数据  Reading programs and managing data by scanning steel mesh barcodes,通过扫描钢网条码读取程式和管理数据  Reading programs and managing data by scanning steel mesh barcodes,通过扫描钢网条码读取程式和管理数据  Reading programs and managing data by scanning steel mesh barcodes
51,,钢网与PCB  Gerber对比  Stencil Gerber contrast PCB Gerber function,钢网GERBER与PCB Gerber对比功能，可检查钢网GERBER正确性  Stencil GERBER and PCB Gerber comparison function to check the correctness  of Stencil GERBER,钢网GERBER与PCB Gerber对比功能，可检查钢网GERBER正确性  Stencil GERBER and PCB Gerber comparison function to check the correctness  of Stencil GERBER,钢网GERBER与PCB Gerber对比功能，可检查钢网GERBER正确性  Stencil GERBER and PCB Gerber comparison function to check the correctness  of Stencil GERBER,钢网GERBER与PCB Gerber对比功能，可检查钢网GERBER正确性  Stencil GERBER and PCB Gerber comparison function to check the correctness  of Stencil GERBER
52,,每片钢网历史记录  Stencil history,"文件方式记录测试过程和结果数据，且可离线查看测试结果  File mode records Inspection process and result data, and can view  Inspection results offline","文件方式记录测试过程和结果数据，且可离线查看测试结果  File mode records Inspection process and result data, and can view  Inspection results offline","文件方式记录测试过程和结果数据，且可离线查看测试结果  File mode records Inspection process and result data, and can view  Inspection results offline","文件方式记录测试过程和结果数据，且可离线查看测试结果  File mode records Inspection process and result data, and can view  Inspection results offline"
53,,SPC  数据统计软件  SPC data statistics software,"位置、面积、大小、SPC数据分析、汇总报告、CPK&Grr精度报告、散点图、涨缩系数以及其他数据和图表  Position,area, size, SPC data analysis, summary reports, CPK&Grr  accuracy reports, scatter charts, expansion and contraction coefficients, and  other data and charts","位置、面积、大小、SPC数据分析、汇总报告、CPK&Grr精度报告、散点图、涨缩系数以及其他数据和图表  Position,area, size, SPC data analysis, summary reports, CPK&Grr  accuracy reports, scatter charts, expansion and contraction coefficients, and  other data and charts","位置、面积、大小、SPC数据分析、汇总报告、CPK&Grr精度报告、散点图、涨缩系数以及其他数据和图表  Position,area, size, SPC data analysis, summary reports, CPK&Grr  accuracy reports, scatter charts, expansion and contraction coefficients, and  other data and charts","位置、面积、大小、SPC数据分析、汇总报告、CPK&Grr精度报告、散点图、涨缩系数以及其他数据和图表  Position,area, size, SPC data analysis, summary reports, CPK&Grr  accuracy reports, scatter charts, expansion and contraction coefficients, and  other data and charts"
54,设备需求  条件  Equipment demand condition,电压  Voltage,"AC 220V±10%(单相), 50/60Hz，1000VA  AC 220V ± 10% (single phase), 50/60Hz, 1000VA","AC 220V±10%(单相), 50/60Hz，1000VA  AC 220V ± 10% (single phase), 50/60Hz, 1000VA","AC 220V±10%(单相), 50/60Hz，1000VA  AC 220V ± 10% (single phase), 50/60Hz, 1000VA","AC 220V±10%(单相), 50/60Hz，1000VA  AC 220V ± 10% (single phase), 50/60Hz, 1000VA"
55,设备需求  条件  Equipment demand condition,气压  Air pressure,无需气压  No need for air pressure,无需气压  No need for air pressure,无需气压  No need for air pressure,无需气压  No need for air pressure
56,设备需求  条件  Equipment demand condition,振动是否影响精度  Does vibration affect accuracy?,A级 50DB 以下振动不影响  Class A vibration below 50DB does not affect,A级 50DB 以下振动不影响  Class A vibration below 50DB does not affect,A级 50DB 以下振动不影响  Class A vibration below 50DB does not affect,A级 50DB 以下振动不影响  Class A vibration below 50DB does not affect
57,设备服务  Equipment service,保修期限  Warranty period,整机壹年保修  One year warranty,整机壹年保修  One year warranty,整机壹年保修  One year warranty,整机壹年保修  One year warranty
58,设备服务  Equipment service,设备校正周期  Equipment calibration cycle,一年一次或搬运设备后校正  Corrected after one year or after mobile device,一年一次或搬运设备后校正  Corrected after one year or after mobile device,一年一次或搬运设备后校正  Corrected after one year or after mobile device,一年一次或搬运设备后校正  Corrected after one year or after mobile device
59,设备服务  Equipment service,软件升级服务  Software upgrade service,标准测试软件 终身免费升级  Standard software lifetime free upgrade,标准测试软件 终身免费升级  Standard software lifetime free upgrade,标准测试软件 终身免费升级  Standard software lifetime free upgrade,标准测试软件 终身免费升级  Standard software lifetime free upgrade
60,设备服务  Equipment service,服务支持  Service support,"7*24,4小时内响应  7*24, response within 4 hours","7*24,4小时内响应  7*24, response within 4 hours","7*24,4小时内响应  7*24, response within 4 hours","7*24,4小时内响应  7*24, response within 4 hours"
61,设备服务  Equipment service,备品仓库  Spare parts warehouse,"深圳、苏州、重庆备品仓库  Shenzhen, Suzhou, Chongqing spare parts warehouse","深圳、苏州、重庆备品仓库  Shenzhen, Suzhou, Chongqing spare parts warehouse","深圳、苏州、重庆备品仓库  Shenzhen, Suzhou, Chongqing spare parts warehouse","深圳、苏州、重庆备品仓库  Shenzhen, Suzhou, Chongqing spare parts warehouse"
"*因技术更新，以上参数可能与实际设备稍有差异，最终解释权归厂家所有。  * Due to technical updates, the above parameters may differ slightly from  the actual equipment，The final interpretation right belongs to the  manufacturer.","*因技术更新，以上参数可能与实际设备稍有差异，最终解释权归厂家所有。  * Due to technical updates, the above parameters may differ slightly from  the actual equipment，The final interpretation right belongs to the  manufacturer.","*因技术更新，以上参数可能与实际设备稍有差异，最终解释权归厂家所有。  * Due to technical updates, the above parameters may differ slightly from  the actual equipment，The final interpretation right belongs to the  manufacturer.","*因技术更新，以上参数可能与实际设备稍有差异，最终解释权归厂家所有。  * Due to technical updates, the above parameters may differ slightly from  the actual equipment，The final interpretation right belongs to the  manufacturer.","*因技术更新，以上参数可能与实际设备稍有差异，最终解释权归厂家所有。  * Due to technical updates, the above parameters may differ slightly from  the actual equipment，The final interpretation right belongs to the  manufacturer.","*因技术更新，以上参数可能与实际设备稍有差异，最终解释权归厂家所有。  * Due to technical updates, the above parameters may differ slightly from  the actual equipment，The final interpretation right belongs to the  manufacturer.","*因技术更新，以上参数可能与实际设备稍有差异，最终解释权归厂家所有。  * Due to technical updates, the above parameters may differ slightly from  the actual equipment，The final interpretation right belongs to the  manufacturer."
选配项目,选配项目,选配项目,选配项目,选配项目,选配项目,选配项目
1,选配功能和配置  项目  Optional functions and configuration items,开孔孔壁质量观测  Open hole wall quality observation,可选配 提供手动微观观测  Optiona Microscopic observation,可选配 提供手动微观观测  Optiona Microscopic observation,可选配 提供手动微观观测  Optiona Microscopic observation,可选配 提供手动微观观测  Optiona Microscopic observation
2,选配功能和配置  项目  Optional functions and configuration items,钢网、阶梯钢网厚度测量  Stencil and step Stencil thickness measurement,"可选配 半自动显微直观测量钢网、阶梯钢网孔壁横切面厚度、质量  最高检测分辨率：0.4μm，测量精度：±4μm  Optiona Semi-automatic microscopic measurement of the thickness and quality  of the cross-section of the stencil and the stepped stencil hole wall  Detection resolution: 0.4μm, measurement accuracy: ±4μm","可选配 半自动显微直观测量钢网、阶梯钢网孔壁横切面厚度、质量  最高检测分辨率：0.4μm，测量精度：±4μm  Optiona Semi-automatic microscopic measurement of the thickness and quality  of the cross-section of the stencil and the stepped stencil hole wall  Detection resolution: 0.4μm, measurement accuracy: ±4μm","可选配 半自动显微直观测量钢网、阶梯钢网孔壁横切面厚度、质量  最高检测分辨率：0.4μm，测量精度：±4μm  Optiona Semi-automatic microscopic measurement of the thickness and quality  of the cross-section of the stencil and the stepped stencil hole wall  Detection resolution: 0.4μm, measurement accuracy: ±4μm","可选配 半自动显微直观测量钢网、阶梯钢网孔壁横切面厚度、质量  最高检测分辨率：0.4μm，测量精度：±4μm  Optiona Semi-automatic microscopic measurement of the thickness and quality  of the cross-section of the stencil and the stepped stencil hole wall  Detection resolution: 0.4μm, measurement accuracy: ±4μm"
3,选配功能和配置  项目  Optional functions and configuration items,钢网信息管理软件系统  Stencil Information Management Software System,"可选配，可达到钢网的全链信息数据化、智能化的软件管理，并可按要求修改与定制  Optional, which can achieve data based and intelligent software management  of the entire chain of information of the stencil and can be modified and  customized as required","可选配，可达到钢网的全链信息数据化、智能化的软件管理，并可按要求修改与定制  Optional, which can achieve data based and intelligent software management  of the entire chain of information of the stencil and can be modified and  customized as required","可选配，可达到钢网的全链信息数据化、智能化的软件管理，并可按要求修改与定制  Optional, which can achieve data based and intelligent software management  of the entire chain of information of the stencil and can be modified and  customized as required","可选配，可达到钢网的全链信息数据化、智能化的软件管理，并可按要求修改与定制  Optional, which can achieve data based and intelligent software management  of the entire chain of information of the stencil and can be modified and  customized as required"
4,选配功能和配置  项目  Optional functions and configuration items,刮刀直线度检查功能  Scraper straightness check function,可选配 按刮刀型号、外形定制专用检测治具  Optional Optional special Inspectioning fixture customized according to the  model and shape of the scraper,可选配 按刮刀型号、外形定制专用检测治具  Optional Optional special Inspectioning fixture customized according to the  model and shape of the scraper,可选配 按刮刀型号、外形定制专用检测治具  Optional Optional special Inspectioning fixture customized according to the  model and shape of the scraper,可选配 按刮刀型号、外形定制专用检测治具  Optional Optional special Inspectioning fixture customized according to the  model and shape of the scraper
