产品网址：http://www.macmicst.com/index.php/product/product_info/21.html
产品结构：root->产品中心-江苏宏微科技股份有限公司

|产品名称|产品型号|功能描述|
|----|----|----|
|快恢复二极管模块|无|无|

Type,V  RRM  (V),I  F(AV)  (A),V  F  (V),t  rr  (ns),P  D  (W),R  thJC  (℃/W),Packages,PDF资料
MMF200S120DK,1200,2×200,2.30,110,568,0.22,FS,预览  下载
MMF150S120DK,1200,2×150,1.60,145,568,0.22,FS,预览  下载
MMF300S060DK,600,2×300,1.15,150,893,0.14,FS,预览  下载
MMF200S060DK,600,2×200,1.15,140,694,0.18,FS,预览  下载
MMF150S060DK,600,2×150,1.15,130,568,0.22,FS,预览  下载
MMF200N070DK,700,2×100,1.20,140,370,0.34,FN,预览  下载
MMF200N120DK,1200,2×100,1.77,150,280,0.44,FN,预览  下载
MMF300N060DK6B,600,2×150,1.25,95,370,0.34,FN,预览  下载
MMF200S170B,1700,2×200,1.80,750,893,0.14,FS,预览  下载
MMF100S170B,1700,2×100,1.80,500,568,0.22,FS,预览  下载
MMF300S120B,1200,2×300,2.80,135,893,0.14,FS,预览  下载
MMF200S120B,1200,2×200,2.30,110,568,0.22,FS,预览  下载
MMF150S120B,1200,2×150,1.60,145,568,0.22,FS,预览  下载
MMF300S060B,600,2×300,1.15,150,893,0.14,FS,预览  下载
MMF200S060B,600,2×200,1.15,140,694,0.18,FS,预览  下载
MMF150S060B,600,2×150,1.15,130,568,0.22,FS,预览  下载
MMF100N120B,1200,2×100,1.60,135,280,0.44,FN,预览  下载
MMF150N060B6B,600,2×150,1.15,130,370,0.34,FN,预览  下载
