产品网址：http://video-sy.com/?show-31-1.html
产品结构：当前位置：首页->产品中心->光纤传输设备->光纤通讯模块->SFP->BIDI

|产品名称|产品型号|功能描述|
|--|--|--|
|BIDI SFP 光纤通讯模块|无|利用 WDM 技术，实现单根光纤线缆双向数据传输，节省光纤资源|

封装类型,产品型号,传输介质,传输速率,传输波长,传输距离,接口类型
BIDI SFP,SYSFP62BDXXXXB35,SMF,100M~622Mbps,CWDM/CWDM,35dB,LC/SC
BiDi SFP,SYSFPGEBD1315MM/I,MMF,up to 1.25Gbps,1310nm/1550nm,550m,LC/SC
BiDi SFP,SYSFPGEBD1513MM/I,MMF,up to 1.25Gbps,1550nm/1310nm,550m,LC/SC
BiDi SFP,SYSFPGEBD131503D/I,SMF,up to 1.25Gbps,1310nm/1550nm,3km,LC/SC
BiDi SFP,SYSFPGEBD151303D/I,SMF,up to 1.25Gbps,1550nm/1310nm,3km,LC/SC
BiDi SFP,SYSFPGEBD131520D/I,SMF,up to 1.25Gbps,1310nm/1550nm,20km,LC/SC
BiDi SFP,SYSFPGEBD151320D/I,SMF,up to 1.25Gbps,1550nm/1310nm,20km,LC/SC
BiDi SFP,SYSFPGEBD131540D/I,SMF,up to 1.25Gbps,1310nm/1550nm,40km,LC/SC
BiDi SFP,SYSFPGEBD151340D/I,SMF,up to 1.25Gbps,1550nm/1310nm,40km,LC/SC
BiDi SFP,SYSFPGEBD131560D/I,SMF,up to 1.25Gbps,1310nm/1550nm,60km,LC/SC
BiDi SFP,SYSFPGEBD151360D/I,SMF,up to 1.25Gbps,1550nm/1310nm,60km,LC/SC
BiDi SFP,SYSFPGEBD131580D/I,SMF,up to 1.25Gbps,1310nm/1550nm,80km,LC/SC
BiDi SFP,SYSFPGEBD151380D/I,SMF,up to 1.25Gbps,1550nm/1310nm,80km,LC/SC
BiDi SFP,SYSFPGEBD131420D/I,SMF,up to 1.25Gbps,1310nm/1490nm,20km,LC/SC
BiDi SFP,SYSFPGEBD141320D/I,SMF,up to 1.25Gbps,1490nm/1310nm,20km,LC/SC
BiDi SFP,SYSFPGEBD131440D/I,SMF,up to 1.25Gbps,1310nm/1490nm,40km,LC/SC
BiDi SFP,SYSFPGEBD141340D/I,SMF,up to 1.25Gbps,1490nm/1310nm,40km,LC/SC
BiDi SFP,SYSFPGEBD131460D/I,SMF,up to 1.25Gbps,1310nm/1490nm,60km,LC/SC
BiDi SFP,SYSFPGEBD141360D/I,SMF,up to 1.25Gbps,1490nm/1310nm,60km,LC/SC
BiDi SFP,SYSFPGEBD1415100D/I,SMF,up to 1.25Gbps,1490nm/1550nm,100km,LC/SC
BiDi SFP,SYSFPGEBD1514100D/I,SMF,up to 1.25Gbps,1550nm/1490nm,100km,LC/SC
BiDi SFP,SYSFPGEBD1415120D/I,SMF,up to 1.25Gbps,1490nm/1550nm,120km,LC/SC
BiDi SFP,SYSFPGEBD1514120D/I,SMF,up to 1.25Gbps,1550nm/1490nm,120km,LC/SC
BiDi SFP,SYSFPGEBD1415140D/I,SMF,up to 1.25Gbps,1490nm/1550nm,140km,LC/SC
BiDi SFP,SYSFPGEBD1514140D/I,SMF,up to 1.25Gbps,1550nm/1490nm,140km,LC/SC
BIDI SFP,SYSFPGEBDXXXXB23/I,SMF,up to 1.25Gbps,CWDM/CWDM,23dB,LC/SC
BIDI SFP,SYSFPGEBDXXXXB28/I,SMF,up to 1.25Gbps,CWDM/CWDM,28dB,LC/SC
BIDI SFP,SYSFPGEBDXXXXB35/I,SMF,up to 1.25Gbps,CWDM/CWDM,35dB,LC/SC
BiDi SFP,SYSFP25BD1315MM/I,MMF,up to 2.5Gbps,1310nm/1550nm,300m,LC/SC
BiDi SFP,SYSFP25BD1513MM/I,MMF,up to 2.5Gbps,1550nm/1310nm,300m,LC/SC
BiDi SFP,SYSFP25BD131505D/I,SMF,up to 2.5Gbps,1310nm/1550nm,5km,LC/SC
BiDi SFP,SYSFP25BD151305D/I,SMF,up to 2.5Gbps,1550nm/1310nm,5km,LC/SC
BiDi SFP,SYSFP25BD131520D/I,SMF,up to 2.5Gbps,1310nm/1550nm,20km,LC/SC
BiDi SFP,SYSFP25BD151320D/I,SMF,up to 2.5Gbps,1550nm/1310nm,20km,LC/SC
BiDi SFP,SYSFP25BD131540D/I,SMF,up to 2.5Gbps,1310nm/1550nm,40km,LC/SC
BiDi SFP,SYSFP25BD151340D/I,SMF,up to 2.5Gbps,1550nm/1310nm,40km,LC/SC
BiDi SFP,SYSFP25BD141580D/I,SMF,up to 2.5Gbps,1490nm/1550nm,80km,LC/SC
BiDi SFP,SYSFP25BD151480D/I,SMF,up to 2.5Gbps,1550nm/1490nm,80km,LC/SC
BIDI SFP,SYSFP25BDXXXXB15/I,SMF,up to 2.5Gbps,CWDM/CWDM,15dB,LC/SC
BIDI SFP,SYSFP25BDXXXXB20/I,SMF,up to 2.5Gbps,CWDM/CWDM,20dB,LC/SC
BIDI SFP,SYSFP25BDXXXXB30,SMF,up to 2.5Gbps,CWDM/CWDM,30dB,LC/SC
