产品网址：http://www.china-cpu.com/news_detail-87-88-48.html
产品结构：root->GSC3280开发板-产品-产品中心2-北京神州龙芯集成电路设计有限公司

|产品名称|产品型号|功能描述|
|----|----|----|
|GSC3280 开发板|无|无|

Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
♦ CPU： GSC3280 主频300MHz  ♦ 内存： 128M DDR2 SDRAM，300MHz  ♦ 存储： SLC NAND Flash 256M，SD卡扩展,♦ CPU： GSC3280 主频300MHz  ♦ 内存： 128M DDR2 SDRAM，300MHz  ♦ 存储： SLC NAND Flash 256M，SD卡扩展,♦ CPU： GSC3280 主频300MHz  ♦ 内存： 128M DDR2 SDRAM，300MHz  ♦ 存储： SLC NAND Flash 256M，SD卡扩展,♦ CPU： GSC3280 主频300MHz  ♦ 内存： 128M DDR2 SDRAM，300MHz  ♦ 存储： SLC NAND Flash 256M，SD卡扩展
,,,
主要接口,主要接口,主要接口,主要接口
,,,
,,,
实体图,实体图,实体图,实体图
,,,
图1--- GSC3280开发板底板实物图--正面,图1--- GSC3280开发板底板实物图--正面,图1--- GSC3280开发板底板实物图--正面,图1--- GSC3280开发板底板实物图--正面
,,,
图2--- GSC3280开发板底板实物图--背面,图2--- GSC3280开发板底板实物图--背面,图2--- GSC3280开发板底板实物图--背面,图2--- GSC3280开发板底板实物图--背面
,,,
图3---GSC3280开发板正面,图3---GSC3280开发板正面,图3---GSC3280开发板正面,图3---GSC3280开发板正面
,,,
开发板软件资源,开发板软件资源,开发板软件资源,开发板软件资源
♦ Bootloader：u-boot  ♦ 操作系统：Linux-3.0.4  ♦ 文件系统：Yaffs2、Jffs2、Cramfs、NFS、UBIfs  ♦ Linux应用程序：QT嵌入式图形库、Sqlite3 嵌入式数据库、嵌入式SCADA等  ♦ 集成开发环境：Eclipse IDE  ♦ EJTAG：ejtag-tools工具及专用下载线,♦ Bootloader：u-boot  ♦ 操作系统：Linux-3.0.4  ♦ 文件系统：Yaffs2、Jffs2、Cramfs、NFS、UBIfs  ♦ Linux应用程序：QT嵌入式图形库、Sqlite3 嵌入式数据库、嵌入式SCADA等  ♦ 集成开发环境：Eclipse IDE  ♦ EJTAG：ejtag-tools工具及专用下载线,♦ Bootloader：u-boot  ♦ 操作系统：Linux-3.0.4  ♦ 文件系统：Yaffs2、Jffs2、Cramfs、NFS、UBIfs  ♦ Linux应用程序：QT嵌入式图形库、Sqlite3 嵌入式数据库、嵌入式SCADA等  ♦ 集成开发环境：Eclipse IDE  ♦ EJTAG：ejtag-tools工具及专用下载线,♦ Bootloader：u-boot  ♦ 操作系统：Linux-3.0.4  ♦ 文件系统：Yaffs2、Jffs2、Cramfs、NFS、UBIfs  ♦ Linux应用程序：QT嵌入式图形库、Sqlite3 嵌入式数据库、嵌入式SCADA等  ♦ 集成开发环境：Eclipse IDE  ♦ EJTAG：ejtag-tools工具及专用下载线
,,,
开发板套件,开发板套件,开发板套件,开发板套件
型号：GSC3280-DEV-BOARD-S70  ♦ GSC3280开发板1块  ♦ 7寸TFT LCD显示屏1块（含四线电阻式触摸屏）（选配）  ♦ 5V~2A电源适配器1个  ♦ 串口线1根  ♦ 资源光盘1张  ♦ ejtag仿真器及专用下载线1套（选配）,型号：GSC3280-DEV-BOARD-S70  ♦ GSC3280开发板1块  ♦ 7寸TFT LCD显示屏1块（含四线电阻式触摸屏）（选配）  ♦ 5V~2A电源适配器1个  ♦ 串口线1根  ♦ 资源光盘1张  ♦ ejtag仿真器及专用下载线1套（选配）,型号：GSC3280-DEV-BOARD-S70  ♦ GSC3280开发板1块  ♦ 7寸TFT LCD显示屏1块（含四线电阻式触摸屏）（选配）  ♦ 5V~2A电源适配器1个  ♦ 串口线1根  ♦ 资源光盘1张  ♦ ejtag仿真器及专用下载线1套（选配）,型号：GSC3280-DEV-BOARD-S70  ♦ GSC3280开发板1块  ♦ 7寸TFT LCD显示屏1块（含四线电阻式触摸屏）（选配）  ♦ 5V~2A电源适配器1个  ♦ 串口线1根  ♦ 资源光盘1张  ♦ ejtag仿真器及专用下载线1套（选配）
,,,
具体资料可以到去  资料下载  栏目中选择下载,具体资料可以到去  资料下载  栏目中选择下载,具体资料可以到去  资料下载  栏目中选择下载,具体资料可以到去  资料下载  栏目中选择下载
,,,
,,,
,,,
