产品网址：https://www.china-cpu.com/news_detail-87-88-139.html
产品结构：root->SZLX9020核心板-产品-产品中心2-北京神州龙芯集成电路设计有限公司

|产品名称|产品型号|功能描述|
|----|----|----|
|核心板|SZLX9020|无|

Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
●  标配 128M Byte DDR2  ●  可选 256M Byte DDR2,●  标配 128M Byte DDR2  ●  可选 256M Byte DDR2,●  标配 128M Byte DDR2  ●  可选 256M Byte DDR2,●  标配 128M Byte DDR2  ●  可选 256M Byte DDR2,●  标配 128M Byte DDR2  ●  可选 256M Byte DDR2
电子硬盘,电子硬盘,电子硬盘,电子硬盘,电子硬盘
●  标配 256MBytes Nand Flash  ●  可选 512MBytes 等其它容量,●  标配 256MBytes Nand Flash  ●  可选 512MBytes 等其它容量,●  标配 256MBytes Nand Flash  ●  可选 512MBytes 等其它容量,●  标配 256MBytes Nand Flash  ●  可选 512MBytes 等其它容量,●  标配 256MBytes Nand Flash  ●  可选 512MBytes 等其它容量
可选 SPI Nor FLASH,可选 SPI Nor FLASH,可选 SPI Nor FLASH,可选 SPI Nor FLASH,可选 SPI Nor FLASH
硬件接口,硬件接口,硬件接口,硬件接口,硬件接口
●  2 路 10M/100M/1000M 自适应以太网接口（支持 GMII/RGMII/MII/RMII）  ●  8 路标准异步串口 UART  ●  USB 2.0 OTG 接口  ●  2 个 SPI 主机接口  ●  1 个 SPI 从机接口  ●  1 个 I2C 主机接口  ●  1 个 I2S 主机接口  ●  2 个 CAN2.0B 接口  ●  1 个四通道 12 位 SAR ADC 接口  ●  8 位/16 位外部存储器总线接口  ●  1 路旋转编码器接口与 3 通道 PWM 接口，支持电机控制 PWM 与普通 PWM  ●  TFT LCD 接口  ●  SD/SDIO 接口  ●  多个可配置的 GPIO,●  2 路 10M/100M/1000M 自适应以太网接口（支持 GMII/RGMII/MII/RMII）  ●  8 路标准异步串口 UART  ●  USB 2.0 OTG 接口  ●  2 个 SPI 主机接口  ●  1 个 SPI 从机接口  ●  1 个 I2C 主机接口  ●  1 个 I2S 主机接口  ●  2 个 CAN2.0B 接口  ●  1 个四通道 12 位 SAR ADC 接口  ●  8 位/16 位外部存储器总线接口  ●  1 路旋转编码器接口与 3 通道 PWM 接口，支持电机控制 PWM 与普通 PWM  ●  TFT LCD 接口  ●  SD/SDIO 接口  ●  多个可配置的 GPIO,●  2 路 10M/100M/1000M 自适应以太网接口（支持 GMII/RGMII/MII/RMII）  ●  8 路标准异步串口 UART  ●  USB 2.0 OTG 接口  ●  2 个 SPI 主机接口  ●  1 个 SPI 从机接口  ●  1 个 I2C 主机接口  ●  1 个 I2S 主机接口  ●  2 个 CAN2.0B 接口  ●  1 个四通道 12 位 SAR ADC 接口  ●  8 位/16 位外部存储器总线接口  ●  1 路旋转编码器接口与 3 通道 PWM 接口，支持电机控制 PWM 与普通 PWM  ●  TFT LCD 接口  ●  SD/SDIO 接口  ●  多个可配置的 GPIO,●  2 路 10M/100M/1000M 自适应以太网接口（支持 GMII/RGMII/MII/RMII）  ●  8 路标准异步串口 UART  ●  USB 2.0 OTG 接口  ●  2 个 SPI 主机接口  ●  1 个 SPI 从机接口  ●  1 个 I2C 主机接口  ●  1 个 I2S 主机接口  ●  2 个 CAN2.0B 接口  ●  1 个四通道 12 位 SAR ADC 接口  ●  8 位/16 位外部存储器总线接口  ●  1 路旋转编码器接口与 3 通道 PWM 接口，支持电机控制 PWM 与普通 PWM  ●  TFT LCD 接口  ●  SD/SDIO 接口  ●  多个可配置的 GPIO,●  2 路 10M/100M/1000M 自适应以太网接口（支持 GMII/RGMII/MII/RMII）  ●  8 路标准异步串口 UART  ●  USB 2.0 OTG 接口  ●  2 个 SPI 主机接口  ●  1 个 SPI 从机接口  ●  1 个 I2C 主机接口  ●  1 个 I2S 主机接口  ●  2 个 CAN2.0B 接口  ●  1 个四通道 12 位 SAR ADC 接口  ●  8 位/16 位外部存储器总线接口  ●  1 路旋转编码器接口与 3 通道 PWM 接口，支持电机控制 PWM 与普通 PWM  ●  TFT LCD 接口  ●  SD/SDIO 接口  ●  多个可配置的 GPIO
系统功耗,系统功耗,系统功耗,系统功耗,系统功耗
●  160mA@3.3V,●  160mA@3.3V,●  160mA@3.3V,●  160mA@3.3V,●  160mA@3.3V
SZLX9020 核心板引脚定义,SZLX9020 核心板引脚定义,SZLX9020 核心板引脚定义,SZLX9020 核心板引脚定义,SZLX9020 核心板引脚定义
请参见  《SZLX9020核心板硬件用户手册》,请参见  《SZLX9020核心板硬件用户手册》,请参见  《SZLX9020核心板硬件用户手册》,请参见  《SZLX9020核心板硬件用户手册》,请参见  《SZLX9020核心板硬件用户手册》
SZLX9020 核心板机械尺寸,SZLX9020 核心板机械尺寸,SZLX9020 核心板机械尺寸,SZLX9020 核心板机械尺寸,SZLX9020 核心板机械尺寸
SZLX9020 核心板是以模块的形式使用，通过选用高性能、高可靠的板对板连 接器对外连接，可方便的插接在外围底板上。  在核心板的背面左右各焊接有一片板对板连接器，规格为公座、单槽、双排、 60PIN、PIN 脚间距 0.8mm。同时，核心板在四角各有一个直径为 Ф3 的安装定 位孔。GSC3290 核心板尺寸、安装孔位置、对外连接器的位置如下图所示。,SZLX9020 核心板是以模块的形式使用，通过选用高性能、高可靠的板对板连 接器对外连接，可方便的插接在外围底板上。  在核心板的背面左右各焊接有一片板对板连接器，规格为公座、单槽、双排、 60PIN、PIN 脚间距 0.8mm。同时，核心板在四角各有一个直径为 Ф3 的安装定 位孔。GSC3290 核心板尺寸、安装孔位置、对外连接器的位置如下图所示。,SZLX9020 核心板是以模块的形式使用，通过选用高性能、高可靠的板对板连 接器对外连接，可方便的插接在外围底板上。  在核心板的背面左右各焊接有一片板对板连接器，规格为公座、单槽、双排、 60PIN、PIN 脚间距 0.8mm。同时，核心板在四角各有一个直径为 Ф3 的安装定 位孔。GSC3290 核心板尺寸、安装孔位置、对外连接器的位置如下图所示。,SZLX9020 核心板是以模块的形式使用，通过选用高性能、高可靠的板对板连 接器对外连接，可方便的插接在外围底板上。  在核心板的背面左右各焊接有一片板对板连接器，规格为公座、单槽、双排、 60PIN、PIN 脚间距 0.8mm。同时，核心板在四角各有一个直径为 Ф3 的安装定 位孔。GSC3290 核心板尺寸、安装孔位置、对外连接器的位置如下图所示。,SZLX9020 核心板是以模块的形式使用，通过选用高性能、高可靠的板对板连 接器对外连接，可方便的插接在外围底板上。  在核心板的背面左右各焊接有一片板对板连接器，规格为公座、单槽、双排、 60PIN、PIN 脚间距 0.8mm。同时，核心板在四角各有一个直径为 Ф3 的安装定 位孔。GSC3290 核心板尺寸、安装孔位置、对外连接器的位置如下图所示。
,,,,
,,,,
SZLX9020 核心板和外围板板对板连接,SZLX9020 核心板和外围板板对板连接,SZLX9020 核心板和外围板板对板连接,SZLX9020 核心板和外围板板对板连接,SZLX9020 核心板和外围板板对板连接
SZLX9020 核心板选用的板对板连接器规格为公座、单槽、双排、60PIN、PIN 脚间距 0.8mm，具体的尺寸信息可参考 TE 的 5179030-2 型连接器或者同等规格 的其它厂家型号，故为了和核心板更好的配合，外围板须选用和 5179030-2（或 同等规格的）配合的板对板母座。  根据不同的的配合/堆叠高度，用户可以选用多种型号的母座。参考 5179030-2（或同等规格的其它型号），配合/堆叠高度有 7mm/11mm/15mm 三种， 介绍如下。,SZLX9020 核心板选用的板对板连接器规格为公座、单槽、双排、60PIN、PIN 脚间距 0.8mm，具体的尺寸信息可参考 TE 的 5179030-2 型连接器或者同等规格 的其它厂家型号，故为了和核心板更好的配合，外围板须选用和 5179030-2（或 同等规格的）配合的板对板母座。  根据不同的的配合/堆叠高度，用户可以选用多种型号的母座。参考 5179030-2（或同等规格的其它型号），配合/堆叠高度有 7mm/11mm/15mm 三种， 介绍如下。,SZLX9020 核心板选用的板对板连接器规格为公座、单槽、双排、60PIN、PIN 脚间距 0.8mm，具体的尺寸信息可参考 TE 的 5179030-2 型连接器或者同等规格 的其它厂家型号，故为了和核心板更好的配合，外围板须选用和 5179030-2（或 同等规格的）配合的板对板母座。  根据不同的的配合/堆叠高度，用户可以选用多种型号的母座。参考 5179030-2（或同等规格的其它型号），配合/堆叠高度有 7mm/11mm/15mm 三种， 介绍如下。,SZLX9020 核心板选用的板对板连接器规格为公座、单槽、双排、60PIN、PIN 脚间距 0.8mm，具体的尺寸信息可参考 TE 的 5179030-2 型连接器或者同等规格 的其它厂家型号，故为了和核心板更好的配合，外围板须选用和 5179030-2（或 同等规格的）配合的板对板母座。  根据不同的的配合/堆叠高度，用户可以选用多种型号的母座。参考 5179030-2（或同等规格的其它型号），配合/堆叠高度有 7mm/11mm/15mm 三种， 介绍如下。,SZLX9020 核心板选用的板对板连接器规格为公座、单槽、双排、60PIN、PIN 脚间距 0.8mm，具体的尺寸信息可参考 TE 的 5179030-2 型连接器或者同等规格 的其它厂家型号，故为了和核心板更好的配合，外围板须选用和 5179030-2（或 同等规格的）配合的板对板母座。  根据不同的的配合/堆叠高度，用户可以选用多种型号的母座。参考 5179030-2（或同等规格的其它型号），配合/堆叠高度有 7mm/11mm/15mm 三种， 介绍如下。
●  配合高度为 7mm,●  配合高度为 7mm,●  配合高度为 7mm,●  配合高度为 7mm,●  配合高度为 7mm
,,,,
如若需求配合高度为 7mm，外围板母座可选 5177983-2（或其它厂家尺寸兼 容的型号）,如若需求配合高度为 7mm，外围板母座可选 5177983-2（或其它厂家尺寸兼 容的型号）,如若需求配合高度为 7mm，外围板母座可选 5177983-2（或其它厂家尺寸兼 容的型号）,如若需求配合高度为 7mm，外围板母座可选 5177983-2（或其它厂家尺寸兼 容的型号）,如若需求配合高度为 7mm，外围板母座可选 5177983-2（或其它厂家尺寸兼 容的型号）
,,,,
●  配合高度为 11mm,●  配合高度为 11mm,●  配合高度为 11mm,●  配合高度为 11mm,●  配合高度为 11mm
,,,,
如若需求配合高度为 11mm，外围板母座可选 5-5179009-2（或其它厂家尺 寸兼容的型号）,如若需求配合高度为 11mm，外围板母座可选 5-5179009-2（或其它厂家尺 寸兼容的型号）,如若需求配合高度为 11mm，外围板母座可选 5-5179009-2（或其它厂家尺 寸兼容的型号）,如若需求配合高度为 11mm，外围板母座可选 5-5179009-2（或其它厂家尺 寸兼容的型号）,如若需求配合高度为 11mm，外围板母座可选 5-5179009-2（或其它厂家尺 寸兼容的型号）
,,,,
●  配合高度为 15mm,●  配合高度为 15mm,●  配合高度为 15mm,●  配合高度为 15mm,●  配合高度为 15mm
,,,,
如若需求配合高度为 15mm，外围板母座可选 5-5179010-2,如若需求配合高度为 15mm，外围板母座可选 5-5179010-2,如若需求配合高度为 15mm，外围板母座可选 5-5179010-2,如若需求配合高度为 15mm，外围板母座可选 5-5179010-2,如若需求配合高度为 15mm，外围板母座可选 5-5179010-2
,,,,
产品使用环境,产品使用环境,产品使用环境,产品使用环境,产品使用环境
工作温度：-40℃ 至 +85℃,工作温度：-40℃ 至 +85℃,工作温度：-40℃ 至 +85℃,工作温度：-40℃ 至 +85℃,工作温度：-40℃ 至 +85℃
