产品网址：https://www.coolsemi.com/product/IGBT
产品结构：root->IGBT-产品中心-功成半导体_上海功成半导体公司

|产品名称|产品型号|功能描述|
|--|--|--|
|IGBT|CGB50N65D2、CGW50N65F1、CGW50N65S1、CGW80N65F3、CGW80N65S2、CKA15N65L1、CKB15N65L1、CKB20N65L1Y、CKB40N120L2A、CKB40N120L2C、CKB40N120L2D、CKB40N65F1、CKD06N65L1、CKD10N65L1、CKD10N65L1Y、CKD15N65L1、CKP15N65L1、CKP20N65L1Y、CKQ75N65D2、CKQ75N65D2JR、CKW100N65S2、CKW15N65L1、CKW30N65F1、CKW30N65L1、CKW30N65L1B、CKW40N120F2、CKW40N120HF2、CKW40N120L2AH、CKW40N120L2C、CKW40N120L2D、CKW40N120L2PA、CKW40N65F1、CKW40N65F1B、CKW40N65F1Q、CKW40N65HF1H、CKW40N65S1YU、CKW50N65F1、CKW50N65F1B、CKW50N65F1JR、CKW50N65F2、CKW50N65F2B、CKW50N65HF2H、CKW50N65L2、CKW50N65S1、CKW50N65S1B、CKW50N65S1JR、CKW60N120F2、CKW60N65F1B、CKW60N65S2、CKW60N65S2P、CKW75N120F2、CKW75N65D3JR、CKW75N65F2、CKW75N65F2J、CKW75N65F3、CKW75N65F3JR、CKW75N65S2B、CKW75N65S2C、CKW75N65S2D、CKW75N65S2E、CKW75N65S2JR、CKW80N65S2、CKW80N65S3、CKW80N65S3JR|IGBT 功率器件与 VDMOS 的差别在于 n 外延层下面不是 n+层而是 p+层。导通时在 n 型漂移区产生电导调制效应，大幅降低导通压降。CoolSemi 的 IGBT 功率器件采用沟槽栅场截至设计，外延层厚度降低到 60um，Vcesat 达到 1.45V，性能媲美 Infineon IFX6。|

Product,Data Sheet,BV(V),IC(A),Typ Vcesat(V)@15V,Max Vcesat(V)@15V,VGE(th) (V),Package
CKW50N65S1,下载,650,50,1.65,1.8,4.9,TO-247
CKW50N65L2,下载,650,50,1.6,1.8,4.8,TO-247
CKW30N65L1B,下载,650,30,1.6,1.7,6.3,TO-247
CKD06N65L1,下载,650,6,1.7,1.9,6.3,TO252
CKW15N65L1,下载,650,15,1.7,1.9,6.8,TO-247
CKD15N65L1,下载,650,15,1.7,1.9,6.8,TO-252
CKW30N65F1,下载,650,30,1.5,1.8,5,TO-247
CKW60N120F2,下载,1200,60,1.45,1.8,5.6,TO-247
CGW50N65F1,下载,650,50,1.7,1.9,5.6,TO-247
CKW50N65HF2H,下载,650,50,1.7,1.9,5.5,TO247
CKW50N65F2,下载,650,50,1.7,1.9,4.4,TO-247
CKW50N65F1,下载,650,50,1.7,1.9,5.6,TO-247
CKW40N120L2PA,下载,1200,40,1.7,2,5.5,TO-247
CKW40N120L2C,下载,1200,40,1.75,2,6.3,TO-247
CKW40N65HF1H,下载,650,40,1.6,1.8,5.5,TO247
CKW40N65F1Q,下载,650,40,1.6,1.8,5.5,TO-247
CKW40N65F1,下载,650,40,1.6,1.8,5.5,TO-247
CKW30N65L1,下载,650,30,1.7,1.9,6.8,TO-247
CKP15N65L1,下载,650,15,1.7,1.9,6.8,TO-220
CKB40N65F1,下载,650,40,1.6,1.8,5.5,TO-263
CKB15N65L1,下载,650,15,1.7,1.9,6.8,TO-263
CKA15N65L1,下载,650,15,1.7,1.9,6.8,TO-220F
CKD10N65L1,下载,650,10,1.7,1.9,6.3,TO-252
