产品网址：https://en.coolsemi.com/product/SGT
产品结构：root->SGT-Productcenter-CoolSemi

|产品名称|产品型号|功能描述|
|----|----|----|
|Shielded Gate Trench MOSFET (SGT)|无|使用超深沟槽设计，屏蔽栅极和源极之间的连接短路，屏蔽大部分 Qgd 电荷，大大降低了器件的米勒电容，有效提高了器件的开关速度，具有更低的开关损耗。更深的沟槽深度和更低的导通电阻，导致更低的导通损耗。|

Product,Data Sheet,BV(V),ID,RDS(on)(mΩ)@ Typ.,RDS(on)(mΩ)@ Max.,V(GS)th(V),Package
CST024N10S2,Download,100,300,1.75,2.4,2.8,TOLL
CST015N06S2,Download,60,330,1.2,1.5,2.8,TOLL
CST010N08S2,Download,80,350,0.85,1,2.8,TOLL
CSP015N03S2,Download,30,250,1.3,1.5,1.6,TO-220
CSLS400N20S2A,Download,200,40,32.5,40,3.1,PDFN5*6
CSLS035N04S2,Download,40,90,3,3.5,1.8,DFN5*6
CSLS030N03S2,Download,30,100,2.6,3,1.8,DFN5*6
CSLS022N08S2,Download,80,150,1.8,2.2,2.8,DFN5*6
CSLS022N04S2,Download,40,150,1.8,2.2,1.8,PDFN5*6
CSLS016N04S2,Download,40,180,1.3,1.6,1.7,PDFN5*6
CSL010N04S2,Download,40,250,0.8,1,1.7,PDFN5*6
CSD026N03S2,Download,30,100,2.3,2.6,1.8,TO-252
CSB012N03S2,Download,30,300,1,1.2,1.6,TO-263
CSA042N10S2,Download,100,65,3.8,4.2,2.8,TO-220F
CSB110N10M1,Download,100,65,9.3,11,2.8,TO-263
CSP110N10M1,Download,100,65,9.3,11,2.8,TO-220
CSB100N10M1L,Download,100,65,8,10,1.9,TO-263
CSP100N10M1L,Download,100,65,8,10,1.9,TO-220
CSB080N10M1,Download,100,93,6.8,8,2.8,TO-263
CSP080N10M1,Download,100,93,6.8,8,2.8,TO-220
CSB062N15M1,Download,150,135,5,6.2,3.2,TO-263
CSP062N15M1,Download,150,135,5,6.2,3.2,TO-220
CSB039N10M1,Download,100,210,3,3.9,3,TO-263
CSP039N10M1,Download,100,210,3.2,3.9,3,TO-220
CSB029N10M1,Download,100,220,2.4,2.9,2.8,TO-263
CSP029N10M1,Download,100,220,2.6,3.1,2.8,TO-220
CSB026N10M1,Download,100,260,2.3,2.6,2.7,TO-263
CSP026N10M1,Download,100,260,2.3,2.6,2.8,TO-220
CSW020N10M1,Download,100,270,1.6,2,2.8,TO-247
CSB020N10M1,Download,100,270,1.6,2,2.8,TO-263
CSP020N10M1,Download,100,270,1.8,2,2.8,TO-220
CSW062N15M1,Download,150,158,5.2,6.2,3.2,TO-247
CST034N10M1,Download,100,230,2.8,3.4,2.8,TOLL
CST024N10M1,Download,100,290,2,2.4,2.8,TOLL
CST020N10M1,Download,100,300,1.5,2,2.7,TOLL
CSLS180N10M1L,Download,100,35,14.5,18,1.9,PDFN5*6
CSLS180N10M1,Download,100,35,15.5,18,3.2,PDFN5*6
CSLS110N10M1,Download,100,60,8.9,11,2.8,PDFN5*6
CSLS100N10M1L,Download,100,60,8,10,1.9,PDFN5*6
CSLS080N10M1,Download,100,93,6.5,8,2.8,PDFN5*6
CSLS075N10M1L,Download,100,98,6,7.5,1.9,PDFN5*6
CSLS050N04M1,Download,40,70,4.1,5,1.6,PDFN5*6
CSLS035N10M1,Download,100,140,2.8,3.5,2.8,PDFN5*6
CSLS024N06M1,Download,60,155,1.9,2.4,1.6,PDFN5*6
CSLS019N03M1,Download,30,150,1.5,1.9,1.6,PDFN5*6
CSLS012N06M1,Download,60,280,0.95,1.2,1.6,PDFN5*6
CSLS007N03M1,Download,30,320,0.55,0.7,1.6,PDFN5*6
CSD100N10M1L,Download,100,70,8.3,10,1.9,TO-252
CSLS011N03M1,Download,30,245,0.88,1.1,1.8,PDFN5*6
CSK400N06S2,Download,60,5,27,40,2,SOP-8
CSK200N06S2A,Download,60,8,16,20,2,SOP-8
CSK200N05S2A,Download,50,8,16,20,2,SOP-8
CSLS008N04H1,Download,40,290,0.7,0.85,2.6,DFN5*6
CSD098N10SL,Download,100,67,8.3,9.8,2,TO-252
CSW100N20S2,Download,200,140,8,10,3.1,TO-247
CSB100N20S2,Download,200,140,8.1,10,3.1,TO-263
CSP100N20S2,Download,200,140,8.4,10,3.1,TO-220
CSW068N15S2,Download,150,150,5.7,6.5,3,TO-247
CSB068N15S2,Download,150,150,5.7,6.5,3,TO-263
CSP068N15S2,Download,150,150,5.7,6.5,3,TO-220
CST038N15S2,Download,150,240,3,3.8,3.1,TOLL
CSLS030N04S2HA,Download,40,120,2.7,3.2,2.5,DFN5*6
CSD042N10S2,Download,100,150,3.8,4.2,2.8,TO-252
CSD026N04S2,Download,40,130,2.3,2.6,1.8,TO-252
CSLS016N06S2,Download,60,225,1.3,1.6,1.7,PDFN5*6
CSLS010N04S2,Download,40,250,0.8,1,1.7,PDFN5*6
CSB023N03S2,Download,30,150,1.9,2.3,1.8,TO-263
CSP023N03S2,Download,30,150,1.9,2.3,1.8,TO-220
CSD023N03S2,Download,30,150,2.1,2.6,1.8,TO-252
CSLS020N03S2,Download,30,100,1.7,2,1.8,PDFN5*6
CSLS010N03S2,Download,30,200,0.9,1.2,1.6,PDFN5*6
CSLS007N03S2,Download,30,250,0.7,0.9,1.6,PDFN5*6
CSLS042N10S2,Download,100,60,3.6,4.2,2.8,PDFN5*6
CSLS105N15S2A,Download,150,60,9.5,10.5,3,PDFN5*6
CSB042N10S2,Download,100,150,3.6,4.2,3,TO-263
CSP042N10S2,Download,100,150,3.8,4.2,3,TO-220
CSLS165N15S2A,Download,150,55,13.5,16.5,3,PDFN5*6
CSB090N06S2,Download,60,60,7.5,9,1.8,TO-263
CSA075N15S2,Download,150,55,6.6,7.5,3,TO-220F
CSK090N06S2,Download,60,14.5,7.5,9,1.8,SOP-8
CSLS024N04S2,Download,40,110,2.3,2.6,1.8,PDFN5*6
CSLS030N06S2,Download,60,107,2.6,3,1.8,PDFN5*6
CSLS030N06S2H,Download,60,107,2.8,3,2.5,PDFN5*6
CSLS038N08S2,Download,80,60,3.3,3.8,3,PDFN5*6
CSLS090N06S2,Download,60,60,7.5,9,1.8,PDFN5*6
CSLS090N06S2H,Download,60,60,7.5,9,2.5,PDFN5*6
CSLS120N08S2,Download,80,68,9.5,12,1.8,PDFN5*6
CSW075N15S2,Download,150,140,6.6,7.5,3,TO-247
CSP030N06S2,Download,60,190,2.6,3,1.8,TO-220
CSB030N06S2,Download,60,190,2.6,3,1.8,TO-263
CSP030N06S2H,Download,60,190,2.8,3,2.5,TO-220
CSB030N06S2H,Download,60,190,2.8,3,2.5,TO-263
CSP038N08S2,Download,80,187,3.3,3.8,3,TO-220
CSD038N08S2,Download,80,187,3.3,3.8,3,TO-252
CSA038N08S2,Download,80,187,3.3,3.8,3,TO-220F
CSB038N08S2,Download,80,187,3.3,3.8,3,TO-263
CSP042N12S2,Download,120,140,3.7,4.2,3,TO-220
CSB042N12S2,Download,120,140,3.7,4.2,3,TO-263
CSP052N10S1,Download,100,120,4.5,5.2,3,TO-220
CSB052N10S1,Download,100,120,4.5,5.2,3,TO-263
CSP075N15S2,Download,150,140,6.6,7.5,3,TO-220
CSB075N15S2,Download,150,140,6.6,7.5,3,TO-263
CSP075N15S2A,Download,150,140,6.6,7.5,3,TO-220
CSB075N15S2A,Download,150,140,6.6,7.5,3,TO-263
CSP090N06S2,Download,60,60,7.5,9,1.8,TO-220
CSI090N06S2,Download,60,60,7.5,9,1.8,TO-251
CSD090N06S2,Download,60,60,7.5,9,1.8,TO-252
CSA090N06S2,Download,60,60,7.5,9,1.8,TO-220F
CSP090N06S2H,Download,60,60,7.5,9,2.5,TO-220
CSI090N06S2H,Download,60,60,7.5,9,2.5,TO-251
CSD090N06S2H,Download,60,60,7.5,9,2.5,TO-252
CSA090N06S2H,Download,60,60,7.5,9,2.5,TO-220F
CSP100N06S2,Download,60,60,9.5,11,1.8,TO-220
CSD100N06S2,Download,60,60,9.5,11,1.8,TO-252
CSP120N08S2,Download,80,68,9.5,12,1.8,TO-220
CSI120N08S2,Download,80,68,9.5,12,1.8,TO-251
CSD120N08S2,Download,80,68,9.5,12,1.8,TO-252
CSB120N08S2,Download,80,68,9.5,12,1.8,TO-263
CSA120N08S2,Download,80,68,9.5,12,1.8,TO-220F
CSP130N08S2,Download,80,54,11,13,1.8,TO-220
CSI130N08S2,Download,80,54,11,13,1.8,TO-251
CSD130N08S2,Download,80,54,11,13,1.8,TO-252
CSB130N08S2,Download,80,54,11,13,1.8,TO-263
CSA130N08S2,Download,80,54,11,13,1.8,TO-220F
CSP150N06S2,Download,60,45,13.5,15,1.8,TO-220
CSD150N06S2,Download,60,45,13.5,15,1.8,TO-252
CSP400N08S2,Download,80,30,27,40,1.8,TO-220
CSD400N08S2,Download,80,30,27,40,1.8,TO-252
CSZ090N06S2,Download,60,60,7.5,9,1.8,DFN3*3
CSB016N04S2,Download,40,150,1.15,1.6,1.7,TO-263
CSP016N04S2,Download,40,150,1.4,1.8,1.7,TO-220
CST012N04S2,Download,40,200,1,1.2,1.7,TOLL
CSP026N04S2,Download,40,150,2.3,2.6,1.8,TO-220
CSB026N04S2,Download,40,150,2.3,2.6,1.8,TO-263
CSK090N06S2H,Download,60,60,7.5,9,2.5,SOP-8
CSLS150N06S2,Download,60,45,13,18,1.8,PDFN5*6
CSP020N08S2,Download,80,300,2,2.3,2.8,TO-220
CSB020N08S2,Download,80,300,1.7,2,2.8,TO-263
CST016N08S2,Download,80,350,1.4,1.6,2.8,TOLL
CSP038N15S2,Download,150,240,3.7,4,3,TO-220
CSB038N15S2,Download,150,240,3.5,3.8,3,TO-263
CSW038N15S2,Download,150,240,3.5,3.8,3,TO-247
CSP050N15S2,Download,150,200,4.5,5.5,3,TO-220
CSB050N15S2,Download,150,200,4.2,5,3,TO-263
CSW050N15S2,Download,150,200,4.1,5,3,TO-247
CSB055N15S2,Download,150,160,4.4,5.5,3.2,TO-263
CSW055N15S2,Download,150,160,4.5,5.5,3.2,TO-247
CSP055N15S2,Download,150,160,4.7,5.5,3.2,TO-220
CSP105N15S2A,Download,150,130,9.5,10.5,3,TO-220
CSB105N15S2A,Download,150,130,9.3,10.5,3,TO-263
CSB165N15S2A,Download,150,70,13,16.5,3,TO-263
CSP165N15S2A,Download,150,70,13,16.5,3,TO-220
