产品网址：http://www.sinhovo.com/proinfo.aspx?id=17
产品结构：返回首页->产品中心->高精度测量类->半导体专用钢网测量机->详细信息

|产品名称|产品型号|功能描述|
|--|--|--|
|半导体专用钢网测量机|SG900 系列|针对半导体及 MiniLed/MicroLED 的超细微开孔方式，以及开孔数较多的特点，在光学系统上进行针对性提升、提高分辨能力、降低光学误差、提升检测算法能力、提高计算能力等多项针对性优化；采用全直线电机模组|

序号,类型,功能名称,功能说明
1,检测功能,自动钢网开孔测试,位置、尺寸、数量、质量、精度、异物、张力、毛刺、破损、多孔；
2,检测功能,超细开孔检测,2500  万像素  4um  光学分辨率  可检测最小  40  μ  m  开孔，最小  15  μ  m  以上破损
3,检测功能,自动张力测试,高精度张力计，任意多位置测试；  精度： ±  1N.cm  ，张力范围：  0~60N
4,检测功能,3D  钢网厚度测量,显微直观测量钢网、阶梯钢网孔壁厚度、质量  检测分辨率：  0.4  μ  m  ，测量精度：±  2  μ  m;
5,检测功能,自动刮刀检测,刮刀直线度检测
6,检测功能,网框平整度检测,自动激光检测网框平整度
7,检测功能,自动激光对焦,自动激光装置，实现对焦及高度测量
8,检测功能,钢网变形扫描,扫描观测钢网网面变形
9,软件功能,钢网信息管理系统,钢网信息管理  -  详见附件说明
10,软件功能,钢网条码扫描信息管理,可通过条码快速管理钢网程式
11,软件功能,自动离线编程软件,可离线自动对  GERBER  文件进行编程
12,软件功能,GERBER  自定义功能,可自设定  GERBER  定义
13,软件功能,GERBER  对比功能,钢网  GERBER  和  PCB  GERBER  进行对比
14,软件功能,SPC  数据统计软件,SPC  统计与数据报表功能
15,软件功能,MES  系统数据对接上传,MES/SECS GEM  信息上传与管理功能


全自动钢网检测机参数表  Automatic Stencil inspection machine parameter table,全自动钢网检测机参数表  Automatic Stencil inspection machine parameter table.1,全自动钢网检测机参数表  Automatic Stencil inspection machine parameter table.2,全自动钢网检测机参数表  Automatic Stencil inspection machine parameter table.3,全自动钢网检测机参数表  Automatic Stencil inspection machine parameter table.4,全自动钢网检测机参数表  Automatic Stencil inspection machine parameter table.5
53,特定功能  Special function,钢网信息管理系统  Stencil information management system,"选配项目，可按要求修改与定制  Optional items,Can be modified and customized as required","选配项目，可按要求修改与定制  Optional items,Can be modified and customized as required","选配项目，可按要求修改与定制  Optional items,Can be modified and customized as required"
54,特定功能  Special function,每片钢网历史记录  Stencil history,"文件方式记录测试过程和结果数据，且可离线查看测试结果  File mode records test process and result data, and can view test results  offline","文件方式记录测试过程和结果数据，且可离线查看测试结果  File mode records test process and result data, and can view test results  offline","文件方式记录测试过程和结果数据，且可离线查看测试结果  File mode records test process and result data, and can view test results  offline"
55,特定功能  Special function,SPC  数据统计软件  SPC data statistics software,"位置、面积、大小、SPC数据分析、汇总报告、CPK&Grr精度报告、散点图、涨缩系数以及其他数据和图表  Position,area, size, SPC data analysis, summary reports, CPK&Grr  accuracy reports, scatter charts, expansion and contraction coefficients, and  other data and charts","位置、面积、大小、SPC数据分析、汇总报告、CPK&Grr精度报告、散点图、涨缩系数以及其他数据和图表  Position,area, size, SPC data analysis, summary reports, CPK&Grr  accuracy reports, scatter charts, expansion and contraction coefficients, and  other data and charts","位置、面积、大小、SPC数据分析、汇总报告、CPK&Grr精度报告、散点图、涨缩系数以及其他数据和图表  Position,area, size, SPC data analysis, summary reports, CPK&Grr  accuracy reports, scatter charts, expansion and contraction coefficients, and  other data and charts"
56,设备需求  条件  Equipment demand condition,电压  Voltage,"AC 220V±10%(单相), 50/60Hz，1000VA  AC 220V ± 10% (single phase), 50/60Hz, 1000VA","AC 220V±10%(单相), 50/60Hz，1000VA  AC 220V ± 10% (single phase), 50/60Hz, 1000VA","AC 220V±10%(单相), 50/60Hz，1000VA  AC 220V ± 10% (single phase), 50/60Hz, 1000VA"
57,设备需求  条件  Equipment demand condition,气压  Air pressure,无需气压  No need for air pressure,无需气压  No need for air pressure,无需气压  No need for air pressure
58,设备需求  条件  Equipment demand condition,振动是否影响精度  Does vibration affect accuracy?,A级 50DB 以下振动不影响  Class A vibration below 50DB does not affect,A级 50DB 以下振动不影响  Class A vibration below 50DB does not affect,A级 50DB 以下振动不影响  Class A vibration below 50DB does not affect
59,设备服务  Equipment service,保修期限  Warranty period,整机壹年保修  One year warranty,整机壹年保修  One year warranty,整机壹年保修  One year warranty
60,设备服务  Equipment service,设备校正周期  Equipment calibration cycle,一年一次或搬运设备后校正  Corrected after one year or after mobile device,一年一次或搬运设备后校正  Corrected after one year or after mobile device,一年一次或搬运设备后校正  Corrected after one year or after mobile device
61,设备服务  Equipment service,软件升级服务  Software upgrade service,标准测试软件 终身免费升级  Standard software lifetime free upgrade,标准测试软件 终身免费升级  Standard software lifetime free upgrade,标准测试软件 终身免费升级  Standard software lifetime free upgrade
62,设备服务  Equipment service,服务支持  Service support,"7*24,4小时内响应  7*24, response within 4 hours","7*24,4小时内响应  7*24, response within 4 hours","7*24,4小时内响应  7*24, response within 4 hours"
63,设备服务  Equipment service,备品仓库  Spare parts warehouse,"深圳、苏州、重庆备品仓库  Shenzhen, Suzhou, Chongqing spare parts warehouse","深圳、苏州、重庆备品仓库  Shenzhen, Suzhou, Chongqing spare parts warehouse","深圳、苏州、重庆备品仓库  Shenzhen, Suzhou, Chongqing spare parts warehouse"
"*因技术更新，以上参数可能与实际设备稍有差异，最终解释权归厂家所有。  * Due to technical updates, the above parameters may differ slightly from  the actual equipment，The final interpretation right belongs to the  manufacturer.","*因技术更新，以上参数可能与实际设备稍有差异，最终解释权归厂家所有。  * Due to technical updates, the above parameters may differ slightly from  the actual equipment，The final interpretation right belongs to the  manufacturer.","*因技术更新，以上参数可能与实际设备稍有差异，最终解释权归厂家所有。  * Due to technical updates, the above parameters may differ slightly from  the actual equipment，The final interpretation right belongs to the  manufacturer.","*因技术更新，以上参数可能与实际设备稍有差异，最终解释权归厂家所有。  * Due to technical updates, the above parameters may differ slightly from  the actual equipment，The final interpretation right belongs to the  manufacturer.","*因技术更新，以上参数可能与实际设备稍有差异，最终解释权归厂家所有。  * Due to technical updates, the above parameters may differ slightly from  the actual equipment，The final interpretation right belongs to the  manufacturer.","*因技术更新，以上参数可能与实际设备稍有差异，最终解释权归厂家所有。  * Due to technical updates, the above parameters may differ slightly from  the actual equipment，The final interpretation right belongs to the  manufacturer."
,,,,,
1,选配功能和配置项目  Optional functions and configuration items,钢网信息管理系统  Stencil network information management system,可定制开发钢网信息管理系统  Customizable development of steel network information management system,可定制开发钢网信息管理系统  Customizable development of steel network information management system,可定制开发钢网信息管理系统  Customizable development of steel network information management system
2,选配功能和配置项目  Optional functions and configuration items,智能钢网存储管理柜  Intelligent stencil storage management cabinet,"可选配智能钢网存储管理柜，配合钢网管理系统，对钢网进行全智能化存储和管理、记录、追溯  An intelligent stencil storage and management cabinet can be selected to  cooperate with the stencil management system to fully intelligently store,  manage, record, and trace the stencil","可选配智能钢网存储管理柜，配合钢网管理系统，对钢网进行全智能化存储和管理、记录、追溯  An intelligent stencil storage and management cabinet can be selected to  cooperate with the stencil management system to fully intelligently store,  manage, record, and trace the stencil","可选配智能钢网存储管理柜，配合钢网管理系统，对钢网进行全智能化存储和管理、记录、追溯  An intelligent stencil storage and management cabinet can be selected to  cooperate with the stencil management system to fully intelligently store,  manage, record, and trace the stencil"
3,选配功能和配置项目  Optional functions and configuration items,SECS  GEM 系统对接  Secs gem system docking,SECS  GEM 系统对接  Secs gem system docking,SECS  GEM 系统对接  Secs gem system docking,SECS  GEM 系统对接  Secs gem system docking
4,选配功能和配置项目  Optional functions and configuration items,PCB焊盘采点、检测功能  PCB pad sampling and detection function,"可针对PCB焊盘进行采点、尺寸、位置检测与核对、调整，虚拟印刷技术核对GERBER文件和钢网、PCB实物，在线扫描，离线完成  The PCB pad can be detected, checked and adjusted for the point, size, and  position. The virtual printing technology checks the GERBER file, the  stencil, and the actual PCB, scans it online, and completes it offline","可针对PCB焊盘进行采点、尺寸、位置检测与核对、调整，虚拟印刷技术核对GERBER文件和钢网、PCB实物，在线扫描，离线完成  The PCB pad can be detected, checked and adjusted for the point, size, and  position. The virtual printing technology checks the GERBER file, the  stencil, and the actual PCB, scans it online, and completes it offline","可针对PCB焊盘进行采点、尺寸、位置检测与核对、调整，虚拟印刷技术核对GERBER文件和钢网、PCB实物，在线扫描，离线完成  The PCB pad can be detected, checked and adjusted for the point, size, and  position. The virtual printing technology checks the GERBER file, the  stencil, and the actual PCB, scans it online, and completes it offline"
5,选配功能和配置项目  Optional functions and configuration items,大尺寸机型  Large size model,"可选配 支持1200*900*60mm以下网框，检测范围：780*980mm  更大尺寸产品需定制  Optional Support net frame below 1200*900*60mm, detection range:  780*980mm  Larger size products need to be customized","可选配 支持1200*900*60mm以下网框，检测范围：780*980mm  更大尺寸产品需定制  Optional Support net frame below 1200*900*60mm, detection range:  780*980mm  Larger size products need to be customized","可选配 支持1200*900*60mm以下网框，检测范围：780*980mm  更大尺寸产品需定制  Optional Support net frame below 1200*900*60mm, detection range:  780*980mm  Larger size products need to be customized"
6,选配功能和配置项目  Optional functions and configuration items,刮刀直线度检查功能  Scraper straightness check function,可选配  按刮刀型号、外形定制专用检测治具  Optional Optional special testing fixture customized according to the model  and shape of the scraper,可选配  按刮刀型号、外形定制专用检测治具  Optional Optional special testing fixture customized according to the model  and shape of the scraper,可选配  按刮刀型号、外形定制专用检测治具  Optional Optional special testing fixture customized according to the model  and shape of the scraper
7,选配功能和配置项目  Optional functions and configuration items,钢网变形扫描检测  Stencil Deformation Scanning Detection,扫描检测钢网网面变形、破损  Scanning detection of stencil deformation,扫描检测钢网网面变形、破损  Scanning detection of stencil deformation,扫描检测钢网网面变形、破损  Scanning detection of stencil deformation
8,选配功能和配置项目  Optional functions and configuration items,治具翘曲检测  Fixture warpage detection,定制  自动激光检测治具平整度  Custom Automatic laser inspection fixture flatness,定制  自动激光检测治具平整度  Custom Automatic laser inspection fixture flatness,定制  自动激光检测治具平整度  Custom Automatic laser inspection fixture flatness
9,选配功能和配置项目  Optional functions and configuration items,网框平整度检测  Flatness detection of frame,定制  自动激光检测网框平整度  Customized Automatic laser detection of the flatness of the mesh frame,定制  自动激光检测网框平整度  Customized Automatic laser detection of the flatness of the mesh frame,定制  自动激光检测网框平整度  Customized Automatic laser detection of the flatness of the mesh frame
10,选配功能和配置项目  Optional functions and configuration items,高精度校正玻璃板  High precision calibration glass block,"高精度校正玻璃块，可自动按程式校正设备，玻璃板综合精度<5um  High-precision calibration glass block, can automatically calibrate the  equipment according to the program, the comprehensive accuracy of the glass  plate is less than 5um","高精度校正玻璃块，可自动按程式校正设备，玻璃板综合精度<5um  High-precision calibration glass block, can automatically calibrate the  equipment according to the program, the comprehensive accuracy of the glass  plate is less than 5um","高精度校正玻璃块，可自动按程式校正设备，玻璃板综合精度<5um  High-precision calibration glass block, can automatically calibrate the  equipment according to the program, the comprehensive accuracy of the glass  plate is less than 5um"
