产品网址：http://www.huitronic.com/product_show.php?id=169
产品结构：root->AEM车用系列保险丝--联系我们果博东方公司客服电话19188566669

|产品名称|产品型号|功能描述|
|--|--|--|
|AEM 车用系列保险丝|无|自有专利技术研制，高密封性的中空结构，优异的可靠性和稳定性，宽泛的额定电流和电压，最高至 20A，250V，适用于工业应用|

Supplier Part Number,Part Series,Fuse Type,Size,Current Rating,Voltage Rating,Interrupting Rating,Reel Qty,Standard Package,Status,Package Type
QF0603FA750T,Automotive QF F-Series,Fast Acting,603,0.75A,63VDC,35A @ 63VDC,4000,4000,Active,Tape & Reel
QF0603F1A00T,Automotive QF F-Series,Fast Acting,603,1.00A,63VDC,35A @ 63VDC,4000,4000,Active,Tape & Reel
QF0603F1A50T,Automotive QF F-Series,Fast Acting,603,1.50A,63VDC,35A @ 63VDC,4000,4000,Active,Tape & Reel
QF0603F2A00T,Automotive QF F-Series,Fast Acting,603,2.00A,32VDC,35A @ 32VDC,4000,4000,Active,Tape & Reel
QF0603F2A50T,Automotive QF F-Series,Fast Acting,603,2.50A,32VDC,35A @ 32VDC,4000,4000,Active,Tape & Reel
QF0603F3A00T,Automotive QF F-Series,Fast Acting,603,3.00A,32VDC,35A @ 32VDC,4000,4000,Active,Tape & Reel
QF0603F3A50T,Automotive QF F-Series,Fast Acting,603,3.50A,32VDC,35A @ 32VDC,4000,4000,Active,Tape & Reel
QF0603F4A00T,Automotive QF F-Series,Fast Acting,603,4.00A,32VDC,35A @ 32VDC,4000,4000,Active,Tape & Reel
QF0603F5A00T,Automotive QF F-Series,Fast Acting,603,5.00A,32VDC,35A @ 32VDC,4000,4000,Active,Tape & Reel
QF0603F6A00T,Automotive QF F-Series,Fast Acting,603,6.00A,24VDC,35A @ 24VDC,4000,4000,Active,Tape & Reel
QF1206H1A00T,Automotive QF H-Series,Slow Blow,1206,1.00A,63VDC,50A @ 63VDC,3000,3000,Active,Tape & Reel
QF1206H1A50T,Automotive QF H-Series,Slow Blow,1206,1.50A,63VDC,50A @ 63VDC,3000,3000,Active,Tape & Reel
QF1206H2A00T,Automotive QF H-Series,Slow Blow,1206,2.00A,63VDC,50A @ 63VDC,3000,3000,Active,Tape & Reel
QF1206H2A50T,Automotive QF H-Series,Slow Blow,1206,2.50A,32VDC,50A @ 32VDC,3000,3000,Active,Tape & Reel
QF1206H3A00T,Automotive QF H-Series,Slow Blow,1206,3.00A,32VDC,50A @ 32VDC,3000,3000,Active,Tape & Reel
QF1206H3A50T,Automotive QF H-Series,Slow Blow,1206,3.50A,32VDC,50A @ 32VDC,3000,3000,Active,Tape & Reel
QF1206H4A00T,Automotive QF H-Series,Slow Blow,1206,4.00A,32VDC,50A @ 32VDC,3000,3000,Active,Tape & Reel
QF1206H4A50T,Automotive QF H-Series,Slow Blow,1206,4.50A,32VDC,50A @ 32VDC,3000,3000,Active,Tape & Reel
QF1206H5A00T,Automotive QF H-Series,Slow Blow,1206,5.00A,32VDC,50A @ 32VDC,3000,3000,Active,Tape & Reel
QF1206H6A00T,Automotive QF H-Series,Slow Blow,1206,6.00A,24VDC,80A @ 24VDC,3000,3000,Active,Tape & Reel
QF1206H7A00T,Automotive QF H-Series,Slow Blow,1206,7.00A,24VDC,80A @ 24VDC,3000,3000,Active,Tape & Reel
QF1206H8A00T,Automotive QF H-Series,Slow Blow,1206,8.00A,24VDC,80A @ 24VDC,3000,3000,Active,Tape & Reel
QF0603H1A00T,Automotive QF H-Series,Slow Blow,603,1.00A,32VDC,50A @ 32VDC,4000,4000,Active,Tape & Reel
QF0603H1A50T,Automotive QF H-Series,Slow Blow,603,1.50A,32VDC,50A @ 32VDC,4000,4000,Active,Tape & Reel
QF0603H2A00T,Automotive QF H-Series,Slow Blow,603,2.00A,32VDC,50A @ 32VDC,4000,4000,Active,Tape & Reel
QF0603H2A50T,Automotive QF H-Series,Slow Blow,603,2.50A,32VDC,50A @ 32VDC,4000,4000,Active,Tape & Reel
QF0603H3A00T,Automotive QF H-Series,Slow Blow,603,3.00A,32VDC,50A @ 32VDC,4000,4000,Active,Tape & Reel
QF0603H3A50T,Automotive QF H-Series,Slow Blow,603,3.50A,32VDC,50A @ 32VDC,4000,4000,Active,Tape & Reel
QF0603H4A00T,Automotive QF H-Series,Slow Blow,603,4.00A,32VDC,50A @ 32VDC,4000,4000,Active,Tape & Reel
QF0603H4A50T,Automotive QF H-Series,Slow Blow,603,4.50A,32VDC,50A @ 32VDC,4000,4000,Active,Tape & Reel
QF0603H5A00T,Automotive QF H-Series,Slow Blow,603,5.00A,32VDC,50A @ 32VDC,4000,4000,Active,Tape & Reel
QF0603H6A00T,Automotive QF H-Series,Slow Blow,603,6.00A,32VDC,80A @ 32VDC,4000,4000,Active,Tape & Reel
QF0603H7A00T,Automotive QF H-Series,Slow Blow,603,7.00A,32VDC,80A @ 32VDC,4000,4000,Active,Tape & Reel
QA1206F1A50T,Automotive QA F-Series,Fast Acting,1206,1.50A,65VDC,50 A @ 65VDC,3500,3500,Active,Tape and Reel
QA1206F1A60T,Automotive QA F-Series,Fast Acting,1206,1.60A,65VDC,50 A @ 65VDC,3500,3500,Active,Tape and Reel
QA1206F10A0T,Automotive QA F-Series,Fast Acting,1206,10.0A,32VDC,50 A @ 32VDC,3500,3500,Active,Tape and Reel
QA1206F12A0T,Automotive QA F-Series,Fast Acting,1206,12.0A,32VDC,50 A @ 32VDC,3500,3500,Active,Tape and Reel
QA1206F2A00T,Automotive QA F-Series,Fast Acting,1206,2.00A,65VDC,50 A @ 65VDC,3500,3500,Active,Tape and Reel
QA1206F2A50T,Automotive QA F-Series,Fast Acting,1206,2.50A,65VDC,50 A @ 65VDC,3500,3500,Active,Tape and Reel
QA1206F3A00T,Automotive QA F-Series,Fast Acting,1206,3.00A,65VDC,50 A @ 65VDC,3500,3500,Active,Tape and Reel
QA1206F3A15T,Automotive QA F-Series,Fast Acting,1206,3.15A,65VDC,50 A @ 65VDC,3500,3500,Active,Tape and Reel
QA1206F3A50T,Automotive QA F-Series,Fast Acting,1206,3.50A,65VDC,50 A @ 65VDC,3500,3500,Active,Tape and Reel
QA1206F4A00T,Automotive QA F-Series,Fast Acting,1206,4.00A,65VDC,50 A @ 65VDC,3500,3500,Active,Tape and Reel
QA1206F5A00T,Automotive QA F-Series,Fast Acting,1206,5.00A,32VDC,50 A @ 32VDC,3500,3500,Active,Tape and Reel
QA1206F6A30T,Automotive QA F-Series,Fast Acting,1206,6.30A,32VDC,50 A @ 32VDC,3500,3500,Active,Tape and Reel
QA1206F7A00T,Automotive QA F-Series,Fast Acting,1206,7.00A,32VDC,50 A @ 32VDC,3500,3500,Active,Tape and Reel
QA1206F8A00T,Automotive QA F-Series,Fast Acting,1206,8.00A,32VDC,50 A @ 32VDC,3500,3500,Active,Tape and Reel
QA2410FA500T,Automotive QA F-Series,Fast Acting,2410,0.50A,125VDC,100A @ 250VAC,2000,2000,Active,Tape and Reel
QA2410FA630T,Automotive QA F-Series,Fast Acting,2410,0.63A,125VDC,100A @ 250VAC,2000,2000,Active,Tape and Reel
QA2410FA750T,Automotive QA F-Series,Fast Acting,2410,0.75A,125VDC,100A @ 250VAC,2000,2000,Active,Tape and Reel
QA2410F1A00T,Automotive QA F-Series,Fast Acting,2410,1.00A,125VDC,100A @ 250VAC,2000,2000,Active,Tape and Reel
QA2410F1A25T,Automotive QA F-Series,Fast Acting,2410,1.25A,125VDC,100A @ 250VAC,2000,2000,Active,Tape and Reel
QA2410F1A50T,Automotive QA F-Series,Fast Acting,2410,1.50A,125VDC,100A @ 250VAC,2000,2000,Active,Tape and Reel
QA2410F10A0T,Automotive QA F-Series,Fast Acting,2410,10.0A,125VDC,50A @ 125VDC300A @ 32VDC,2000,2000,Active,Tape and Reel
QA2410F12A0T,Automotive QA F-Series,Fast Acting,2410,12.0A,65VDC,50A @ 65VDC300A @ 32VDC,2000,2000,Active,Tape and Reel
QA2410F15A0T,Automotive QA F-Series,Fast Acting,2410,15.0A,65VDC,50A @ 65VDC300A @ 32VDC,2000,2000,Active,Tape and Reel
QA2410F2A00T,Automotive QA F-Series,Fast Acting,2410,2.00A,125VDC,100A @ 250VAC,2000,2000,Active,Tape and Reel
QA2410F2A50T,Automotive QA F-Series,Fast Acting,2410,2.50A,125VDC,50A @ 125VDC300A @ 32VDC,2000,2000,Active,Tape and Reel
QA2410F20A0T,Automotive QA F-Series,Fast Acting,2410,20.0A,65VDC,100A @ 65VDC300A @ 32VDC,2000,2000,Active,Tape and Reel
QA2410F3A00T,Automotive QA F-Series,Fast Acting,2410,3.00A,125VDC,50A @ 125VDC300A @ 32VDC,2000,2000,Active,Tape and Reel
QA2410F3A15T,Automotive QA F-Series,Fast Acting,2410,3.15A,125VDC,50A @ 125VDC300A @ 32VDC,2000,2000,Active,Tape and Reel
QA2410F3A50T,Automotive QA F-Series,Fast Acting,2410,3.50A,125VDC,50A @ 125VDC300A @ 32VDC,2000,2000,Active,Tape and Reel
QA2410F4A00T,Automotive QA F-Series,Fast Acting,2410,4.00A,125VDC,50A @ 125VDC300A @ 32VDC,2000,2000,Active,Tape and Reel
QA2410F5A00T,Automotive QA F-Series,Fast Acting,2410,5.00A,125VDC,50A @ 125VDC300A @ 32VDC,2000,2000,Active,Tape and Reel
QA2410F6A30T,Automotive QA F-Series,Fast Acting,2410,6.30A,125VDC,50A @ 125VDC300A @ 32VDC,2000,2000,Active,Tape and Reel
QA2410F7A00T,Automotive QA F-Series,Fast Acting,2410,7.00A,125VDC,50A @ 125VDC300A @ 32VDC,2000,2000,Active,Tape and Reel
QA2410F8A00T,Automotive QA F-Series,Fast Acting,2410,8.00A,125VDC,50A @ 125VDC300A @ 32VDC,2000,2000,Active,Tape and Reel
