产品网址：http://www.huitronic.com/product_show.php?id=168
产品结构：root->AEM叠层贴片保险丝--联系我们果博东方公司客服电话19188566669

|产品名称|产品型号|功能描述|
|----|----|----|
|AEM 叠层贴片保险丝|无|独石结构，玻璃陶瓷基体，内部银熔体；银电极表面镀镍和焊料（无铅），有极好的可焊性；适用于波峰焊和回流焊；使用温度范围：-55℃～+125℃；编带和卷盘包装|

Supplier Part Number,Part Series,Fuse Type,Size,Current Rating,Voltage Rating,Interrupting Rating,Reel Qty,Standard Package,Status,Package Type
F1206FA1000V063T,SolidMatrix? FA Series,Fast Acting,1206,1.00A,63VDC,50A at rated voltage,3000,3000,Active,Tape and Reel
F1206FA1500V063T,SolidMatrix? FA Series,Fast Acting,1206,1.50A,63VDC,50A at rated voltage,3000,3000,Active,Tape and Reel
F1206FA1500V063TM,SolidMatrix? FA Series,Fast Acting,1206,1.50A,63VDC,50A at rated voltage,3000,3000,Active,Tape and Reel
F1206FA1750V063T,SolidMatrix? FA Series,Fast Acting,1206,1.75A,63VDC,50A at rated voltage,3000,3000,Active,Tape and Reel
F1206FA1750V063TM,SolidMatrix? FA Series,Fast Acting,1206,1.75A,63VDC,50A at rated voltage,3000,3000,Active,Tape and Reel
F1206FA2000V063T,SolidMatrix? FA Series,Fast Acting,1206,2.00A,63VDC,50A at rated voltage,3000,3000,Active,Tape and Reel
F1206FA2000V063TM,SolidMatrix? FA Series,Fast Acting,1206,2.00A,63VDC,50A at rated voltage,3000,3000,Active,Tape and Reel
F1206FA2500V032T,SolidMatrix? FA Series,Fast Acting,1206,2.50A,32VDC,50A at rated voltage,3000,3000,Active,Tape and Reel
F1206FA2500V032TM,SolidMatrix? FA Series,Fast Acting,1206,2.50A,32VDC,50A at rated voltage,3000,3000,Active,Tape and Reel
F1206FA3000V032T,SolidMatrix? FA Series,Fast Acting,1206,3.00A,32VDC,50A at rated voltage,3000,3000,Active,Tape and Reel
F1206FA3000V032TM,SolidMatrix? FA Series,Fast Acting,1206,3.00A,32VDC,50A at rated voltage,3000,3000,Active,Tape and Reel
F1206FA4000V032TM,SolidMatrix? FA Series,Fast Acting,1206,4.00A,32VDC,45A at rated voltage,3000,3000,Active,Tape and Reel
F1206FA4000V032T,SolidMatrix? FA Series,Fast Acting,1206,4.00A,32VDC,45A at rated voltage,3000,3000,Active,Tape and Reel
F1206FA5000V032T,SolidMatrix? FA Series,Fast Acting,1206,5.00A,32VDC,45A at rated voltage,3000,3000,Active,Tape and Reel
F1206FA5000V032TM,SolidMatrix? FA Series,Fast Acting,1206,5.00A,32VDC,45A at rated voltage,3000,3000,Active,Tape and Reel
F0402FA0500V024T,SolidMatrix? FA Series,Fast Acting,402,0.50A,24VDC,35A at rated voltage,10000,10000,Active,Tape and Reel
F0402FA0750V024T,SolidMatrix? FA Series,Fast Acting,402,0.75A,24VDC,35A at rated voltage,10000,10000,Active,Tape and Reel
F0402FA1000V024T,SolidMatrix? FA Series,Fast Acting,402,1.00A,24VDC,35A at rated voltage,10000,10000,Active,Tape and Reel
F0402FA1500V024T,SolidMatrix? FA Series,Fast Acting,402,1.50A,24VDC,35A at rated voltage,10000,10000,Active,Tape and Reel
F0402FA2000V024T,SolidMatrix? FA Series,Fast Acting,402,2.00A,24VDC,35A at rated voltage,10000,10000,Active,Tape and Reel
F0402FA3000V024T,SolidMatrix? FA Series,Fast Acting,402,3.00A,24VDC,35A at rated voltage,10000,10000,Active,Tape and Reel
F0402FA4000V024T,SolidMatrix? FA Series,Fast Acting,402,4.00A,24VDC,35A at rated voltage,10000,10000,Active,Tape and Reel
F0603FA0500V063T,SolidMatrix? FA Series,Fast Acting,603,0.50A,63VDC,35A at rated voltage,4000,4000,Active,Tape and Reel
F0603FA0500V063TM,SolidMatrix? FA Series,Fast Acting,603,0.50A,63VDC,35A at rated voltage,4000,4000,Active,Tape and Reel
F0603FA0750V063T,SolidMatrix? FA Series,Fast Acting,603,0.75A,63VDC,35A at rated voltage,4000,4000,Active,Tape and Reel
F0603FA0750V063TM,SolidMatrix? FA Series,Fast Acting,603,0.75A,63VDC,35A at rated voltage,4000,4000,Active,Tape and Reel
F0603FA1000V063TM,SolidMatrix? FA Series,Fast Acting,603,1.00A,63VDC,35A at rated voltage,4000,4000,Active,Tape and Reel
F0603FA1000V063T,SolidMatrix? FA Series,Fast Acting,603,1.00A,63VDC,35A at rated voltage,4000,4000,Active,Tape and Reel
F0603FA1500V063T,SolidMatrix? FA Series,Fast Acting,603,1.50A,63VDC,35A at rated voltage,4000,4000,Active,Tape and Reel
F0603FA1500V063TM,SolidMatrix? FA Series,Fast Acting,603,1.50A,63VDC,35A at rated voltage,4000,4000,Active,Tape and Reel
F0603FA2000V032T,SolidMatrix? FA Series,Fast Acting,603,2.00A,32VDC,35A at rated voltage,4000,4000,Active,Tape and Reel
F0603FA2000V032TM,SolidMatrix? FA Series,Fast Acting,603,2.00A,32VDC,35A at rated voltage,4000,4000,Active,Tape and Reel
F0603FA2500V032T,SolidMatrix? FA Series,Fast Acting,603,2.50A,32VDC,35A at rated voltage,4000,4000,Active,Tape and Reel
F0603FA2500V032TM,SolidMatrix? FA Series,Fast Acting,603,2.50A,32VDC,35A at rated voltage,4000,4000,Active,Tape and Reel
F0603FA3000V032TM,SolidMatrix? FA Series,Fast Acting,603,3.00A,32VDC,35A at rated voltage,4000,4000,Active,Tape and Reel
F0603FA3000V032T,SolidMatrix? FA Series,Fast Acting,603,3.00A,32VDC,35A at rated voltage,4000,4000,Active,Tape and Reel
F0603FA3500V032T,SolidMatrix? FA Series,Fast Acting,603,3.50A,32VDC,35A at rated voltage,4000,4000,Active,Tape and Reel
F0603FA3500V032TM,SolidMatrix? FA Series,Fast Acting,603,3.50A,32VDC,35A at rated voltage,4000,4000,Active,Tape and Reel
F0603FA4000V032T,SolidMatrix? FA Series,Fast Acting,603,4.00A,32VDC,35A at rated voltage,4000,4000,Active,Tape and Reel
F0603FA4000V032TM,SolidMatrix? FA Series,Fast Acting,603,4.00A,32VDC,35A at rated voltage,4000,4000,Active,Tape and Reel
F0603FA5000V032TM,SolidMatrix? FA Series,Fast Acting,603,5.00A,32VDC,35A at rated voltage,4000,4000,Active,Tape and Reel
F0603FA5000V032T,SolidMatrix? FA Series,Fast Acting,603,5.00A,32VDC,35A at rated voltage,4000,4000,Active,Tape and Reel
F0603FA6000V024T,SolidMatrix? FA Series,Fast Acting,603,6.00A,24VDC,35A at rated voltage,4000,4000,Active,Tape and Reel
F0603FA6000V024TM,SolidMatrix? FA Series,Fast Acting,603,6.00A,24VDC,35A at rated voltage,4000,4000,Active,Tape and Reel
F1206SB1000V063T,SolidMatrix? SB Series,Slow Blow,1206,1.00A,63VDC,50A at rated voltage,3000,3000,Active,Tape and Reel
F1206SB1000V063TM,SolidMatrix? SB Series,Slow Blow,1206,1.00A,63VDC,50A at rated voltage,3000,3000,Active,Tape and Reel
F1206SB1250V063T,SolidMatrix? SB Series,Slow Blow,1206,1.25A,63VDC,50A at rated voltage,3000,3000,Active,Tape and Reel
F1206SB1250V063TM,SolidMatrix? SB Series,Slow Blow,1206,1.25A,63VDC,50A at rated voltage,3000,3000,Active,Tape and Reel
F1206SB1500V063T,SolidMatrix? SB Series,Slow Blow,1206,1.50A,63VDC,50A at rated voltage,3000,3000,Active,Tape and Reel
F1206SB1500V063TM,SolidMatrix? SB Series,Slow Blow,1206,1.50A,63VDC,50A at rated voltage,3000,3000,Active,Tape and Reel
F1206SB2000V063TM,SolidMatrix? SB Series,Slow Blow,1206,2.00A,63VDC,50A at rated voltage,3000,3000,Active,Tape and Reel
F1206SB2000V063T,SolidMatrix? SB Series,Slow Blow,1206,2.00A,63VDC,50A at rated voltage,3000,3000,Active,Tape and Reel
F1206SB2500V032T,SolidMatrix? SB Series,Slow Blow,1206,2.50A,32VDC,50A at rated voltage,3000,3000,Active,Tape and Reel
F1206SB2500V032TM,SolidMatrix? SB Series,Slow Blow,1206,2.50A,32VDC,50A at rated voltage,3000,3000,Active,Tape and Reel
F1206SB3000V032T,SolidMatrix? SB Series,Slow Blow,1206,3.00A,32VDC,50A at rated voltage,3000,3000,Active,Tape and Reel
F1206SB3000V032TM,SolidMatrix? SB Series,Slow Blow,1206,3.00A,32VDC,50A at rated voltage,3000,3000,Active,Tape and Reel
F1206SB3500V032T,SolidMatrix? SB Series,Slow Blow,1206,3.50A,32VDC,50A at rated voltage,3000,3000,Active,Tape and Reel
F1206SB3500V032TM,SolidMatrix? SB Series,Slow Blow,1206,3.50A,32VDC,50A at rated voltage,3000,3000,Active,Tape and Reel
F1206SB4000V032T,SolidMatrix? SB Series,Slow Blow,1206,4.00A,32VDC,50A at rated voltage,3000,3000,Active,Tape and Reel
F1206SB4000V032TM,SolidMatrix? SB Series,Slow Blow,1206,4.00A,32VDC,50A at rated voltage,3000,3000,Active,Tape and Reel
F1206SB4500V032T,SolidMatrix? SB Series,Slow Blow,1206,4.50A,32VDC,50A at rated voltage,3000,3000,Active,Tape and Reel
F1206SB4500V032TM,SolidMatrix? SB Series,Slow Blow,1206,4.50A,32VDC,50A at rated voltage,3000,3000,Active,Tape and Reel
F1206SB5000V032T,SolidMatrix? SB Series,Slow Blow,1206,5.00A,32VDC,50A at rated voltage,3000,3000,Active,Tape and Reel
F1206SB5000V032TM,SolidMatrix? SB Series,Slow Blow,1206,5.00A,32VDC,50A at rated voltage,3000,3000,Active,Tape and Reel
F1206SB5500V024T,SolidMatrix? SB Series,Slow Blow,1206,5.50A,24VDC,50A at rated voltage,3000,3000,Active,Tape and Reel
F1206SB5500V024TM,SolidMatrix? SB Series,Slow Blow,1206,5.50A,24VDC,50A at rated voltage,3000,3000,Active,Tape and Reel
F1206SB6000V024T,SolidMatrix? SB Series,Slow Blow,1206,6.00A,24VDC,60A at rated voltage,3000,3000,Active,Tape and Reel
F1206SB6000V024TM,SolidMatrix? SB Series,Slow Blow,1206,6.00A,24VDC,60A at rated voltage,3000,3000,Active,Tape and Reel
F1206SB7000V024T,SolidMatrix? SB Series,Slow Blow,1206,7.00A,24VDC,60A at rated voltage,3000,3000,Active,Tape and Reel
F1206SB7000V024TM,SolidMatrix? SB Series,Slow Blow,1206,7.00A,24VDC,60A at rated voltage,3000,3000,Active,Tape and Reel
F1206SB8000V024T,SolidMatrix? SB Series,Slow Blow,1206,8.00A,24VDC,60A at rated voltage,3000,3000,Active,Tape and Reel
F1206SB8000V024TM,SolidMatrix? SB Series,Slow Blow,1206,8.00A,24VDC,60A at rated voltage,3000,3000,Active,Tape and Reel
F0603SB1000V032TM,SolidMatrix? SB Series,Slow Blow,603,1.00A,32VDC,50A at rated voltage,4000,4000,Active,Tape and Reel
F0603SB1000V032T,SolidMatrix? SB Series,Slow Blow,603,1.00A,32VDC,50A at rated voltage,4000,4000,Active,Tape and Reel
F0603SB1500V032T,SolidMatrix? SB Series,Slow Blow,603,1.50A,32VDC,50A at rated voltage,4000,4000,Active,Tape and Reel
F0603SB1500V032TM,SolidMatrix? SB Series,Slow Blow,603,1.50A,32VDC,50A at rated voltage,4000,4000,Active,Tape and Reel
F0603SB2000V032T,SolidMatrix? SB Series,Slow Blow,603,2.00A,32VDC,50A at rated voltage,4000,4000,Active,Tape and Reel
F0603SB2000V032TM,SolidMatrix? SB Series,Slow Blow,603,2.00A,32VDC,50A at rated voltage,4000,4000,Active,Tape and Reel
F0603SB2500V032T,SolidMatrix? SB Series,Slow Blow,603,2.50A,32VDC,50A at rated voltage,4000,4000,Active,Tape and Reel
F0603SB2500V032TM,SolidMatrix? SB Series,Slow Blow,603,2.50A,32VDC,50A at rated voltage,4000,4000,Active,Tape and Reel
F0603SB3000V032TM,SolidMatrix? SB Series,Slow Blow,603,3.00A,32VDC,50A at rated voltage,4000,4000,Active,Tape and Reel
F0603SB3000V032T,SolidMatrix? SB Series,Slow Blow,603,3.00A,32VDC,50A at rated voltage,4000,4000,Active,Tape and Reel
F0603SB3500V032T,SolidMatrix? SB Series,Slow Blow,603,3.50A,32VDC,50A at rated voltage,4000,4000,Active,Tape and Reel
F0603SB3500V032TM,SolidMatrix? SB Series,Slow Blow,603,3.50A,32VDC,50A at rated voltage,4000,4000,Active,Tape and Reel
F0603SB4000V032T,SolidMatrix? SB Series,Slow Blow,603,4.00A,32VDC,50A at rated voltage,4000,4000,Active,Tape and Reel
F0603SB4000V032TM,SolidMatrix? SB Series,Slow Blow,603,4.00A,32VDC,50A at rated voltage,4000,4000,Active,Tape and Reel
F0603SB4500V032TM,SolidMatrix? SB Series,Slow Blow,603,4.50A,32VDC,50A at rated voltage,4000,4000,Active,Tape and Reel
F0603SB4500V032T,SolidMatrix? SB Series,Slow Blow,603,4.50A,32VDC,50A at rated voltage,4000,4000,Active,Tape and Reel
F0603SB5000V032TM,SolidMatrix? SB Series,Slow Blow,603,5.00A,32VDC,50A at rated voltage,4000,4000,Active,Tape and Reel
F0603SB5000V032T,SolidMatrix? SB Series,Slow Blow,603,5.00A,32VDC,50A at rated voltage,4000,4000,Active,Tape and Reel
F0603SB6000V032T,SolidMatrix? SB Series,Slow Blow,603,6.00A,32VDC,80A at rated voltage,4000,4000,Active,Tape and Reel
F0603SB6000V032TM,SolidMatrix? SB Series,Slow Blow,603,6.00A,32VDC,80A at rated voltage,4000,4000,Active,Tape and Reel
F0603SB7000V032TM,SolidMatrix? SB Series,Slow Blow,603,7.00A,32VDC,80A at rated voltage,4000,4000,Active,Tape and Reel
F0603SB7000V032T,SolidMatrix? SB Series,Slow Blow,603,7.00A,32VDC,80A at rated voltage,4000,4000,Active,Tape and Reel
F0603SB8000V032T,SolidMatrix? SB Series,Slow Blow,603,8.00A,32VDC,80A at rated voltage,4000,4000,Active,Tape and Reel
F0603SB8000V032TM,SolidMatrix? SB Series,Slow Blow,603,8.00A,32VDC,80A at rated voltage,4000,4000,Active,Tape and Reel
F1206HI1000V063T,SolidMatrix? HI Series,High Inrush,1206,1.00A,63VDC,50A at rated voltage,3000,3000,Active,Tape and Reel
F1206HI1000V063TM,SolidMatrix? HI Series,High Inrush,1206,1.00A,63VDC,50A at rated voltage,3000,3000,Active,Tape and Reel
F1206HI1500V063T,SolidMatrix? HI Series,High Inrush,1206,1.50A,63VDC,50A at rated voltage,3000,3000,Active,Tape and Reel
F1206HI1500V063TM,SolidMatrix? HI Series,High Inrush,1206,1.50A,63VDC,50A at rated voltage,3000,3000,Active,Tape and Reel
F1206HI2000V063T,SolidMatrix? HI Series,High Inrush,1206,2.00A,63VDC,50A at rated voltage,3000,3000,Active,Tape and Reel
F1206HI2000V063TM,SolidMatrix? HI Series,High Inrush,1206,2.00A,63VDC,50A at rated voltage,3000,3000,Active,Tape and Reel
F1206HI2500V032T,SolidMatrix? HI Series,High Inrush,1206,2.50A,32VDC,50A at rated voltage,3000,3000,Active,Tape and Reel
F1206HI2500V032TM,SolidMatrix? HI Series,High Inrush,1206,2.50A,32VDC,50A at rated voltage,3000,3000,Active,Tape and Reel
F1206HI3000V032TM,SolidMatrix? HI Series,High Inrush,1206,3.00A,32VDC,50A at rated voltage,3000,3000,Active,Tape and Reel
F1206HI3000V032T,SolidMatrix? HI Series,High Inrush,1206,3.00A,32VDC,50A at rated voltage,3000,3000,Active,Tape and Reel
F1206HI3500V032T,SolidMatrix? HI Series,High Inrush,1206,3.50A,32VDC,50A at rated voltage,3000,3000,Active,Tape and Reel
F1206HI3500V032TM,SolidMatrix? HI Series,High Inrush,1206,3.50A,32VDC,50A at rated voltage,3000,3000,Active,Tape and Reel
F1206HI4000V032TM,SolidMatrix? HI Series,High Inrush,1206,4.00A,32VDC,50A at rated voltage,3000,3000,Active,Tape and Reel
F1206HI4000V032T,SolidMatrix? HI Series,High Inrush,1206,4.00A,32VDC,50A at rated voltage,3000,3000,Active,Tape and Reel
F1206HI4500V032T,SolidMatrix? HI Series,High Inrush,1206,4.50A,32VDC,50A at rated voltage,3000,3000,Active,Tape and Reel
F1206HI4500V032TM,SolidMatrix? HI Series,High Inrush,1206,4.50A,32VDC,50A at rated voltage,3000,3000,Active,Tape and Reel
F1206HI5000V032TM,SolidMatrix? HI Series,High Inrush,1206,5.00A,32VDC,50A at rated voltage,3000,3000,Active,Tape and Reel
F1206HI5000V032T,SolidMatrix? HI Series,High Inrush,1206,5.00A,32VDC,50A at rated voltage,3000,3000,Active,Tape and Reel
F1206HI6000V024T,SolidMatrix? HI Series,High Inrush,1206,6.00A,24VDC,80A at rated voltage,3000,3000,Active,Tape and Reel
F1206HI6000V024TM,SolidMatrix? HI Series,High Inrush,1206,6.00A,24VDC,80A at rated voltage,3000,3000,Active,Tape and Reel
F1206HI7000V024T,SolidMatrix? HI Series,High Inrush,1206,7.00A,24VDC,80A at rated voltage,3000,3000,Active,Tape and Reel
F1206HI7000V024TM,SolidMatrix? HI Series,High Inrush,1206,7.00A,24VDC,80A at rated voltage,3000,3000,Active,Tape and Reel
F1206HI8000V024T,SolidMatrix? HI Series,High Inrush,1206,8.00A,24VDC,80A at rated voltage,3000,3000,Active,Tape and Reel
F1206HI8000V024TM,SolidMatrix? HI Series,High Inrush,1206,8.00A,24VDC,80A at rated voltage,3000,3000,Active,Tape and Reel
F0603HI1000V032T,SolidMatrix? HI Series,High Inrush,603,1.00A,32VDC,50A at rated voltage,4000,4000,Active,Tape and Reel
F0603HI1000V032TM,SolidMatrix? HI Series,High Inrush,603,1.00A,32VDC,50A at rated voltage,4000,4000,Active,Tape and Reel
F0603HI1500V032T,SolidMatrix? HI Series,High Inrush,603,1.50A,32VDC,50A at rated voltage,4000,4000,Active,Tape and Reel
F0603HI1500V032TM,SolidMatrix? HI Series,High Inrush,603,1.50A,32VDC,50A at rated voltage,4000,4000,Active,Tape and Reel
F0603HI2000V032T,SolidMatrix? HI Series,High Inrush,603,2.00A,32VDC,50A at rated voltage,4000,4000,Active,Tape and Reel
F0603HI2000V032TM,SolidMatrix? HI Series,High Inrush,603,2.00A,32VDC,50A at rated voltage,4000,4000,Active,Tape and Reel
F0603HI2500V032T,SolidMatrix? HI Series,High Inrush,603,2.50A,32VDC,50A at rated voltage,4000,4000,Active,Tape and Reel
F0603HI2500V032TM,SolidMatrix? HI Series,High Inrush,603,2.50A,32VDC,50A at rated voltage,4000,4000,Active,Tape and Reel
F0603HI3000V032T,SolidMatrix? HI Series,High Inrush,603,3.00A,32VDC,50A at rated voltage,4000,4000,Active,Tape and Reel
F0603HI3000V032TM,SolidMatrix? HI Series,High Inrush,603,3.00A,32VDC,50A at rated voltage,4000,4000,Active,Tape and Reel
F0603HI3500V032T,SolidMatrix? HI Series,High Inrush,603,3.50A,32VDC,50A at rated voltage,4000,4000,Active,Tape and Reel
F0603HI3500V032TM,SolidMatrix? HI Series,High Inrush,603,3.50A,32VDC,50A at rated voltage,4000,4000,Active,Tape and Reel
F0603HI4000V032T,SolidMatrix? HI Series,High Inrush,603,4.00A,32VDC,50A at rated voltage,4000,4000,Active,Tape and Reel
F0603HI4000V032TM,SolidMatrix? HI Series,High Inrush,603,4.00A,32VDC,50A at rated voltage,4000,4000,Active,Tape and Reel
F0603HI4500V032T,SolidMatrix? HI Series,High Inrush,603,4.50A,32VDC,50A at rated voltage,4000,4000,Active,Tape and Reel
F0603HI4500V032TM,SolidMatrix? HI Series,High Inrush,603,4.50A,32VDC,50A at rated voltage,4000,4000,Active,Tape and Reel
F0603HI5000V032T,SolidMatrix? HI Series,High Inrush,603,5.00A,32VDC,50A at rated voltage,4000,4000,Active,Tape and Reel
F0603HI5000V032TM,SolidMatrix? HI Series,High Inrush,603,5.00A,32VDC,50A at rated voltage,4000,4000,Active,Tape and Reel
F1206HA10V024T,SolidMatrix? HA Series,High Current,1206,10.0A,24VDC,100A at rated voltage,3000,3000,Active,Tape and Reel
F1206HA10V024TM,SolidMatrix? HA Series,High Current,1206,10.0A,24VDC,100A at rated voltage,3000,3000,Active,Tape and Reel
F1206HA12V024T,SolidMatrix? HA Series,High Current,1206,12.0A,24VDC,100A at rated voltage,3000,3000,Active,Tape and Reel
F1206HA12V024TM,SolidMatrix? HA Series,High Current,1206,12.0A,24VDC,100A at rated voltage,3000,3000,Active,Tape and Reel
F1206HA15V024T,SolidMatrix? HA Series,High Current,1206,15.0A,24VDC,100A at rated voltage,3000,3000,Active,Tape and Reel
F1206HA15V024TM,SolidMatrix? HA Series,High Current,1206,15.0A,24VDC,100A at rated voltage,3000,3000,Active,Tape and Reel
F1206HA20V024T,SolidMatrix? HA Series,High Current,1206,20.0A,24VDC,100A at rated voltage,3000,3000,Active,Tape and Reel
F1206HA20V024TM,SolidMatrix? HA Series,High Current,1206,20.0A,24VDC,100A at rated voltage,3000,3000,Active,Tape and Reel
F1206HB10V024TM,SolidMatrix? HB Series,High Current,1206,10.0A,24VDC,150A at rated voltage,3000,3000,Active,Tape and Reel
F1206HB10V024T,SolidMatrix? HB Series,High Current,1206,10.0A,24VDC,150A at rated voltage,3000,3000,Active,Tape and Reel
F1206HB12V024T,SolidMatrix? HB Series,High Current,1206,12.0A,24VDC,150A at rated voltage,3000,3000,Active,Tape and Reel
F1206HB12V024TM,SolidMatrix? HB Series,High Current,1206,12.0A,24VDC,150A at rated voltage,3000,3000,Active,Tape and Reel
F1206HB15V024T,SolidMatrix? HB Series,High Current,1206,15.0A,24VDC,200A at rated voltage,3000,3000,Active,Tape and Reel
F1206HB15V024TM,SolidMatrix? HB Series,High Current,1206,15.0A,24VDC,200A at rated voltage,3000,3000,Active,Tape and Reel
F1206HB20V024T,SolidMatrix? HB Series,High Current,1206,20.0A,24VDC,200A at rated voltage,3000,3000,Active,Tape and Reel
F1206HB20V024TM,SolidMatrix? HB Series,High Current,1206,20.0A,24VDC,200A at rated voltage,3000,3000,Active,Tape and Reel
F1206HB25V024T,SolidMatrix? HB Series,High Current,1206,25.0A,24VDC,250A at rated voltage,3000,3000,Active,Tape and Reel
F1206HB25V024TM,SolidMatrix? HB Series,High Current,1206,25.0A,24VDC,250A at rated voltage,3000,3000,Active,Tape and Reel
F1206HB30V024TM,SolidMatrix? HB Series,High Current,1206,30.0A,24VDC,300A at rated voltage,3000,3000,Active,Tape and Reel
F1206HB30V024T,SolidMatrix? HB Series,High Current,1206,30.0A,24VDC,300A at rated voltage,3000,3000,Active,Tape and Reel
F0603FF0500V032T,SolidMatrix? FF Series,Fast Acting,603,0.50A,32VDC,50A at rated voltage,4000,4000,Active,Tape and Reel
F0603FF0500V032TM,SolidMatrix? FF Series,Very Fast Acting,603,0.50A,32VDC,50A at rated voltage,4000,4000,Active,Tape and Reel
F0603FF0750V032T,SolidMatrix? FF Series,Very Fast Acting,603,0.75A,32VDC,50A at rated voltage,4000,4000,Active,Tape and Reel
F0603FF0750V032TM,SolidMatrix? FF Series,Very Fast Acting,603,0.75A,32VDC,50A at rated voltage,4000,4000,Active,Tape and Reel
F0603FF1000V032T,SolidMatrix? FF Series,Very Fast Acting,603,1.00A,32VDC,50A at rated voltage,4000,4000,Active,Tape and Reel
F0603FF1000V032TM,SolidMatrix? FF Series,Very Fast Acting,603,1.00A,32VDC,50A at rated voltage,4000,4000,Active,Tape and Reel
F0603FF1250V032T,SolidMatrix? FF Series,Very Fast Acting,603,1.25A,32VDC,35A at rated voltage,4000,4000,Active,Tape and Reel
F0603FF1250V032TM,SolidMatrix? FF Series,Very Fast Acting,603,1.25A,32VDC,35A at rated voltage,4000,4000,Active,Tape and Reel
F0603FF1500V032T,SolidMatrix? FF Series,Very Fast Acting,603,1.50A,32VDC,35A at rated voltage,4000,4000,Active,Tape and Reel
F0603FF1500V032TM,SolidMatrix? FF Series,Very Fast Acting,603,1.50A,32VDC,35A at rated voltage,4000,4000,Active,Tape and Reel
F0603FF1750V032T,SolidMatrix? FF Series,Very Fast Acting,603,1.75A,32VDC,35A at rated voltage,4000,4000,Active,Tape and Reel
F0603FF1750V032TM,SolidMatrix? FF Series,Very Fast Acting,603,1.75A,32VDC,35A at rated voltage,4000,4000,Active,Tape and Reel
F0603FF2000V032T,SolidMatrix? FF Series,Very Fast Acting,603,2.00A,32VDC,35A at rated voltage,4000,4000,Active,Tape and Reel
F0603FF2000V032TM,SolidMatrix? FF Series,Very Fast Acting,603,2.00A,32VDC,35A at rated voltage,4000,4000,Active,Tape and Reel
