产品网址：http://www.huitronic.com/product_show.php?id=178
产品结构：root->AEM可恢复式保险丝--联系我们果博东方公司客服电话19188566669

|产品名称|产品型号|功能描述|
|----|----|----|
|AEM 可恢复式保险丝|无|自恢复过流保护，快速熔断，符合 RoHS 标准，无卤|

Supplier Part Number,Part Series,Size,Current Rating,Reel Qty,Standard Package,Status,Package Type
PMS1812-150,PPTC PMS Series,1812,1.50A,1500,1500,Active,Tape and Reel
PMS1812-160,PPTC PMS Series,1812,1.60A,1500,1500,Active,Tape and Reel
PMS1812-200,PPTC PMS Series,1812,2.00A,1500,1500,Active,Tape and Reel
PMS1812-260,PPTC PMS Series,1812,2.60A,1500,1500,Active,Tape and Reel
PMS1812-300,PPTC PMS Series,1812,3.00A,1500,1500,Active,Tape and Reel
PMS1812-350,PPTC PMS Series,1812,3.50A,1500,1500,Active,Tape and Reel
PMS1812-375,PPTC PMS Series,1812,3.75A,1500,1500,Active,Tape and Reel
PMS2018-030,PPTC PMS Series,2018,0.30A,1500,1500,Active,Tape and Reel
PMS2018-050,PPTC PMS Series,2018,0.50A,1500,1500,Active,Tape and Reel
PMS2018-100,PPTC PMS Series,2018,1.00A,2500,2500,Active,Tape and Reel
PMS2018-150,PPTC PMS Series,2018,1.50A,2500,2500,Active,Tape and Reel
PMS2018-200,PPTC PMS Series,2018,2.00A,2500,2500,Active,Tape and Reel
PMS2920-030,PPTC PMS Series,2920,0.30A,2000,2000,Active,Tape and Reel
PMS2920-050,PPTC PMS Series,2920,0.50A,2000,2000,Active,Tape and Reel
PMS2920-075,PPTC PMS Series,2920,0.75A,2000,2000,Active,Tape and Reel
PMS2920-100,PPTC PMS Series,2920,1.00A,2000,2000,Active,Tape and Reel
PMS2920-125,PPTC PMS Series,2920,1.25A,2000,2000,Active,Tape and Reel
PMS2920-150,PPTC PMS Series,2920,1.50A,2000,2000,Active,Tape and Reel
PMS2920-185,PPTC PMS Series,2920,1.85A,2000,2000,Active,Tape and Reel
PMS2920-200,PPTC PMS Series,2920,2.00A,2000,2000,Active,Tape and Reel
PMS2920-250,PPTC PMS Series,2920,2.50A,2000,2000,Active,Tape and Reel
PMS2920-260,PPTC PMS Series,2920,2.60A,2000,2000,Active,Tape and Reel
PMS2920-300,PPTC PMS Series,2920,3.00A,2000,2000,Active,Tape and Reel
PMS2920-300-06,PPTC PMS Series,2920,3.00A,2000,2000,Active,Tape and Reel
PMS0603-010,PPTC PMS Series,603,0.10A,5000,5000,Active,Tape and Reel
PMS0603-020,PPTC PMS Series,603,0.20A,5000,5000,Active,Tape and Reel
PMS0603-025,PPTC PMS Series,603,0.25A,5000,5000,Active,Tape and Reel
PMS0603-035,PPTC PMS Series,603,0.35A,5000,5000,Active,Tape and Reel
PMS0603-005,PPTC PMS Series,603,0.50A,5000,5000,Active,Tape and Reel
PMS0603-050,PPTC PMS Series,603,0.50A,5000,5000,Active,Tape and Reel
PMS0603-075,PPTC PMS Series,603,0.75A,5000,5000,Active,Tape and Reel
PMS0805-010,PPTC PMS Series,805,0.10A,5000,5000,Active,Tape and Reel
PMS0805-020,PPTC PMS Series,805,0.20A,5000,5000,Active,Tape and Reel
PMS0805-025,PPTC PMS Series,805,0.25A,5000,5000,Active,Tape and Reel
PMS0805-035,PPTC PMS Series,805,0.35A,5000,5000,Active,Tape and Reel
PMS0805-050,PPTC PMS Series,805,0.50A,5000,5000,Active,Tape and Reel
PMS0805-075,PPTC PMS Series,805,0.75A,4000,4000,Active,Tape and Reel
PMS0805-100,PPTC PMS Series,805,1.00A,4000,4000,Active,Tape and Reel
PMS0805-110,PPTC PMS Series,805,1.10A,4000,4000,Active,Tape and Reel
PMS0805-125,PPTC PMS Series,805,1.25A,4000,4000,Active,Tape and Reel
