产品网址：https://www.szforward.com/product/productDetail_FS9800E.html
产品结构：root->风云实业-专业的数据通信解决方案提供商

|产品名称|产品型号|功能描述|
|--|--|--|
|自主可控交换机|FS9804E、FS9808E|无|

型号名称,Tritium FS9804E,Tritium FS9808E
ACL,支持灵活的报文匹配策略  支持丰富的策略应用  支持在物理接口和虚拟接口下应用ACL,支持灵活的报文匹配策略  支持丰富的策略应用  支持在物理接口和虚拟接口下应用ACL
QoS,支持流量监管  支持独立的单播和组播队列调度  支持SP/WRR/WDRR队列调度算法  支持3+1级队列调度  支持基于队列的最大和最小带宽限速  支持基于物理接口和VLAN接口的整形  支持802.1P/IP  TOS/MPLS EXP优先级映射  支持业务拥塞流控反压  支持WRED,支持流量监管  支持独立的单播和组播队列调度  支持SP/WRR/WDRR队列调度算法  支持3+1级队列调度  支持基于队列的最大和最小带宽限速  支持基于物理接口和VLAN接口的整形  支持802.1P/IP  TOS/MPLS EXP优先级映射  支持业务拥塞流控反压  支持WRED
数据中心特性,支持FCoE、无损以太网、TRILL、VxLAN、虚拟化以及SDN,支持FCoE、无损以太网、TRILL、VxLAN、虚拟化以及SDN
安全特性,DDOS攻击防御  用户分级管理和口令保护  SSH2.0  支持MAC绑定  支持端口隔离  支持ARP源抑制和ARP攻击防范,DDOS攻击防御  用户分级管理和口令保护  SSH2.0  支持MAC绑定  支持端口隔离  支持ARP源抑制和ARP攻击防范
可靠性,支持多固件/多配置文件管理及更换  支持VRRP,支持多固件/多配置文件管理及更换  支持VRRP
管理维护,"支持命令行(CLI)配置  支持Console, Telnet, SSHv1/v2  支持多用户权限配置和管理  支持SNMP及通用Trap功能  支持RMON  支持网络诊断命令  支持Public,  Private MIB接口  本地 SYSlog：系统日志，分级告警，调试配置信息输出  支持固件升级  支持配置文件升级  支持查询软件版本信息  支持系统时间设置  支持NTP协议  支持端口状态查询","支持命令行(CLI)配置  支持Console, Telnet, SSHv1/v2  支持多用户权限配置和管理  支持SNMP及通用Trap功能  支持RMON  支持网络诊断命令  支持Public,  Private MIB接口  本地 SYSlog：系统日志，分级告警，调试配置信息输出  支持固件升级  支持配置文件升级  支持查询软件版本信息  支持系统时间设置  支持NTP协议  支持端口状态查询"
环境规格,环境规格,环境规格
工作环境,工作温度：0 - 45° C  工作湿度：10-90%无凝结,工作温度：0 - 45° C  工作湿度：10-90%无凝结
存储环境,存储温度：-25- 60° C  存储湿度：5-95%无凝结,存储温度：-25- 60° C  存储湿度：5-95%无凝结


型号,描述,配置说明
一体化机箱组件,一体化机箱组件,一体化机箱组件
Tritium FS9804E-CHS,FS9804E一体化机箱组件：横插；包含机箱、背板、监控板、电源转接板、风机组件，提供4个业务槽位，2个主控交换引擎槽位，2个电源槽位,必配
Tritium FS9808E-CHS,FS9808E一体化机箱组件：竖插；包含机箱、背板、监控板、电源转接板、风机组件，提供8个业务槽位，2个主控交换引擎槽位，4个电源槽位,必配
控制交换引擎,控制交换引擎,控制交换引擎
FS9808E-MFU,主控交换板,可配置1-2块
FS9804E-MFU,主控交换板,可配置1-2块
标准业务板,标准业务板,标准业务板
FS9804E-40GE-12Q,12端口40G QSFP+接口业务板,可配置1-4块（FS9804E适用）
FS9804E-10GE-48S+,48端口10GE SFP+接口（兼容1000M SFP模块）,可配置1-4块（FS9804E适用）
FS9804E-GE-48T,48端口100/1000Base-T以太网电接口（RJ45）业务板,可配置1-4块（FS9804E适用）
FS9804E-GE-48S,48端口1000M以太网光接口（SFP，LC）业务板,可配置1-4块（FS9804E适用）
FS9808E-40GE-12Q,12端口40G QSFP+接口业务板,可配置1-8块（FS9808E适用）
FS9808E-10GE-48S+,48端口10GE SFP+接口（兼容1000M SFP模块）,可配置1-8块（FS9808E适用）
FS9808E-GE-48T,48端口100/1000Base-T以太网电接口（RJ45）业务板,可配置1-8块（FS9808E适用）
FS9808E-GE-48S,48端口1000M以太网光接口（SFP，LC）业务板,可配置1-8块（FS9808E适用）
电源模块,电源模块,电源模块
PSU-AC1700-48,电源模块成品,可配置2-4个
