产品网址：https://www.szforward.com/product/productDetail_S12500.html
产品结构：root->风云实业-专业的数据通信解决方案提供商

|产品名称|产品型号|功能描述|
|----|----|----|
|通用交换机|S12500-09|无|

型号名称,Tritium S12500-09
IPv6组播,"支持MLDv1/v2, MLDv1/v2 Snooping  支持IPv6 Multicast VLAN Register (MVR)  支持IPv6 PIM-SM/DM/SSM"
MPLS,支持LDP  支持MPLS L3 VPN  支持MPLS L2 VPN VPLS  支持MPLS L2 VPN VPWS
虚拟化技术,支持将多台物理交换机虚拟化为1台逻辑交换机，支持跨物理设备的链路聚合与备份  支持IEEE VEPA（Virtual Ethernet Port Aggregator）虚拟以太网端口聚合标准
数据中心技术,支持TRILL(Transparent Interconnection of Lots of Links)多链路透明互联协议
端口镜像,支持1:1或N:1镜像  支持本地端口镜像（LSPAN）  支持远程端口镜像（RSPAN）  支持远程路由端口镜像(ERSPAN)
QoS,"支持IPv4与IPv6 QoS  每端口支持8个队列  支持802.1p, IP Precedence, DSCP, TCP/UDP port number, ACL流量分类与标记  支持SP, WRR.SWRR  支持Traffic Shaping"
ACL,"支持基于源/目的IP, 源/目的MAC, TCP/UDP端口号, DSCP, TOS, IP Precedence, Time range的ACL  支持在物理接口，VLAN，三层VLAN接口下应用ACL  支持基于ACL进行流量重定向  支持IPv4/IPv6 ACL"
安全特性,"支持Ping Sweep攻击监控  支持ICMP unreachable攻击防御  支持非法组播源攻击  支持多种DDOS攻击防御  支持多种病毒攻击防御  支持ARP binding, ARP limit, ARP guard, anti-ARP scan  支持CPU防御保护  支持URPF"
可靠性,支持MSTP(802.1S)  支持VRRP  支持LACP  支持Cluster  支持多固件/多配置文件管理及更换
管理维护,"支持IPv4/IPv6管理维护  支持命令行( CLI ) 配置  支持SNMPv1/v2c/v3  支持Console, Telnet, SSHv1/v2, WEB, SSL  支持SNMPv1/v2c/v3  支持Public, Private MIB接口  支持RMON 1/2/3/9组  支持Syslog  支持Sflow for IPv4 and IPv6  支持FTP/ TFTP固件升级  支持FTP/ TFTP配置文件升级  支持多固件/多配置文件管理及更换  支持SNTP/NTP"
环境规格,环境规格
电磁安全,"FCC, CE, VCCI"


型号,描述,配置说明
S12500-09,S12500-09以太网交换机主机（9个业务插槽，4个交换网板插槽，2个引擎插槽，8个电源插槽），标配4个风扇盘（已满配），不含电源模块、管理引擎模块和交换网板模块,必配
S12500-SUP,S12500主控引擎模块,必配
S12500-FC,S12500交换引擎模块,最大配置4块，N+1冗余，必配1块
S12500-16Q,16个40G QSFP接口,选配
S12500-48XS2Q+,48个万兆SFP+接口，2个40G QSFP接口,选配
S12500-24T24S2XS,24个千兆电接口，24个千兆光接口，2个万兆SFP+接口,选配
PAC-S12500,S12500系列电源模块,必配1块，支持N+M冗余
FAN-S12500,S12500系列风扇模块,已满配
