产品网址：https://www.szforward.com/product/productDetail_S9800-16V.html
产品结构：root->风云实业-专业的数据通信解决方案提供商

|产品名称|产品型号|功能描述|
|----|----|----|
|通用交换机|S9800-16V|无|

型号名称,S9800-16V
管理维护,"支持IPv4/IPv6管理维护  支持命令行( CLI ) 配置  支持SNMPv1/v2c/v3  支持Console, Telnet, SSHv1/v2, WEB, SSL  支持Public, Private MIB接口  支持RMON 1/2/3/9组  支持Syslog  支持Sflow for IPv4 and IPv6  支持FTP/ TFTP固件升级  支持FTP/ TFTP配置文件升级  支持多固件/多配置文件管理及更换  支持SNTP/NTP"
环境规格,环境规格
工作环境,工作温度：0-50° C 工作湿度：10-90%无凝结
存储环境,存储温度：-40-70° C 存储湿度：5-95%无凝结
电磁安全,"FCC, CE, VCCI"


型号,描述,配置说明
S9800-16V-Chassis,S9800-16V以太网交换机机箱(竖插，16个标准型业务板槽位，2个引擎，2个交换矩阵槽位，8个电源槽位，含机箱，风扇，1个PSU-AC600-L电源，软件，资料),必配
PSU-AC600-L-S,"交流电源模块(220VAC,600W)",S9800-16V 2-4支持N+1冗余，5-8 POE供电 S9800-08V 2-3支持N+1冗余，4-6 POE供电
S9808-RSU-E-S,S9800S增强型主控交换引擎,必配1块，2块冗余或负载
S9800-RSU-E-S,S9800S超强型主控交换引擎，包含S9800-MSU-X-S主控引擎和S9800-FSU-X-S交换引擎,必配1块，2块冗余或负载
S9800-MSU-X-S,S9800S超强型主控引擎，与S9800-FSU-X-S配套使用,S9800S超强型主控引擎，与S9800-FSU-X-S配套使用
S9800-FSU-X-S,S9800S超强型交换引擎，与S9800-MSU-X-S配套使用,S9800S超强型交换引擎，与S9800-MSU-X-S配套使用
S9800A-GE-24T-S,S9800S系列标准型24端口GE以太网电接口(RJ45)业务板(A类),选配
S9800A-GE-24S-S,"S9800S系列标准型24端口GE以太网光接口(SFP,LC)业务板(A类)",选配
S9800A-40GE-2Q/10GE-20S+-S,S9800系列标准型20端口万兆SFP+接口（兼容千兆SFP模块）+2端口40G接口（每个40G接口支持1分4成4个10G接口）,选配
