产品网址：https://www.china-cpu.com/news_detail-87-88-176.html
产品结构：root->SZLX8025核心板-产品-产品中心2-北京神州龙芯集成电路设计有限公司

|产品名称|产品型号|功能描述|
|----|----|----|
|SZLX8025 核心板|无|无|

Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
SZLX8025核心板是以模块的形式使用，通过选用高性能、高可靠的板对板连接器对外连 接，可方便的插接在外围底板上。 在核心板的背面左右各焊接有一片板对板连接器，规格为公座、单槽、双排、60PIN、 PIN 脚间距 0.8mm。,SZLX8025核心板是以模块的形式使用，通过选用高性能、高可靠的板对板连接器对外连 接，可方便的插接在外围底板上。 在核心板的背面左右各焊接有一片板对板连接器，规格为公座、单槽、双排、60PIN、 PIN 脚间距 0.8mm。,SZLX8025核心板是以模块的形式使用，通过选用高性能、高可靠的板对板连接器对外连 接，可方便的插接在外围底板上。 在核心板的背面左右各焊接有一片板对板连接器，规格为公座、单槽、双排、60PIN、 PIN 脚间距 0.8mm。,SZLX8025核心板是以模块的形式使用，通过选用高性能、高可靠的板对板连接器对外连 接，可方便的插接在外围底板上。 在核心板的背面左右各焊接有一片板对板连接器，规格为公座、单槽、双排、60PIN、 PIN 脚间距 0.8mm。,SZLX8025核心板是以模块的形式使用，通过选用高性能、高可靠的板对板连接器对外连 接，可方便的插接在外围底板上。 在核心板的背面左右各焊接有一片板对板连接器，规格为公座、单槽、双排、60PIN、 PIN 脚间距 0.8mm。,SZLX8025核心板是以模块的形式使用，通过选用高性能、高可靠的板对板连接器对外连 接，可方便的插接在外围底板上。 在核心板的背面左右各焊接有一片板对板连接器，规格为公座、单槽、双排、60PIN、 PIN 脚间距 0.8mm。
请参见  《SZLX8025核心板硬件用户手册》,请参见  《SZLX8025核心板硬件用户手册》,请参见  《SZLX8025核心板硬件用户手册》,请参见  《SZLX8025核心板硬件用户手册》,请参见  《SZLX8025核心板硬件用户手册》,请参见  《SZLX8025核心板硬件用户手册》
,,,,,
核心板 LAYOUT 封装尺寸,核心板 LAYOUT 封装尺寸,核心板 LAYOUT 封装尺寸,核心板 LAYOUT 封装尺寸,核心板 LAYOUT 封装尺寸,核心板 LAYOUT 封装尺寸
SZLX8025核心板的背面左右各焊接有一片板对板连接器，规格为公座、单槽、双排、60PIN、 PIN 脚间距 0.8mm。同时，核心板在四角各有一个直径为 Ф3 的安装定位孔。GSC328X 核心 板尺寸、安装孔位置、对外连接器的位置如下图所示,SZLX8025核心板的背面左右各焊接有一片板对板连接器，规格为公座、单槽、双排、60PIN、 PIN 脚间距 0.8mm。同时，核心板在四角各有一个直径为 Ф3 的安装定位孔。GSC328X 核心 板尺寸、安装孔位置、对外连接器的位置如下图所示,SZLX8025核心板的背面左右各焊接有一片板对板连接器，规格为公座、单槽、双排、60PIN、 PIN 脚间距 0.8mm。同时，核心板在四角各有一个直径为 Ф3 的安装定位孔。GSC328X 核心 板尺寸、安装孔位置、对外连接器的位置如下图所示,SZLX8025核心板的背面左右各焊接有一片板对板连接器，规格为公座、单槽、双排、60PIN、 PIN 脚间距 0.8mm。同时，核心板在四角各有一个直径为 Ф3 的安装定位孔。GSC328X 核心 板尺寸、安装孔位置、对外连接器的位置如下图所示,SZLX8025核心板的背面左右各焊接有一片板对板连接器，规格为公座、单槽、双排、60PIN、 PIN 脚间距 0.8mm。同时，核心板在四角各有一个直径为 Ф3 的安装定位孔。GSC328X 核心 板尺寸、安装孔位置、对外连接器的位置如下图所示,SZLX8025核心板的背面左右各焊接有一片板对板连接器，规格为公座、单槽、双排、60PIN、 PIN 脚间距 0.8mm。同时，核心板在四角各有一个直径为 Ф3 的安装定位孔。GSC328X 核心 板尺寸、安装孔位置、对外连接器的位置如下图所示
,,,,,
,,,,,
,,,,,
SZLX8025 核心板和外围板板对板连接,SZLX8025 核心板和外围板板对板连接,SZLX8025 核心板和外围板板对板连接,SZLX8025 核心板和外围板板对板连接,SZLX8025 核心板和外围板板对板连接,SZLX8025 核心板和外围板板对板连接
SZLX8025 核心板选用的板对板连接器规格为公座、单槽、双排、60PIN、PIN 脚间距 0.8mm，具体的尺寸信息可参考 TE 的 5179030-2 型连接器或者同等规格 的其它厂家型号，故为了和核心板更好的配合，外围板须选用和 5179030-2（或 同等规格的）配合的板对板母座。  根据不同的的配合/堆叠高度，用户可以选用多种型号的母座。参考 5179030-2（或同等规格的其它型号），配合/堆叠高度有 7mm/11mm/15mm 三种， 介绍如下。,SZLX8025 核心板选用的板对板连接器规格为公座、单槽、双排、60PIN、PIN 脚间距 0.8mm，具体的尺寸信息可参考 TE 的 5179030-2 型连接器或者同等规格 的其它厂家型号，故为了和核心板更好的配合，外围板须选用和 5179030-2（或 同等规格的）配合的板对板母座。  根据不同的的配合/堆叠高度，用户可以选用多种型号的母座。参考 5179030-2（或同等规格的其它型号），配合/堆叠高度有 7mm/11mm/15mm 三种， 介绍如下。,SZLX8025 核心板选用的板对板连接器规格为公座、单槽、双排、60PIN、PIN 脚间距 0.8mm，具体的尺寸信息可参考 TE 的 5179030-2 型连接器或者同等规格 的其它厂家型号，故为了和核心板更好的配合，外围板须选用和 5179030-2（或 同等规格的）配合的板对板母座。  根据不同的的配合/堆叠高度，用户可以选用多种型号的母座。参考 5179030-2（或同等规格的其它型号），配合/堆叠高度有 7mm/11mm/15mm 三种， 介绍如下。,SZLX8025 核心板选用的板对板连接器规格为公座、单槽、双排、60PIN、PIN 脚间距 0.8mm，具体的尺寸信息可参考 TE 的 5179030-2 型连接器或者同等规格 的其它厂家型号，故为了和核心板更好的配合，外围板须选用和 5179030-2（或 同等规格的）配合的板对板母座。  根据不同的的配合/堆叠高度，用户可以选用多种型号的母座。参考 5179030-2（或同等规格的其它型号），配合/堆叠高度有 7mm/11mm/15mm 三种， 介绍如下。,SZLX8025 核心板选用的板对板连接器规格为公座、单槽、双排、60PIN、PIN 脚间距 0.8mm，具体的尺寸信息可参考 TE 的 5179030-2 型连接器或者同等规格 的其它厂家型号，故为了和核心板更好的配合，外围板须选用和 5179030-2（或 同等规格的）配合的板对板母座。  根据不同的的配合/堆叠高度，用户可以选用多种型号的母座。参考 5179030-2（或同等规格的其它型号），配合/堆叠高度有 7mm/11mm/15mm 三种， 介绍如下。,SZLX8025 核心板选用的板对板连接器规格为公座、单槽、双排、60PIN、PIN 脚间距 0.8mm，具体的尺寸信息可参考 TE 的 5179030-2 型连接器或者同等规格 的其它厂家型号，故为了和核心板更好的配合，外围板须选用和 5179030-2（或 同等规格的）配合的板对板母座。  根据不同的的配合/堆叠高度，用户可以选用多种型号的母座。参考 5179030-2（或同等规格的其它型号），配合/堆叠高度有 7mm/11mm/15mm 三种， 介绍如下。
,,,,,
●  配合高度为 7mm,●  配合高度为 7mm,●  配合高度为 7mm,●  配合高度为 7mm,●  配合高度为 7mm,●  配合高度为 7mm
,,,,,
如若需求配合高度为 7mm，外围板母座可选 5177983-2（或其它厂家尺寸兼 容的型号）,如若需求配合高度为 7mm，外围板母座可选 5177983-2（或其它厂家尺寸兼 容的型号）,如若需求配合高度为 7mm，外围板母座可选 5177983-2（或其它厂家尺寸兼 容的型号）,如若需求配合高度为 7mm，外围板母座可选 5177983-2（或其它厂家尺寸兼 容的型号）,如若需求配合高度为 7mm，外围板母座可选 5177983-2（或其它厂家尺寸兼 容的型号）,如若需求配合高度为 7mm，外围板母座可选 5177983-2（或其它厂家尺寸兼 容的型号）
,,,,,
●  配合高度为 11mm,●  配合高度为 11mm,●  配合高度为 11mm,●  配合高度为 11mm,●  配合高度为 11mm,●  配合高度为 11mm
,,,,,
如若需求配合高度为 11mm，外围板母座可选 5-5179009-2（或其它厂家尺 寸兼容的型号）,如若需求配合高度为 11mm，外围板母座可选 5-5179009-2（或其它厂家尺 寸兼容的型号）,如若需求配合高度为 11mm，外围板母座可选 5-5179009-2（或其它厂家尺 寸兼容的型号）,如若需求配合高度为 11mm，外围板母座可选 5-5179009-2（或其它厂家尺 寸兼容的型号）,如若需求配合高度为 11mm，外围板母座可选 5-5179009-2（或其它厂家尺 寸兼容的型号）,如若需求配合高度为 11mm，外围板母座可选 5-5179009-2（或其它厂家尺 寸兼容的型号）
,,,,,
●  配合高度为 15mm,●  配合高度为 15mm,●  配合高度为 15mm,●  配合高度为 15mm,●  配合高度为 15mm,●  配合高度为 15mm
,,,,,
如若需求配合高度为 15mm，外围板母座可选 5-5179010-2,如若需求配合高度为 15mm，外围板母座可选 5-5179010-2,如若需求配合高度为 15mm，外围板母座可选 5-5179010-2,如若需求配合高度为 15mm，外围板母座可选 5-5179010-2,如若需求配合高度为 15mm，外围板母座可选 5-5179010-2,如若需求配合高度为 15mm，外围板母座可选 5-5179010-2
,,,,,
产品使用环境,产品使用环境,产品使用环境,产品使用环境,产品使用环境,产品使用环境
工作温度：-40℃ 至 +85℃,工作温度：-40℃ 至 +85℃,工作温度：-40℃ 至 +85℃,工作温度：-40℃ 至 +85℃,工作温度：-40℃ 至 +85℃,工作温度：-40℃ 至 +85℃
,,,,,
