BM114-DE6A,BM114-BUJC-DE6A,2,0.5,4.575,2.345,10.5,-15,15,40,0V允许,
BM114-DE6A,BM114-BUJB-DE6A,2,0.5,4.575,2.345,10.5,-24,16.5,40,0V允许,
BM114-DE6A,BM114-DQJB-DE6A,2,0.5,4.625,2.135,10.5,-27,16.5,40,0V允许,
BM114-DE6A,BM114-AQLB-DE6A,2,0.5,4.55,2.1,21,-29,30,80,0V禁止,
BM114-DE6C,BM114-DAJC-DE6C,2,0.5,4.62,2.12,10.5,-18,15,42,0V禁止,
BM114-DE6C,BM114-BAJC-DE6C,2,0.5,4.57,2.34,10.5,-15,15,42,0V禁止,
BM114-FE6B,BM114-BUJD-FE6B,2,0.5,4.575,2.345,10.5,-29.5,16.5,40,0V禁止,
BM114-FE6B,BM114-DQJD-FE6B,2,0.5,4.625,2.135,10.5,-33,16.5,40,0V禁止,


产品系列,产品型号,正常功耗  Typ,过放功耗  Max,过充电  检测电压,过放电  检测电压,放电过流  检测电压,充电过流  检测电压,Rss(On)  @3.8V,0V允许  0V禁止,下载
产品系列,产品型号,uA,uA,V,V,V,V,mΩ,0V允许  0V禁止,下载
产品系列,产品型号,uA,uA,V,V,V,V,mΩ,0V允许  0V禁止,下载
BM187,BM187-LFMA-DE,2.5,0.6,4.275,2.8,0.025,-0.075,60,0V允许,
BM187,BM187-LFAA-DE,2.5,0.6,4.275,2.8,0.05,-0.05,60,0V允许,
BM191,BM191-VBEB-DE,2,1.5,4.425,2.47,0.15,-0.25,30,0V允许,
BM191,BM191-TCEZ-CE,4,2.5,4.375,2.5,0.15,-0.145,39,0V允许,
BM191,BM191-LFCA-CE,4,0.7,4.275,2.8,0.1,-0.1,39,0V允许,
BM191,BM191-LAEA-CE,4,0.7,4.275,2.3,0.15,-0.145,39,0V允许,
BM191,BM191-MCDA-CE-SH,3,2.5,4.3,2.4,0.15,-0.25,39,0V允许,
BM191,BM191-KCEZ-CE,4,2.5,4.225,2.5,0.15,-0.145,39,0V允许,
BM192-CE,BM192-VCEC-CE,4,2.5,4.425,2.5,0.15,-0.145,39,0V允许,
BM192-CE,BM192-LFAC-CE,2.5,0.7,4.275,2.8,0.05,-0.05,30,0V允许,
BM192-CE,BM192-TCEB-CE,4,2.5,4.375,2.5,0.15,-0.145,30,0V允许,
BM192-CE,BM192-MBEB-CE,3,3,4.3,2.4,0.15,-0.25,45,0V允许,
BM192-CE,BM192-VCFB-CE,2.5,1.5,4.425,2.5,0.2,-0.15,30,0V允许,
BM192-CE,BM192-TCEY-CE,4,2.5,4.375,2.5,0.15,-0.145,30,0V允许,
BM192-CE,BM192-XCCA-CE,2.5,0.5,4.475,2.53,0.1,-0.1,30,0V允许,
BM192-CE,BM192-VCAB-CE,4,2.5,4.425,2.5,0.05,-0.05,30,0V允许,
BM192-CE,BM192-XCEB-CE,4,2.5,4.475,2.55,0.15,-0.145,30,0V允许,
BM192-CE,BM192-XCAA-CE,2.5,0.5,4.475,2.53,0.05,-0.05,30,0V允许,
BM192-CE,BM192-LCAB-CE-A,2.5,1.5,4.275,2.5,0.075,-0.075,30,0V允许,
BM192-CE,BM192-LFCC-CE,4,0.5,4.275,2.8,0.1,-0.1,30,0V允许,
BM192-CE,BM192-LAEC-CE,4,0.7,4.275,2.3,0.15,-0.145,30,0V允许,
BM192-CE,BM192-LHAA-CE,4,0.7,4.275,3,0.05,-0.05,30,0V允许,
BM192-CE,BM192-VCEB-CE,4,2.5,4.425,2.5,0.15,-0.145,30,0V允许,
BM192-CE,BM192-LFAA-CE,4,0.7,4.275,2.8,0.05,-0.05,30,0V允许,
BM192-CE,BM192-LCAB-CE,2.5,1.5,4.275,2.5,0.05,-0.05,30,0V允许,
BM192-DE,BM192-XZAC-DE,1.5,0.05,4.475,2.83,0.05,-0.1,30,0V禁止,
BM192-DE,BM192-ZZAC-DE,2.5,0.05,4.525,2.86,0.05,-0.1,30,0V允许,
BM192-DE,BM192-VCEB-DE,4,2.5,4.425,2.5,0.15,-0.145,30,0V允许,
BM192-DE,BM192-ZDSA-DE,2.5,0.05,4.525,2.6,0.06,-0.06,30,0V允许,
BM192-DE,BM192-ADSA-DE,2.5,0.05,4.55,2.605,0.06,-0.06,30,0V允许,
BM192-DE,BM192-VFAA-DE-O,2.5,0.05,4.425,2.8,0.05,-0.05,30,0V禁止,
BM192-DE,BM192-VFEB-DE,2.5,1.5,4.425,2.8,0.15,-0.15,30,0V允许,
BM192-DE,BM192-MBEB-DE,3,3,4.3,2.4,0.15,-0.25,45,0V允许,
BM192-DE,BM192-VCEB-DE-HW,2.5,1.5,4.425,2.5,0.15,-0.15,30,0V允许,
BM192-DE,BM192-RCEB-DE,2.5,1.5,4.25,2.5,0.15,-0.15,30,0V禁止,
BM192-DE,BM192-VFCA-DE,2.5,0.05,4.425,2.8,0.1,-0.1,30,0V允许,
BM192-DE,BM192-ZZAA-DE,2.5,0.05,4.525,2.86,0.05,-0.05,30,0V禁止,
BM192-DE,BM192-LFAE-DE,2.5,0.05,4.275,2.8,0.05,-0.05,30,0V禁止,
BM192-DE,BM192-LFEA-DE,2.5,0.5,4.275,2.8,0.15,-0.15,30,0V允许,
BM192-DE,BM192-XFAA-DE,2.5,0.05,4.475,2.83,0.05,-0.05,30,0V禁止,
BM192-DE,BM192-VFAA-DE,2.5,0.5,4.425,2.8,0.05,-0.05,30,0V允许,
BM195,BM195-ADNA-DE,2.5,0.5,4.55,2.605,0.031,-0.05,15.5,0V允许,
BM195,BM195-XCAA-DE,2.5,0.5,4.475,2.53,0.05,-0.05,15.5,0V允许,
BM195,BM195-KWEA-DE,2.5,0.05,4.225,2.545,0.15,-0.085,15.5,0V禁止,
BM195,BM195-XCPA-DE,2.5,0.05,4.475,2.53,0.035,-0.025,15.5,0V允许,
BM195,BM195-VCDB-DE-A,2.5,2,4.425,2.5,0.125,-0.125,15.5,0V允许,
BM195,BM195-RFFB-DE,2.5,2,4.25,2.8,0.2,-0.075,15.5,0V禁止,
BM195,BM195-ZDAA-DE,2.5,0.5,4.525,2.6,0.05,-0.05,15.5,0V允许,
BM195,BM195-VCDB-DE,2.5,1.5,4.425,2.5,0.125,-0.125,15.5,0V允许,
BM195,BM195-LWBA-DE,2.5,0.05,4.265,2.57,0.075,-0.075,15.5,0V禁止,
BM195,BM195-XCEB-DE,2.5,2,4.475,2.53,0.15,-0.15,15.5,0V允许,
BM195,BM195-XCDB-DE,2.5,2,4.475,2.53,0.125,-0.125,15.5,0V允许,
BM197,BM197-XFMC-DE,2.5,0.4,4.475,2.83,0.03,-0.03,60,0V允许,
BM197,BM197-LCAA-DE,2.5,0.6,4.275,2.5,0.05,-0.05,60,0V允许,
BM197,BM197-LFAA-DE,2.5,0.6,4.275,2.8,0.05,-0.05,60,0V允许,
BM197,BM197-LFMA-DE-H,2.5,0.6,4.275,2.8,0.025,-0.075,60,0V允许,
BM197,BM197-VCBA-DE,2.5,0.6,4.425,2.5,0.075,-0.075,60,0V允许,
BM197,BM197-LFAM-DE,2.5,0.6,4.275,2.8,0.05,-0.05,60,0V允许,
BM197,BM197-VFAA-DE,2.5,0.6,4.425,2.8,0.05,-0.05,60,0V允许,
BM197,BM197-VCAA-DE,2.5,0.6,4.425,2.5,0.05,-0.05,60,0V允许,
BM197,BM197-VFAX-DE,2.5,0.6,4.425,2.8,0.05,-0.05,60,0V允许,
BM197,BM197-LFAD-DE,2.5,0.5,4.275,2.8,0.05,-0.075,60,0V允许,
BM197,BM197-VFMC-DE,2.5,0.4,4.425,2.8,0.03,-0.03,60,0V允许,
BM197,BM197-XCAA-DE,2.5,0.6,4.475,2.53,0.05,-0.05,60,0V允许,
BM197,BM197-ZDSA-DE,2.5,0.05,4.525,2.6,0.06,-0.06,60,0V允许,
BM197,BM197-LFMX-DE,2.5,0.6,4.275,2.8,0.025,-0.075,60,0V允许,
BM197,BM197-LFMA-DE,2.5,0.6,4.275,2.8,0.025,-0.075,60,0V允许,
BM197,BM197-XFMC-DE-H,2.5,0.4,4.475,2.83,0.035,-0.035,60,0V允许,
BM197,BM197-LHMC-DE,2.5,0.4,4.28,3.03,0.03,-0.03,60,0V允许,
BM197,BM197-XCMA-DE,2.5,0.6,4.475,2.53,0.025,-0.025,60,0V允许,
BM198,BM198-XENA-DE,1.5,0.05,4.475,2.7,0.03,-0.043,45,0V允许,
BM198,BM198-YCNA-DE,1.5,0.05,4.495,2.52,0.03,-0.043,45,0V允许,
BM198,BM198-AWQA-DE,1.5,0.05,4.555,2.55,0.047,-0.045,45,0V允许,
BM198,BM198-VFPA-DE,1.5,0.05,4.425,2.8,0.039,-0.046,45,0V允许,
BM198,BM198-XMUA-DE,1.5,0.05,4.475,2.97,0.068,-0.068,45,0V允许,
BM198,BM198-YHNA-DE,1.5,0.05,4.5,2.985,0.03,-0.043,45,0V允许,
BM198,BM198-XFPA-DE,1.5,0.05,4.475,2.835,0.039,-0.046,45,0V允许,
BM198,BM198-ZZBA-DE,1.5,0.05,4.525,2.865,0.075,-0.075,45,0V允许,
BM199,BM199-XFIA-FE,0.5,0.9,4.475,2.8,0.165,-0.465,65,0V允许,


产品型号,简要特点,过放  阈值,过放  阈值.1,充电过  流阈值,充电过  流阈值.1,过放保  护延时,过放保  护延时.1,充电过流  保护延时,充电过流  保护延时.1,正常功耗  Typ,休眠功耗  Typ,休眠  自恢复,OV充电,下载
产品型号,简要特点,V,V,V,V,ms,ms,ms,ms,uA,uA,休眠  自恢复,OV充电,下载
产品型号,简要特点,V,V,V,V,ms,ms,ms,ms,uA,uA,休眠  自恢复,OV充电,下载
BM210-RJFA-ST,双节保护专用  休眠恢复可选  低压允许充电,4.2,2.5,0.2,-0.2,1,128,10,8,5,0.2,√,√,
BM210-AJEA-ST,双节保护专用  休眠恢复可选  低压允许充电,4.425,2.5,0.15,-0.15,1,128,10,8,5,0.2,√,√,
BM210-TPEA-ST,双节保护专用  休眠恢复可选  低压允许充电,4.25,3,0.2,-0.2,1,128,10,8,5,0.2,√,√,
BM210-LEFA-ST,双节保护专用  休眠恢复可选  低压允许充电,4.28,2.25,0.2,-0.2,1,128,10,8,5,0.2,√,√,
BM210-TJEA-ST,双节保护专用  休眠恢复可选  低压允许充电,4.25,2.5,0.15,-0.15,1,128,10,8,5,0.2,√,√,
BM210-BJFA-ST,双节保护专用  休眠恢复可选  低压允许充电,3.65,2.5,0.2,-0.2,1,128,10,8,5,0.2,√,√,
BM210-UNFB-ST,双节保护专用  休眠恢复可选  低压允许充电,4.28,2.8,0.2,-0.2,1,128,10,8,5,0.2,×,√,
BM210-VNEA-ST,双节保护专用  休眠恢复可选  低压允许充电,4.3,2.8,0.15,-0.15,1,128,10,8,5,0.2,√,√,
BM210-CKFB-ST,双节保护专用  休眠恢复可选  低压允许充电,4.475,4.475,0.2,-0.2,1,128,10,8,5,0.2,×,√,


产品型号,简要特点,正常功耗  Typ,休眠功耗  Typ,过充电  检测电压,过充电  解除电压,过放电  检测电压,过放电  解除电压,放电过流  检测电压1,放电过流  检测电压2,短路  检测电压,充电过流  检测电压,平衡启  动电压,下载
产品型号,简要特点,uA,uA,V,V,V,V,V,V,V,V,V,下载
产品型号,简要特点,uA,uA,V,V,V,V,V,V,V,V,V,下载
BM3451BFDC-T28A,3/4/5节保护可选  平衡功能  多芯片级联  断线保护,25,5,3.65,3.55,2,2.5,0.1,0.3,0.6,-0.1,3.405,
BM3451BHDC-T28A,3/4/5节保护可选  平衡功能  多芯片级联  断线保护,25,5,3.65,3.55,2.35,2.55,0.1,0.3,0.6,-0.1,3.405,
BM3451HEDC-T20B,3/4/5节保护可选  不带平衡功能  多芯片级联  断线保护,25,5,3.85,3.75,2,2.5,0.1,0.4,0.8,-0.05,-,
BM3451HEDC-T28A,3/4/5节保护可选  平衡功能  多芯片级联  断线保护,25,5,3.85,3.79,2,2.5,0.1,0.4,0.8,-0.05,3.59,
BM3451QMDC-T20B,3/4/5节保护可选  不带平衡功能  多芯片级联  断线保护,25,5,4.175,4.05,2.75,3,0.1,0.4,0.8,-0.05,-,
BM3451RMDC-T20B,3/4/5节保护可选  不带平衡功能  多芯片级联  断线保护,25,5,4.2,4.08,2.75,3,0.1,0.4,0.8,-0.05,-,
BM3451SMDC-T20B,3/4/5节保护可选  不带平衡功能  多芯片级联  断线保护,25,5,4.225,4.11,2.75,3,0.1,0.4,0.8,-0.05,-,
BM3451SMDC-T28A,3/4/5节保护可选  平衡功能  多芯片级联  断线保护,25,5,4.225,4.165,2.75,3,0.1,0.4,0.8,-0.050,4.165,
BM3451TJDC-T20B,3/4/5节保护可选  不带平衡功能  多芯片级联  断线保护,25,5,4.25,4.13,2.5,2.7,0.1,0.4,0.8,-0.05,-,
BM3451TJDC-T28A,3/4/5节保护可选  平衡功能  多芯片级联  断线保护,25,5,4.25,4.19,2.5,2.7,0.1,0.4,0.8,-0.05,4.19,
BM3451TNDC-T20B,3/4/5节保护可选  不带平衡功能  多芯片级联  断线保护,25,5,4.25,4.13,2.8,3,0.1,0.4,0.8,-0.05,-,
BM3451TNDC-T28A,3/4/5节保护可选  平衡功能  多芯片级联  断线保护,25,5,4.25,4.19,2.8,3,0.1,0.4,0.8,-0.05,4.19,
BM3451UNDC-T28A,3/4/5节保护可选  平衡功能  多芯片级联  断线保护,25,5,4.235,4.175,2.8,3,0.1,0.4,0.8,-0.05,4.18,
BM3451VJDC-T20B,3/4/5节保护可选  不带平衡功能  多芯片级联  断线保护,25,5,4.3,4.18,2.5,2.7,0.1,0.4,0.8,-0.05,-,
BM3451VJDC-T28A,3/4/5节保护可选  平衡功能  多芯片级联  断线保护,25,5,4.3,4.24,2.5,2.7,0.1,0.4,0.8,-0.05,4.24,
BM3451XJDC-T20B,3/4/5节保护可选  不带平衡功能  多芯片级联  断线保护,25,5,4.35,4.23,2.5,2.7,0.1,0.4,0.8,-0.05,-,
BM3451XKDC-T28A,3/4/5节保护可选  平衡功能  多芯片级联  断线保护,25,5,4.35,4.29,2.6,2.85,0.1,0.4,0.8,-0.05,4.29,
BM3451YNDC-T20B,3/4/5节保护可选  不带平衡功能  多芯片级联  断线保护,25,5,4.375,4.255,2.85,3,0.1,0.4,0.8,-0.05,-,
BM3451ZKDC-T20B,3/4/5节保护可选  不带平衡功能  多芯片级联  断线保护,25,5,4.425,4.3,2.65,3,0.1,0.3,0.6,-0.05,-,


产品型号,简要特点,正常功耗  Typ,休眠功耗  Typ,过充电  检测电压,过充电  解除电压,过放电  检测电压,过放电  解除电压,放电过流  检测电压1,放电过流  检测电压2,短路检  测电压,充电过流  检测电压,下载
产品型号,简要特点,uA,uA,V,V,V,V,V,V,V,V,下载
产品型号,简要特点,uA,uA,V,V,V,V,V,V,V,V,下载
BM3451BHDC-T16A,4节保护专用  不带平衡功能,25,5,3.65,3.55,2.35,2.55,0.1,0.3,0.6,0.1,
BM3451RNBE-T16A,4节保护专用  不带平衡功能,25,5,4.2,4.08,2.8,3,0.05,0.2,0.6,-0.05,
BM3451SJDE-T16A,4节保护专用  不带平衡功能,25,5,4.225,4.105,2.5,2.7,0.1,0.2,0.6,-0.05,
BM3451SMDC-T16A,节保护专用  不带平衡功能,25,5,4.225,4.105,2.75,3,0.1,0.4,0.8,-0.05,
BM3451TJDC-T16A,4节保护专用  不带平衡功能,25,5,4.25,4.13,2.5,2.7,0.1,0.4,0.8,-0.05,
BM3451TNDC-T16A,4节保护专用  不带平衡功能,25,5,4.25,4.13,2.8,3,0.1,0.4,0.8,-0.05,
BM3451TNDE-T16A,4节保护专用  不带平衡功能,25,5,4.25,4.13,2.8,3,0.1,0.2,0.6,-0.05,
BM3451VJDC-T16A,4节保护专用  不带平衡功能,25,5,4.3,4.18,2.5,2.7,0.1,0.4,0.8,-0.05,


产品型号,简要特点,正常功耗  Typ,休眠功耗  Typ,过充电  检测电压,过充电  解除电压,过放电  检测电压,过放电  解除电压,放电过流  检测电压1,放电过流  检测电压2,短路检  测电压,充电过流  检测电压,下载
产品型号,简要特点,uA,uA,V,V,V,V,V,V,V,V,下载
产品型号,简要特点,uA,uA,V,V,V,V,V,V,V,V,下载
BM301BFGB-M10A,3节保护专用  温度保护,12,5,3.65,3.45,2.13,2.41,0.1,0.25,0.5,-0.05,
BM301RMDB-M10A,3节保护专用  温度保护,12,5,4.2,4.08,2.75,3,0.1,0.25,0.5,-0.05,
BM301TJDB-M10A,3节保护专用  温度保护,12,5,4.25,4.13,2.5,2.7,0.1,0.25,0.5,-0.05,
BM301TNDB-M10A,3节保护专用  温度保护,12,5,4.25,4.13,2.8,3,0.1,0.25,0.5,-0.05,
BM301TNDB-S10A,3节保护专用  温度保护,12,5,4.25,4.13,2.8,3,0.1,0.25,0.5,-0.05,


产品型号,简要特点,正常功耗  Typ,休眠功耗  Typ,过充电  检测电压,过充电  解除电压,过放电  检测电压,过放电  解除电压,放电过流  检测电压1,放电过流  检测电压2,短路检  测电压,充电过流  检测电压,下载
