V-DUAL1,BG450BB12L13S6,1200,450,1.65,29.54,
V-DUAL1,BG450H12ME4D,1200,450,2.2,25,
V-DUAL1,BG600B12L13S6,1200,600,1.45,36.19,
V-DUAL1,BG600B12ME4D,1200,600,2.3,22,
V-DUAL1,BG600B12ME4D-B,1200,600,2.05,22,
V-DUAL1,BG600H12ME4D,1200,600,2.2,40,
V-DUAL1,BGW450B12L13S6,1200,450,1.55,58.08,
V-DUAL1,BGW600B12L13S6,1200,600,1.55,52.45,
V-DUAL1,BGW800B12L33S6,1200,800,1.55,98.48,
V-DUAL1,BGW900B12L33S6,1200,900,1.6,*,
V-DUAL1,BGW900H12L33S6,1200,900,1.6,*,
V-SSDC,BGW600B12JD35S6,1200,600,1.8,62.46,


产品型号,集电极  发射极间电压,集电极电流,集电极  发射极间饱和电压,封装形式,下载
产品型号,集电极  发射极间电压,集电极电流,集电极  发射极间饱和电压,封装形式,下载
产品型号,集电极  发射极间电压,集电极电流,集电极  发射极间饱和电压,封装形式,下载
BGFE15T65SD,650,15,1.8,TO-220F-3L,
BGFE15T65SD-I,650,15,1.6,TO-220F-3L,
BGME160T65SD,650,160,1.6,TO-247plus-3L,
BGME160T75SD,750,160,1.6,TO-247plus-3L,
BGME50Q120SD,1200,50,2.5,TO-247plus-3L,
BGN40V65HD,650,40,1.65,TO-247-3L,
BGNE20T65SD,650,20,1.6,TO-247-3L,
BGNE30T65HD,650,30,1.85,TO-247-3L,
BGNE30T65SD,650,30,1.6,TO-247-3L,
BGNE40Q120K,1200,40,1.6,TO-247-3L,
BGNE40Q120SD,1200,40,2.2,TO-247-3L,
BGNE40T65HD,650,40,1.85,TO-247-3L,
BGNE40T65SD,650,40,1.45,TO-247-3L,
BGNE40T65SD-G,650,40,1.45,TO-247-3L,
BGNE40V120UD,1200,40,1.7,TO-247-3L,
BGNE60T65HD,650,60,1.7,TO-247-3L,
BGNE60V65HD,650,60,1.7,TO-247-3L,
BGNE80V65HD,650,80,1.5,TO-247-3L,
BGQE40T65HD,650,40,1.5,TO-3PF-3L,


产品型号,技术类型,集电极  发射极间  电压(V),集电极电流  (A),集电极  发射极间  饱和电压(V),阈值电压  (V),工作频率  (KHZ),最大结温  (℃),下载
产品型号,技术类型,集电极  发射极间  电压(V),集电极电流  (A),集电极  发射极间  饱和电压(V),阈值电压  (V),工作频率  (KHZ),最大结温  (℃),下载
产品型号,技术类型,集电极  发射极间  电压(V),集电极电流  (A),集电极  发射极间  饱和电压(V),阈值电压  (V),工作频率  (KHZ),最大结温  (℃),下载
BCG67Q120U6,IGBT4.0,1200,75,2.3,5-7,≥12,175,
BCG53Q120S6,IGBT4.0,1200,50,2.1,5-7,5-12,175,
BCG37Q120K6A,IGBT4.0,1200,35,1.6,5-7,≤1,175,
BCG50V65S12,IGBT6.0,650,120,1.43,5-7,5-12,175,
BCG94Q120S6,IGBT4.0,1200,100,2.1,5-7,5-12,175,
BCG37Q120S6A,IGBT4.0,1200,35,2,5-7,5-12,175,
BCG7V65S12,IGBT6.0,650,15,1.8,4.8-6.8,5-12,175,
BCG15V65H8,IGBT6.0,650,40,1.63,4-5.8,40-80,175,
BCG37Q120K6,IGBT4.0,1200,35,1.6,5-7,≤1,175,
BCG22T65S8,IGBT5.0,650,40,2.2,5-7,5-12,175,
BCG31T65S8,IGBT5.0,650,60,1.76,5-7,5-12,175,
BCG58V120H12,IGBT6.0,1200,75,1.7,4.5-6.5,40-80,175,
BCG21V65H8,IGBT6.0,650,60,1.73,4-6,40-80,175,
BCG67Q120S6,IGBT4.0,1200,75,2.05,5-7,5-12,175,
BCG193Q120L6,IGBT4.0,1200,200,1.9,5-7,1-8,175,
BCG142Q120U6,IGBT4.0,1200,150,2.3,5-7,≥12,175,
BCG94Q120U6,IGBT4.0,1200,100,2.3,5-7,≥12,175,
BCG22T65H8,IGBT5.0,650,40,1.85,5-7,40-80,175,
BCG100T65S8,IGBT5.0,650,200,1.5,5-7,5-12,175,
BCG7T65S8,IGBT5.0,650,15,1.8,5-7,5-12,175,
BCG108V120S8,IGBT6.0,1200,150,1.7,5-7,5-12,175,
BCG11T65S8,IGBT5.0,650,20,1.6,5-7,5-12,175,
BCG142Q120S6,IGBT4.0,1200,150,2.1,5-7,5-12,175,
BCG26V65H8,IGBT6.0,650,80,1.42,3-5,40-80,175,
BCG37Q120U6A,IGBT4.0,1200,35,2.3,5-7,≥12,175,
BCG73V75S12,IGBT6.0,750,150,≤1.6,4.9-6.5,5-12,175,
BCG162V120S12,IGBT6.0,1200,240,1.85,5-7,5-12,175,
BCG31T65H8,IGBT5.0,650,60,1.85,5-7,40-80,175,
BCG14T65H8,IGBT5.0,650,30,1.85,5-7,40-80,175,
BCG193Q120U6,IGBT4.0,1200,200,2.3,5-7,≥12,175,
BCG33V120S8,IGBT6.0,1200,40,1.9,5-7,5-12,175,
BCG58V120S12,IGBT6.0,1200,75,1.5,5-7,5-12,175,
BCG104V75S12,IGBT6.0,750,225,1.3,4.9-6.5,5-12,175,
BCG73T75L8,IGBT5.0,750,150,1.5,5-7,1-8,175,
BCG142V120S12,IGBT6.0,1200,200,2.1,5-7,5-12,175,
BCG100T75L6,IGBT5.0,750,200,1.5,5-7,1-8,175,
BCG142Q120L6,IGBT4.0,1200,150,1.7,5-7,1-8,175,
BCG193Q120S6,IGBT4.0,1200,200,2.1,5-7,5-12,175,
BCG72T65S8,IGBT5.0,650,150,1.5,5-7,5-12,175,
BCG28Q120S6A,IGBT4.0,1200,25,2.1,5-7,5-12,175,
BCG40V120S8,IGBT6.0,1200,50,1.9,5-7,5-12,175,
BCG86V95L8,IGBT6.0,950,200,1.12,4.15-5.65,1-8,175,
BCG193V120S12,IGBT6.0,1200,280,1.55,5-7,5-12,175,
BCG53Q120U6,IGBT4.0,1200,50,2.3,5-7,≥12,175,
BCG14T65S8,IGBT5.0,650,30,1.5,5-7,5-12,175,


产品型号,技术类型,反向重复  峰值电压  (V),正向连续  电流(A),最大结温  (℃),正向压降  (V),反向恢复  时间(ns),下载
产品型号,技术类型,反向重复  峰值电压  (V),正向连续  电流(A),最大结温  (℃),正向压降  (V),反向恢复  时间(ns),下载
产品型号,技术类型,反向重复  峰值电压  (V),正向连续  电流(A),最大结温  (℃),正向压降  (V),反向恢复  时间(ns),下载
BCF30P95S6,FRD 3.0,950,100,150,2.3,185,
BCF2E65S6,FRD 1.0,650,4,150,1.6,20,
BCF26E65S6,FRD 1.0,650,100,150,1.7,30,
BCF17E120S6,FRD 1.0,1200,25,150,1.9,380,
BCF35N120S6,FRD2.0,1200,60,150,1.9,75,
BCF3E65S6,FRD 1.0,650,8,150,1.75,53,
BCF1N65S6,Bootstrap,650,1,150,24.7,130,
BCF97P120S6,FRD 3.0,1200,240,150,1.9,370,
BCF56N75SDS6A,FRD2.0,750,300,150,1.7,270,
BCF8E65S6,FRD 1.0,650,25,150,1.65,25,
BCF82N120S6,FRD2.0,1200,160,150,1.9,230,
BCF8E120S6,FRD 1.0,1200,10,150,1.9,25,
BCF10E65S6,FRD 1.0,650,30,150,1.8,30,
BCF69P120S8,FRD 3.0,1200,160,150,1.9,370,
BCF23E120S6,FRD 1.0,1200,35,150,2,62,
BCF23N120S6,FRD2.0,1200,35,150,1.9,65,
BCF39N75S6,FRD2.0,750,150,150,1.5,195,
BCF4E65S6,FRD 1.0,650,10,150,1.6,40,
BCF11E65S6,FRD 1.0,650,40,150,1.6,42,
BCF10E120S6,FRD 1.0,1200,15,150,1.91,388,
BCF53E120S6,FRD 1.0,1200,100,150,1.9,380,
BCF17N120S6,FRD2.0,1200,25,150,1.9,55,
BCF83P120S8,FRD 3.0,1200,200,150,1.9,370,
BCF35E120S6,FRD 1.0,1200,60,150,1.9,380,
BCF53N120S6,FRD2.0,1200,100,150,1.9,95,
BCF56N75S6,FRD2.0,750,225,150,1.5,173,
BCF7E65S6,FRD 1.0,650,20,150,1.6,35,
BCF19E65S6,FRD 1.0,650,75,150,1.6,160,
BCF38E65S6,FRD 1.0,650,150,15 0,1.7,275,


产品型号,脉冲峰值  功率(W）,截止电压  (V）,脉冲峰值  电流 (A）,单双向,质量等级,封装形式,下载
产品型号,脉冲峰值  功率(W）,截止电压  (V）,脉冲峰值  电流 (A）,单双向,质量等级,封装形式,下载
产品型号,脉冲峰值  功率(W）,截止电压  (V）,脉冲峰值  电流 (A）,单双向,质量等级,封装形式,下载
BVE015KSMJB54AH,1500,54,18,单向,车规级,DO-214AB(SMC),
BVE3KSMJB28CA,3000,28,66.1,双向,车规级,DO-214AB(SMC),
BVE400SMJC12A,400,12,20.1,单向,车规级,DO-214AC(SMA),


产品系列,产品型号,集电极  发射极  间电压(V),集电极  电流(A）,集电极  发射极  间饱和电压（V）,封装尺寸,下载
产品系列,产品型号,集电极  发射极  间电压(V),集电极  电流(A）,集电极  发射极  间饱和电压（V）,封装尺寸,下载
产品系列,产品型号,集电极  发射极  间电压(V),集电极  电流(A）,集电极  发射极  间饱和电压（V）,封装尺寸,下载
DIP25-3824,BIPE60015G-C,600,15,1.7,38X24,
DIP25-3824,BIP60015G-A,600,15,1.7,38X24,
DIP25-3824,BIP60030G-A,600,30,1.7,38X24,
DIP25-3824,BIP60020G-A,600,20,1.7,38X24,
DIP25-3824,BIP60015G-B,600,15,1.7,38X24,
DIP25-3824,BIPE60010G-A,600,10,1.7,38X24,
DIP25-3824,BIP60020G-B,600,20,1.7,38X24,


产品系列,产品型号,集电极  发射极  间电压(V),集电极  电流(A）,集电极  发射极  间饱和电压（V）,封装尺寸,下载
产品系列,产品型号,集电极  发射极  间电压(V),集电极  电流(A）,集电极  发射极  间饱和电压（V）,封装尺寸,下载
产品系列,产品型号,集电极  发射极  间电压(V),集电极  电流(A）,集电极  发射极  间饱和电压（V）,封装尺寸,下载
DIP27-4426,BIPN60015C,600,15,1.9,44X26,
DIP27-4426,BIPNE60030C-T,600,30,1.7,44X26,
DIP27-4426,BIPN60020C,600,20,1.9,44X26,
DIP27-4426,BIPN60050C,2500,50,1.8,44X26,
DIP27-4426,BIPN60030C,600,30,1.7,44X26,


产品系列,产品型号,集电极  发射极  间电压(V),集电极  电流(A）,集电极  发射极  间饱和电压（V）,封装尺寸,下载
产品系列,产品型号,集电极  发射极  间电压(V),集电极  电流(A）,集电极  发射极  间饱和电压（V）,封装尺寸,下载
产品系列,产品型号,集电极  发射极  间电压(V),集电极  电流(A）,集电极  发射极  间饱和电压（V）,封装尺寸,下载
DIP30-7931,BIP120035V,1200,35,2.2,79X31,


产品系列,产品型号,集电极  发射极  间电压(V),集电极  电流(A）,集电极  发射极  间饱和电压（V）,封装尺寸,下载
产品系列,产品型号,集电极  发射极  间电压(V),集电极  电流(A）,集电极  发射极  间饱和电压（V）,封装尺寸,下载
产品系列,产品型号,集电极  发射极  间电压(V),集电极  电流(A）,集电极  发射极  间饱和电压（V）,封装尺寸,下载
DIP25-B-3215,BIP60006B,600,6,1.7,32X15,
DIP25-B-3215,BIP60010B,600,10,1.7,32X15,


型号,漏-源电压(V),漏极电流(A),漏-源通态电阻(mΩ),封装形式,下载
型号,漏-源电压(V),漏极电流(A),漏-源通态电阻(mΩ),封装形式,下载
型号,漏-源电压(V),漏极电流(A),漏-源通态电阻(mΩ),封装形式,下载
BSNE160S120,1200,17,160,TO-247-3L,
BSJE040S120,1200,60,40,TO-263-7L,
BSKE080S120,1200,36,80,TO-247-4L,
BSKE060S075,750,30,60,TO-247-4L,
BSKE160S120,1200,17,160,TO-247-4L,
BSJE080S120,1200,36,80,TO-263-7L,
BSNE080S120,1200,36,80,TO-247-3L,
BSKE040S120,1200,60,40,TO-247-4L,


产品系列,产品型号,漏极  源极电压 (V),漏极电流(A),内阻(mΩ)  结温=25℃,下载
产品系列,产品型号,漏极  源极电压 (V),漏极电流(A),内阻(mΩ)  结温=25℃,下载
产品系列,产品型号,漏极  源极电压 (V),漏极电流(A),内阻(mΩ)  结温=25℃,下载
SiC MOS V-305,BME700F12B34U5S-N,1200,700,4.5,
SiC MOS V-305,BME840F12BA34U5S,1200,840,3.7,
SiC MOS V-305,BME840F12B34U5S-N,1200,840,3.7,
SiC MOS V-305,BME1040F12BA34U5S-D,1200,1040,2.8,
SiC MOS V-305,BME700F12B34U4-N,1200,700,2.7,
SiC MOS V-305,BME1040F12B34U5S-N,1200,1040,2.8,
SiC MOS V-305,BME840F12B34U5S-D,1200,840,3.7,
SiC MOS V-SSDC,BME1000B12JA34U1,1200,1000,2,
SiC MOS V-SSDC,BME750B12JA34U1,1200,750,2.7,
SiC MOS V-SSDC,BME1000B12JD35U2,1200,1000,2.3,
SiC MOS V-SSDC,BME875B12JA34U1,1200,875,2.3,
SiC MOS V-SSDC,BME375B12JA34U1,1200,375,5.4,
