产品网址：https://www.dtc-solutions.cn/product/7173.html
产品结构：root->传感器|腾振科技

|产品名称|产品型号|功能描述|
|--|--|--|
|传感器|无|单向加速度传感器、三向加速度传感器、冲击型加速度传感器、力传感器|

型号  TENZO,灵敏度,安装谐振频率,频响（±  10%  ）,频响（±  10%  ）.1,量程（  g  ）,温度范围（℃）,重量（克）,尺寸（  mm  ）,出线方式
722A50,50mV/g,~35kHz,0.5Hz~8kHz,0.5Hz~8kHz,100,-40~+121,20,Φ  15  ×  25,侧端  M5
721A100,100mV/g,~25kHz,0.5Hz~8kHz,0.5Hz~8kHz,50,-40~+121,18,Φ  15  ×  25,顶端  M5
722A100,100mV/g,~25kHz,0.5Hz~8kHz,0.5Hz~8kHz,50,-40~+121,20,Φ  15  ×  25,侧端  M5
三向加速度传感器,三向加速度传感器,三向加速度传感器,三向加速度传感器,三向加速度传感器,三向加速度传感器,三向加速度传感器,三向加速度传感器,三向加速度传感器,三向加速度传感器
643A10,10Pc/g,~25kHz,1Hz~6kHz,1Hz~6kHz,200,-40~+150,42,20  ×  20  ×  12,3  －  M5
743A10,10mV/g,~25kHz,1Hz~6kHz,1Hz~6kHz,500,-40~+121,46,20  ×  20  ×  12,3  －  M5
745A50,50mV/g,~15kHz,1Hz~5kHz,1Hz~5kHz,100,-40~+121,60,25.4  ×  25.4  ×  14,3  －  M5
745A100,100mV/g,~15kHz,1Hz~5kHz,1Hz~5kHz,50,-40~+121,60,25.4  ×  25.4  ×  14,3  －  M5
冲击型加速度传感器,冲击型加速度传感器,冲击型加速度传感器,冲击型加速度传感器,冲击型加速度传感器,冲击型加速度传感器,冲击型加速度传感器,冲击型加速度传感器,冲击型加速度传感器,冲击型加速度传感器
711A01,0.5mV/g,~40kHz,1Hz~10kHz,1Hz~10kHz,10000,-40~+121,8,Ф  12  ×  20,顶端  M5
711A05,0.1mV/g,~40kHz,1Hz~10kHz,1Hz~10kHz,50000,-40~+121,12,Ф  12  ×  20,整体连线
611A01,0.5pC/g,~45kHz,1Hz~155kHz,1Hz~155kHz,10000,-40~+150,8,Ф  12  ×  18,顶端  M5
611A05,0.1pC/g,~50kHz,1Hz~10kHz,1Hz~10kHz,50000,-40~+150,12,Ф  12  ×  18,顶端  M5
力传感器,力传感器,力传感器,力传感器,力传感器,力传感器,力传感器,力传感器,力传感器,力传感器
型号,灵敏度,量程（压）,量程（压）,量程（拉）,自振频率,自振频率,重量,外形尺寸,外形尺寸
301F01,10mV/N,500N,500N,,≥  5  0kHz,≥  5  0kHz,20,Φ  18  ×  10,Φ  18  ×  10
301F02,2.5mV/N,2kN,2kN,,≥  5  0kHz,≥  5  0kHz,20,Φ  18  ×  10,Φ  18  ×  10
301F03,1mV/N,5kN,5kN,,≥  5  0kHz,≥  5  0kHz,20,Φ  18  ×  10,Φ  18  ×  10
311F01,10mV/N,500N,500N,,≥  40  kHz,≥  40  kHz,18,Φ  18  ×Φ  6  ×  10.5,Φ  18  ×Φ  6  ×  10.5
311F02,2.5mV/N,2kN,2kN,,≥  40  kHz,≥  40  kHz,18,Φ  18  ×Φ  6  ×  10.5,Φ  18  ×Φ  6  ×  10.5
311F03,1mV/N,5kN,5kN,,≥  40kHz,≥  40kHz,18,Φ  18  ×Φ  6  ×  10.5,Φ  18  ×Φ  6  ×  10.5
302F01,10mV/N,500N,500N,500N,≥  30  kHz,≥  30  kHz,28,Φ  18  ×  19,Φ  18  ×  19
302F02,2.5mV/N,2kN,2kN,2kN,≥  30kHz,≥  30kHz,28,Φ  18  ×  19,Φ  18  ×  19
302F03,1mV/N,5kN,5kN,2kN,≥  30  kHz,≥  30  kHz,28,Φ  18  ×  19,Φ  18  ×  19
,,,,,,,,,
